Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-06-10 00:00:00,2009-06-10 00:00:00,52.75,2009-06-10 00:00:00,49.5,52.25,15,4200,215975,2009-06-10 00:00:00,1
2009-06-12 00:00:00,2009-06-12 00:00:00,50,2009-06-12 00:00:00,50,50,2,2400,120000,2009-06-12 00:00:00,1
2009-06-16 00:00:00,2009-06-16 00:00:00,52.25,2009-06-16 00:00:00,50,51.25,4,500,25625,2009-06-16 00:00:00,1
2009-06-18 00:00:00,2009-06-18 00:00:00,52,2009-06-18 00:00:00,51,51.25,3,1300,66600,2009-06-18 00:00:00,1
2009-06-19 00:00:00,2009-06-19 00:00:00,49,2009-06-19 00:00:00,49,49,1,100,4900,2009-06-19 00:00:00,1
2009-06-22 00:00:00,2009-06-22 00:00:00,48.25,2009-06-22 00:00:00,48.25,48.25,2,200,9650,2009-06-22 00:00:00,1
2009-06-23 00:00:00,2009-06-23 00:00:00,52,2009-06-23 00:00:00,52,52,1,100,5200,2009-06-23 00:00:00,1
2009-06-24 00:00:00,2009-06-24 00:00:00,48,2009-06-24 00:00:00,48,48,1,100,4800,2009-06-24 00:00:00,1
2009-06-25 00:00:00,2009-06-25 00:00:00,50,2009-06-25 00:00:00,50,50,1,100,5000,2009-06-25 00:00:00,1
2009-06-30 00:00:00,2009-06-30 00:00:00,52,2009-06-30 00:00:00,50,51.5,4,2300,118325,2009-06-30 00:00:00,1
2009-07-14 00:00:00,2009-07-14 00:00:00,48,2009-07-14 00:00:00,48,48,2,200,9600,2009-07-14 00:00:00,1
2009-07-16 00:00:00,2009-07-16 00:00:00,58,2009-07-16 00:00:00,52,55.5,4,400,22175,2009-07-16 00:00:00,1
2009-07-20 00:00:00,2009-07-20 00:00:00,54.75,2009-07-20 00:00:00,52,53.5,5,4600,245750,2009-07-20 00:00:00,1
2009-07-29 00:00:00,2009-07-29 00:00:00,53.5,2009-07-29 00:00:00,51,52.5,5,5100,267550,2009-07-29 00:00:00,1
2009-07-30 00:00:00,2009-07-30 00:00:00,55,2009-07-30 00:00:00,54.75,54.75,2,300,16450,2009-07-30 00:00:00,1
2009-08-11 00:00:00,2009-08-11 00:00:00,54,2009-08-11 00:00:00,50,50,11,61300,3067175,2009-08-11 00:00:00,1
2009-08-20 00:00:00,2009-08-20 00:00:00,54,2009-08-20 00:00:00,51,51.75,5,900,46675,2009-08-20 00:00:00,1
2009-08-25 00:00:00,2009-08-25 00:00:00,53.5,2009-08-25 00:00:00,50,51.75,8,1300,67225,2009-08-25 00:00:00,1
2009-09-02 00:00:00,2009-09-02 00:00:00,52.25,2009-09-02 00:00:00,52,52.25,2,200,10425,2009-09-02 00:00:00,1
2009-09-03 00:00:00,2009-09-03 00:00:00,53,2009-09-03 00:00:00,50,52.25,7,1800,92525,2009-09-03 00:00:00,1
2009-09-09 00:00:00,2009-09-09 00:00:00,52.25,2009-09-09 00:00:00,52,52,3,1100,57225,2009-09-09 00:00:00,1
2009-09-11 00:00:00,2009-09-11 00:00:00,55.5,2009-09-11 00:00:00,50,55,14,8600,466400,2009-09-11 00:00:00,1
2009-09-14 00:00:00,2009-09-14 00:00:00,59.75,2009-09-14 00:00:00,55,57.5,8,2700,155350,2009-09-14 00:00:00,1
2009-09-15 00:00:00,2009-09-15 00:00:00,53.75,2009-09-15 00:00:00,52,53,2,4000,211500,2009-09-15 00:00:00,1
2009-09-16 00:00:00,2009-09-16 00:00:00,56.75,2009-09-16 00:00:00,52,53,4,2300,122175,2009-09-16 00:00:00,1
2009-09-17 00:00:00,2009-09-17 00:00:00,52.5,2009-09-17 00:00:00,52,52.5,4,1100,57700,2009-09-17 00:00:00,1
2009-09-18 00:00:00,2009-09-18 00:00:00,53,2009-09-18 00:00:00,53,53,1,400,21200,2009-09-18 00:00:00,1
2009-09-23 00:00:00,2009-09-23 00:00:00,57,2009-09-23 00:00:00,55,56.5,20,14400,811225,2009-09-23 00:00:00,1
2009-09-30 00:00:00,2009-09-30 00:00:00,55.75,2009-09-30 00:00:00,55.75,55.75,1,100,5575,2009-09-30 00:00:00,1
