Public Holding 2017 Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2017-2,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2017-2,ABANS ELECTRICALS PLC,ABAN.N0000,40.52%
2017-2,ABANS FINANCE PLC,AFSL.N0000,10.13%
2017-2,ACCESS ENGINEERING PLC,AEL.N0000,38.22%
2017-2,ACL CABLES PLC,ACL.N0000,37.34%
2017-2,ACL PLASTICS PLC,APLA.N0000,33.87%
2017-2,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2017-2,ADAM CAPITAL PLC,PCHH.N0000,41.15%
2017-2,ADAM INVESTMENTS PLC,AINV.N0000,11.64%
2017-2,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,24.92%
2017-2,AGSTAR PLC,AGST.N0000,16.59%
2017-2,AGSTAR PLC,AGST.X0000,.01%
2017-2,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.46%
2017-2,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2017-2,AITKEN SPENCE PLC,SPEN.N0000,35.91%
2017-2,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.73%
2017-2,ALUFAB PLC,ALUF.N0000,37.38%
2017-2,ALUMEX PLC,ALUM.N0000,17.34%
2017-2,AMANA BANK PLC,ABL.N0000,30.67%
2017-2,AMANA TAKAFUL LIFE PLC,ATLL.N0000,9.9%
2017-2,AMANA TAKAFUL PLC,ATL.N0000,23.19%
2017-2,AMAYA LEISURE PLC,CONN.N0000,20.47%
2017-2,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2017-2,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,32.27%
2017-2,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2017-2,ARPICO INSURANCE PLC,AINS.N0000,10.1%
2017-2,ASCOT HOLDINGS PLC,ASCO.N0000,60.05%
2017-2,ASIA ASSET FINANCE PLC,AAF.N0000,36.42%
2017-2,ASIA CAPITAL PLC,ACAP.N0000,5.13%
2017-2,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,33.89%
2017-2,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2017-2,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,20.26%
2017-2,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,26.31%
2017-2,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,9.83%
2017-2,BAIRAHA FARMS PLC,BFL.N0000,53.84%
