Public Holding 2019Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2019-2,ASIA ASSET FINANCE PLC,AAF.N0000,39.83%
2019-2,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,10.27%
2019-2,ABANS ELECTRICALS PLC,ABAN.N0000,47.19%
2019-2,AMANA BANK PLC,ABL.N0000,43.28%
2019-2,ASIA CAPITAL PLC,ACAP.N0000,13.36%
2019-2,ACL CABLES PLC,ACL.N0000,37.34%
2019-2,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2019-2,ACCESS ENGINEERING PLC,AEL.N0000,42.03%
2019-2,ABANS FINANCE PLC,AFSL.N0000,8.1%
2019-2,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,38.78%
2019-2,AGSTAR PLC,AGST.N0000,16.43%
2019-2,AGSTAR PLC,AGST.X0000,.01%
2019-2,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2019-2,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.4%
2019-2,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2019-2,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,26.57%
2019-2,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.68%
2019-2,UNISYST ENGINEERING PLC,ALUF.N0000,37.39%
2019-2,ALUMEX PLC,ALUM.N0000,15.63%
2019-2,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2019-2,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.24%
2019-2,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21.61%
2019-2,ACL PLASTICS PLC,APLA.N0000,33.87%
2019-2,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2019-2,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,6.7%
2019-2,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2019-2,LANKA ASHOK LEYLAND PLC,ASHO.N0000,30.38%
2019-2,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,19.52%
2019-2,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2019-2,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,32.64%
2019-2,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2019-2,AMANA TAKAFUL PLC,ATL.N0000,81.45%
2019-2,AMANA TAKAFUL LIFE PLC,ATLL.N0000,17.7%
2019-2,THE AUTODROME PLC,AUTO.N0000,22.71%
2019-2,BALANGODA  PLANTATIONS  PLC,BALA.N0000,41.37%
2019-2,BROWNS BEACH HOTELS PLC,BBH.N0000,9.22%
2019-2,BERUWALA RESORTS PLC,BERU.N0000,11.77%
2019-2,BAIRAHA FARMS PLC,BFL.N0000,62.45%
2019-2,ORIENT FINANCE PLC,BFN.N0000,8.74%
2019-2,RIVERINA HOTELS PLC,BHR.N0000,25.49%
2019-2,BROWNS INVESTMENTS PLC,BIL.N0000,20.05%
2019-2,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2019-2,BIMPUTH FINANCE PLC,BLI.N0000,10.01%
2019-2,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,82.26%
2019-2,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,100%
2019-2,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10.09%
2019-2,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10.13%
2019-2,B P P L HOLDINGS PLC ,BPPL.N0000,10%
2019-2,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,24.6%
2019-2,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2019-2,BROWN & COMPANY PLC,BRWN.N0000,16.44%
2019-2,BUKIT DARAH PLC,BUKI.N0000,23.04%
2019-2,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,33.21%
2019-2,DIALOG FINANCE PLC,CALF.N0000,1.12%
2019-2,PRINTCARE PLC,CARE.N0000,41.74%
2019-2,CARGILLS (CEYLON) PLC,CARG.N0000,20.4%
2019-2,CARSON CUMBERBATCH PLC,CARS.N0000,14.41%
2019-2,CEYLON COLD STORES PLC,CCS.N0000,18.55%
2019-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,45.73%
2019-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,86.78%
2019-2,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,.38%
2019-2,LANKA CERAMIC PLC,CERA.N0000,13.1%
2019-2,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,19.72%
2019-2,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,60.94%
2019-2,CHILAW FINANCE PLC,CFL.N0000,9.99%
2019-2,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,31.79%
2019-2,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,16.86%
2019-2,CEYLON HOSPITALS PLC,CHL.N0000,23.29%
2019-2,CEYLON HOSPITALS PLC,CHL.X0000,95.22%
2019-2,CHEMANEX PLC,CHMX.N0000,36.42%
2019-2,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,28.62%
2019-2,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,47.81%
2019-2,C I C HOLDINGS PLC,CIC.N0000,46.62%
2019-2,C I C HOLDINGS PLC,CIC.X0000,89.06%
2019-2,CENTRAL INDUSTRIES PLC,CIND.N0000,46.73%
2019-2,CEYLINCO INSURANCE PLC,CINS.N0000,77.31%
2019-2,CEYLINCO INSURANCE PLC,CINS.X0000,43.28%
2019-2,CEYLON INVESTMENT PLC,CINV.N0000,34.06%
2019-2,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,10.51%
2019-2,HIKKADUWA BEACH RESORT PLC,CITH.N0000,21.76%
2019-2,KALPITIYA BEACH RESORT PLC,CITK.N0000,27.82%
2019-2,WASKADUWA BEACH RESORT PLC,CITW.N0000,5.57%
2019-2,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,.45%
2019-2,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,38.62%
2019-2,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,26.35%
2019-2,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,26.35%
2019-2,RENUKA FOODS PLC,COCO.N0000,26.75%
2019-2,RENUKA FOODS PLC,COCO.X0000,68.98%
2019-2,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,13.21%
2019-2,C M HOLDINGS PLC,COLO.N0000,29.21%
2019-2,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,99.77%
2019-2,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,99.79%
2019-2,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,7.59%
2019-2,AMAYA LEISURE PLC,CONN.N0000,20.77%
2019-2,CEYLON PRINTERS PLC,CPRT.N0000,85.51%
2019-2,SOFTLOGIC FINANCE PLC,CRL.N0000,25.82%
2019-2,SEYLAN DEVELOPMENTS PLC,CSD.N0000,29.46%
2019-2,DUNAMIS CAPITAL PLC,CSEC.N0000,1.92%
2019-2,NATION LANKA FINANCE PLC,CSF.N0000,16.42%
2019-2,NATION LANKA FINANCE PLC,CSF.W0021,56.71%
2019-2,CEYLON TEA BROKERS PLC,CTBL.N0000,15.24%
2019-2,CEYLON TOBACCO COMPANY PLC,CTC.N0000,15.87%
2019-2,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2019-2,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,12.32%
2019-2,C T HOLDINGS PLC,CTHR.N0000,37.93%
2019-2,C T LAND DEVELOPMENT PLC,CTLD.N0000,17.38%
2019-2,C. W. MACKIE PLC,CWM.N0000,11.01%
2019-2,DFCC BANK PLC,DFCC.N0000,63.4%
2019-2,DIALOG AXIATA PLC,DIAL.N0000,16.68%
2019-2,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,53.18%
2019-2,DIPPED PRODUCTS PLC,DIPD.N0000,41.82%
2019-2,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,3.26%
2019-2,COLOMBO DOCKYARD PLC,DOCK.N0000,48.94%
2019-2,DANKOTUWA PORCELAIN PLC,DPL.N0000,21.7%
2019-2,EAST WEST PROPERTIES PLC,EAST.N0000,20.13%
2019-2,E B CREASY & COMPANY PLC,EBCR.N0000,25.78%
2019-2,E - CHANNELLING PLC,ECL.N0000,12.41%
2019-2,EDEN HOTEL LANKA PLC,EDEN.N0000,11.18%
2019-2,ELPITIYA PLANTATIONS PLC,ELPL.N0000,16.93%
2019-2,EASTERN MERCHANTS PLC,EMER.N0000,23.35%
2019-2,EQUITY ONE PLC,EQIT.N0000,3.72%
2019-2,ENTRUST SECURITIES PLC,ESL.N0000,10.96%
