Public Holding 2015 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2015-1,LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,0.155
2015-1,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,0.1888
2015-1,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,0.3292
2015-1,MARAWILA  RESORTS  PLC,MARA.N0000,0.4567
2015-1,MASKELIYA PLANTATIONS PLC,MASK.N0000,0.1659
2015-1, MULTI FINANCE  PLC,MFL.N0000,0.1391
2015-1,HAYLEYS FABRIC PLC,MGT.N0000,0.3669
2015-1,PROPERTY DEVELOPMENT PLC,PDL.N0000,0.0445
2015-1,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0.1
2015-1,STANDARD CAPITAL PLC,SING.N0000,0.2473
2015-1,PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,0.2071
2015-1,TAPROBANE HOLDINGS PLC,TAP.N0000,0.1273
2015-1,KELANI TYRES PLC,TYRE.N0000,0.583
2015-1,YORK ARCADE HOLDINGS PLC,YORK.N0000,0.4551
2015-1,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.14
2015-1,BAIRAHA FARMS PLC,BFL.N0000,0.5349
2015-1,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.2412
2015-1,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3723
2015-1,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,0.2501
2015-1,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,0.2635
2015-1,CEYLON LEATHER PRODUCTS PLC,CLPL.N0000,0.0861
2015-1,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,0.2635
2015-1,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.098
2015-1,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.0545
2015-1,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0285
2015-1,ELPITIYA PLANTATIONS PLC,ELPL.N0000,0.1693
2015-1,EASTERN MERCHANTS PLC,EMER.N0000,0.248
2015-1,ENTRUST SECURITIES PLC,ESL.N0000,0.1093
2015-1,LANKA CENTURY INVESTMENTS PLC,GREG.N0000,0.1924
2015-1,LANKA CENTURY INVESTMENTS PLC,GREG.W0003,0.0804
2015-1,LANKA CENTURY INVESTMENTS PLC,GREG.W0006,0.6943
2015-1,LANKA CENTURY INVESTMENTS PLC,GREG.W0001,0.0497
2015-1,HATTON NATIONAL BANK PLC,HNB.X0000,0.99
2015-1,HATTON NATIONAL BANK PLC,HNB.N0000,0.61
2015-1,BROWNS HYDRO POWER PLC,HPFL.N0000,0.1608
2015-1,RESUS ENERGY PLC,HPWR.N0000,0.2483
2015-1,JOHN KEELLS HOLDINGS PLC,JKH.N0000,0.9849
2015-1,LAUGFS GAS PLC,LGL.N0000,0.2608
2015-1,LAUGFS GAS PLC,LGL.X0000,0.653
2015-1,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,0.2447
2015-1,LANKA WALLTILE PLC,LWL.N0000,0.2987
2015-1,MACKWOODS ENERGY PLC,MEL.N0000,0.1333
2015-1,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,0.1087
2015-1,NATIONS TRUST BANK PLC,NTB.N0000,0.348
2015-1,ORIENT GARMENTS PLC,OGL.N0000,0.1517
2015-1,PARAGON CEYLON PLC,PARA.N0000,0.6761
2015-1,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,0.2486
2015-1,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,0.4291
2015-1,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,0.1459
2015-1,SAMSON INTERNATIONAL PLC,SIL.N0000,0.4241
2015-1,SINGER (SRI LANKA) PLC,SINS.N0000,0.1367
2015-1,DOLPHIN HOTELS PLC,STAF.N0000,0.2694
2015-1,TESS AGRO PLC,TESS.N0000,0.4939
2015-1,TESS AGRO PLC,TESS.X0000,0.995
2015-1,TEXTURED JERSEY LANKA PLC,TJL.N0000,0.3017
2015-1,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,0.0811
2015-1,VIDULLANKA PLC,VLL.N0000,0.1522
2015-1,VALLIBEL ONE PLC,VONE.N0000,0.1926
2015-1,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,0.1377
2015-1,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0277
2015-1,ACCESS ENGINEERING PLC,AEL.N0000,0.3792
2015-1,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.281
2015-1,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5789
