Public Holding 2019Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2019-1,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2019-1,ABANS ELECTRICALS PLC,ABAN.N0000,47.19%
2019-1,ABANS FINANCE PLC,AFSL.N0000,8.1%
2019-1,ACCESS ENGINEERING PLC,AEL.N0000,42.03%
2019-1,ACL CABLES PLC,ACL.N0000,37.34%
2019-1,ACL PLASTICS PLC,APLA.N0000,33.87%
2019-1,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2019-1,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,38.78%
2019-1,AGSTAR PLC,AGST.X0000,.01%
2019-1,AGSTAR PLC,AGST.N0000,16.43%
2019-1,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.4%
2019-1,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2019-1,AITKEN SPENCE PLC,SPEN.N0000,46.1%
2019-1,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.68%
2019-1,ALUMEX PLC,ALUM.N0000,15.63%
2019-1,AMANA BANK PLC,ABL.N0000,43.28%
2019-1,AMANA TAKAFUL LIFE PLC,ATLL.N0000,17.7%
2019-1,AMANA TAKAFUL PLC,ATL.N0000,81.45%
2019-1,AMAYA LEISURE PLC,CONN.N0000,20.77%
2019-1,AMBEON CAPITAL PLC,TAP.N0000,2.61%
2019-1,AMBEON HOLDINGS PLC,GREG.W0001,4.97%
2019-1,AMBEON HOLDINGS PLC,GREG.W0003,8.04%
2019-1,AMBEON HOLDINGS PLC,GREG.N0000,17.82%
2019-1,AMBEON HOLDINGS PLC,GREG.W0006,69.43%
2019-1,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2019-1,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,26.57%
2019-1,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2019-1,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2019-1,ASIA ASSET FINANCE PLC,AAF.N0000,39.83%
2019-1,ASIA CAPITAL PLC,ACAP.N0000,13.36%
2019-1,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2019-1,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2019-1,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2019-1,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,19.52%
2019-1,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21.61%
2019-1,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.24%
2019-1,B P P L HOLDINGS PLC ,BPPL.N0000,10%
2019-1,BAIRAHA FARMS PLC,BFL.N0000,62.45%
2019-1,BALANGODA  PLANTATIONS  PLC,BALA.N0000,41.37%
2019-1,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2019-1,BERUWALA RESORTS PLC,BERU.N0000,11.77%
2019-1,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2019-1,BIMPUTH FINANCE PLC,BLI.N0000,10.01%
2019-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,82.26%
2019-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,100%
2019-1,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10.09%
2019-1,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10.13%
2019-1,BROWN & COMPANY PLC,BRWN.N0000,16.44%
2019-1,BROWNS BEACH HOTELS PLC,BBH.N0000,9.22%
2019-1,BROWNS CAPITAL PLC,FLCH.N0000,17.6%
2019-1,BROWNS INVESTMENTS PLC,BIL.N0000,20.05%
2019-1,BUKIT DARAH PLC,BUKI.N0000,23.04%
2019-1,C I C HOLDINGS PLC,CIC.N0000,46.62%
2019-1,C I C HOLDINGS PLC,CIC.X0000,89.06%
2019-1,C M HOLDINGS PLC,COLO.N0000,29.21%
2019-1,C T HOLDINGS PLC,CTHR.N0000,37.93%
2019-1,C T LAND DEVELOPMENT PLC,CTLD.N0000,17.38%
2019-1,C. W. MACKIE PLC,CWM.N0000,11.01%
2019-1,CARGILLS (CEYLON) PLC,CARG.N0000,20.4%
2019-1,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,33.21%
2019-1,CARSON CUMBERBATCH PLC,CARS.N0000,14.41%
2019-1,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,60.94%
2019-1,CENTRAL INDUSTRIES PLC,CIND.N0000,46.73%
2019-1,CEYLINCO INSURANCE PLC,CINS.X0000,43.28%
2019-1,CEYLINCO INSURANCE PLC,CINS.N0000,77.31%
2019-1,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,24.6%
2019-1,CEYLON COLD STORES PLC,CCS.N0000,18.55%
2019-1,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,54.54%
2019-1,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,32.71%
2019-1,CEYLON HOSPITALS PLC,CHL.N0000,23.29%
2019-1,CEYLON HOSPITALS PLC,CHL.X0000,95.22%
2019-1,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,28.62%
