Public Holding 2012 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2012-3,ASIA CAPITAL PLC,ACAP.N0000,0.1024
2012-3,AGSTAR PLC,AGST.N0000,0.167
2012-3,AGSTAR PLC,AGST.X0000,0.01
2012-3,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.1406
2012-3,ACL PLASTICS PLC,APLA.N0000,0.3388
2012-3,LANKA CERAMIC PLC,CERA.N0000,0.1147
2012-3,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,0.6067
2012-3,C I C HOLDINGS PLC,CIC.X0000,0.8517
2012-3,C I C HOLDINGS PLC,CIC.N0000,0.4637
2012-3,CENTRAL INDUSTRIES PLC,CIND.N0000,0.316
2012-3,C T LAND DEVELOPMENT PLC,CTLD.N0000,0.4348
2012-3,E B CREASY & COMPANY PLC,EBCR.N0000,0.0987
2012-3,GESTETNER OF CEYLON PLC,GEST.N0000,0.1824
2012-3,HNB ASSURANCE PLC,HASU.N0000,0.3977
2012-3,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0.0648
2012-3,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,0.203
2012-3,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,0.2881
2012-3,KALAMAZOO SYSTEMS PLC,KZOO.N0000,0.5137
2012-3,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,0.2156
2012-3,BRAC LANKA FINANCE PLC,NIFL.N0000,0.255
2012-3,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,0.66
2012-3,PALM GARDEN HOTELS PLC,PALM.N0000,0.1786
2012-3,SWISSTEK (CEYLON) PLC,PARQ.N0000,0.3183
2012-3,RENUKA AGRI FOODS PLC,RAL.N0000,0.4905
2012-3,RENUKA CITY HOTELS PLC.,RENU.N0000,0.277
2012-3,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,0.7942
2012-3,S M B LEASING PLC,SEMB.N0000,0.6094
2012-3,S M B LEASING PLC,SEMB.X0000,0.9999
2012-3,S M B LEASING PLC,SEMB.W0015,0.9199
2012-3,SHALIMAR (MALAY) PLC.,SHAL.N0000,0.0345
2012-3,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,0.1639
2012-3,SIERRA CABLES PLC,SIRA.N0000,0.3768
2012-3,SUNSHINE HOLDINGS PLC,SUN.N0000,0.1095
2012-3,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,0.255
2012-3,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,0.255
2012-3,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,0.1512
2012-3,UNION CHEMICALS LANKA PLC,UCAR.N0000,0.254
2012-3,WATAWALA  PLANTATIONS  PLC,WATA.N0000,0.2729
2012-3,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.479
2012-3,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.2386
2012-3,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.4245
2012-3,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.3959
2012-3,ASCOT HOLDINGS PLC,ASCO.N0000,0.1995
2012-3,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.4272
2012-3,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.34
2012-3,RIVERINA HOTELS PLC,BHR.N0000,0.255
2012-3,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.8921
2012-3,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.7414
2012-3,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,0.3512
2012-3,COLOMBO TRUST FINANCE PLC,CALF.N0000,0.1936
2012-3,CARSON CUMBERBATCH PLC,CARS.N0000,0.2373
2012-3,CHILAW FINANCE PLC,CFL.N0000,0.629
2012-3,CHEMANEX PLC,CHMX.N0000,0.3606
2012-3,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,0.5658
2012-3,CENTRAL INVESTMENTS AND FINANCE PLC,CIFL.N0000,0.3245
2012-3,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,0.1292
2012-3,WASKADUWA BEACH RESORT PLC,CITW.N0000,0.1998
2012-3,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,0.1
2012-3,AMAYA LEISURE PLC,CONN.N0000,0.1729
2012-3,CEYLON PRINTERS PLC,CPRT.N0000,0.3954
2012-3,NATION LANKA FINANCE PLC,CSF.N0000,0.57
2012-3,NATION LANKA FINANCE PLC,CSF.W0021,0.5671
2012-3,C. W. MACKIE PLC,CWM.N0000,0.1117
2012-3,DFCC BANK PLC,DFCC.N0000,0.6338
2012-3,EDEN HOTEL LANKA PLC,EDEN.N0000,0.429
2012-3,BROWNS CAPITAL PLC,FLCH.N0000,0.4532
2012-3,SUMMIT FINANCE PLC,GSF.N0000,0.19
2012-3,HARISCHANDRA MILLS PLC,HARI.N0000,0.142
2012-3,HAYCARB PLC,HAYC.N0000,0.321
2012-3,HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,0.084
2012-3,HORANA PLANTATIONS PLC,HOPL.N0000,0.4868
2012-3,HOTEL SIGIRIYA PLC,HSIG.N0000,0.3733
2012-3,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,0.1921
2012-3,INDO-MALAY PLC,INDO.N0000,0.1009
2012-3,FINLAYS COLOMBO PLC,JFIN.N0000,0.0345
2012-3,JOHN KEELLS PLC,JKL.N0000,0.131
2012-3,KELSEY DEVELOPMENTS PLC,KDL.N0000,0.2114
2012-3,KEELLS FOOD PRODUCTS PLC,KFP.N0000,0.1545
2012-3,KEGALLE  PLANTATIONS  PLC,KGAL.N0000,0.295
2012-3,KURUWITA TEXTILE MILLS PLC,KURU.N0000,0.1974
2012-3,LANKEM CEYLON PLC,LCEY.N0000,0.1745
2012-3,LANKEM DEVELOPMENTS PLC,LDEV.N0000,0.2915
2012-3,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,0.1673
2012-3,LAXAPANA BATTERIES PLC,LITE.N0000,0.4842
2012-3,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,0.49
2012-3,LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,0.1549
2012-3,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,0.1667
2012-3,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,0.3774
2012-3,MARAWILA  RESORTS  PLC,MARA.N0000,0.468
2012-3,MASKELIYA PLANTATIONS PLC,MASK.N0000,0.2649
2012-3, MULTI FINANCE  PLC,MFL.N0000,0.1335
2012-3,HAYLEYS FABRIC PLC,MGT.N0000,0.1601
2012-3,PROPERTY DEVELOPMENT PLC,PDL.N0000,0.0684
2012-3,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0.1
2012-3,STANDARD CAPITAL PLC,SING.N0000,0.246
2012-3,PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,0.2071
2012-3,TAPROBANE HOLDINGS PLC,TAP.N0000,0.1905
2012-3,KELANI TYRES PLC,TYRE.N0000,0.583
2012-3,YORK ARCADE HOLDINGS PLC,YORK.N0000,0.4572
2012-3,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0474
2012-3,ACCESS ENGINEERING PLC,AEL.N0000,0.3996
2012-3,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.4914
2012-3,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2012-3,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.0276
2012-3,BROWNS INVESTMENTS PLC,BIL.N0000,0.313
2012-3,CEYLON COLD STORES PLC,CCS.N0000,0.1858
2012-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.9923
2012-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.3694
2012-3,CEYLON AND FOREIGN TRADES PLC,CFT.N0000,0.1723
2012-3,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,0.1765
2012-3,CEYLON INVESTMENT PLC,CINV.N0000,0.3564
2012-3,SOFTLOGIC FINANCE PLC,CRL.N0000,0.229
2012-3,C T HOLDINGS PLC,CTHR.N0000,0.387
2012-3,DANKOTUWA PORCELAIN PLC,DPL.N0000,0.3333
2012-3,E - CHANNELLING PLC,ECL.N0000,0.4677
2012-3,EQUITY ONE PLC,EQIT.N0000,0.0372
2012-3,EXPOLANKA HOLDINGS PLC,EXPO.N0000,0.2686
2012-3,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,0.1767
2012-3,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,0.4446
2012-3,HAYLEYS PLC,HAYL.N0000,0.4027
2012-3,HUNTER & COMPANY PLC,HUNT.N0000,0.1966
2012-3,HVA FOODS PLC,HVA.N0000,0.3889
2012-3,KELANI CABLES PLC,KCAB.N0000,0.204
2012-3,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.1891
2012-3,KOTAGALA PLANTATIONS PLC,KOTA.N0000,0.194
2012-3,KOTMALE HOLDINGS PLC,LAMB.N0000,0.146
2012-3,LION BREWERY (CEYLON) PLC,LION.N0000,0.1515
2012-3,LANKA MILK FOODS (CWE) PLC,LMF.N0000,0.3435
2012-3,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,0.3405
2012-3,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,0.2786
2012-3,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,0.3753
2012-3,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,0.2132
2012-3,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1084
2012-3,ODEL PLC,ODEL.N0000,0.1635
2012-3,ORIENT FINANCE PLC,ORIN.N0000,0.1
2012-3,PANASIAN POWER PLC,PAP.N0000,0.3644
2012-3,PC HOUSE PLC,PCH.N0000,0.3011
2012-3,PC PHARMA PLC,PCP.N0000,0.2148
2012-3,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.336
2012-3,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.4094
2012-3,REGNIS (LANKA) PLC,REG.N0000,0.464
2012-3,THE FORTRESS RESORTS PLC,RHTL.N0000,0.2753
2012-3,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.1338
2012-3,SAMPATH BANK PLC,SAMP.N0000,0.85
2012-3,THE KINGSBURY PLC,SERV.N0000,0.3805
