Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,0.49
2020-2,CHILAW FINANCE PLC,CFL.N0000,0.0999
2020-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.4515
2020-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.8678
2020-2,CITRUS LEISURE PLC,REEF.N0000,0.1395
2020-2,CITRUS LEISURE PLC,REEF.W0018,0.6223
2020-2,CITRUS LEISURE PLC,REEF.W0019,0.6223
2020-2,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,0.4781
2020-2,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.2237
2020-2,COLOMBO DOCKYARD PLC,DOCK.N0000,0.4894
2020-2,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.1967
2020-2,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,0.1034
2020-2,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,0.3862
2020-2,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,0.9976
2020-2,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,0.9979
2020-2,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.1321
2020-2,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.0999
2020-2,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,0.0045
2020-2,CONVENIENCE FOODS LANKA PLC,SOY.N0000,28.62%
2020-2,DANKOTUWA PORCELAIN PLC,DPL.N0000,22.43%
2020-2,DFCC BANK PLC,DFCC.N0000,62.56%
2020-2,DIALOG AXIATA PLC,DIAL.N0000,16.68%
2020-2,DIALOG FINANCE PLC,CALF.N0000,1.12%
2020-2,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,53.18%
2020-2,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,12.32%
2020-2,DIPPED PRODUCTS PLC,DIPD.N0000,41.82%
2020-2,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,3.26%
2020-2,DOLPHIN HOTELS PLC,STAF.N0000,26.13%
2020-2,E - CHANNELLING PLC,ECL.N0000,12.41%
2020-2,E B CREASY & COMPANY PLC,EBCR.N0000,25.78%
2020-2,EAST WEST PROPERTIES PLC,EAST.N0000,25.38%
2020-2,EASTERN MERCHANTS PLC,EMER.N0000,40.96%
2020-2,EDEN HOTEL LANKA PLC,EDEN.N0000,11.18%
