Public Holding 2014 Q4 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2014-4,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.1294
2014-4,BAIRAHA FARMS PLC,BFL.N0000,0.5349
2014-4,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.2412
2014-4,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3723
2014-4,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,0.2501
2014-4,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,0.2635
2014-4,CEYLON LEATHER PRODUCTS PLC,CLPL.N0000,0.2635
2014-4,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,0.2635
2014-4,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.1195
2014-4,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.0545
2014-4,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0285
2014-4,ELPITIYA PLANTATIONS PLC,ELPL.N0000,0.1693
2014-4,EASTERN MERCHANTS PLC,EMER.N0000,0.248
2014-4,ENTRUST SECURITIES PLC,ESL.N0000,0.1093
2014-4,LANKA CENTURY INVESTMENTS PLC,GREG.N0000,0.1924
2014-4,LANKA CENTURY INVESTMENTS PLC,GREG.W0006,0.3716
2014-4,LANKA CENTURY INVESTMENTS PLC,GREG.W0003,0.0804
2014-4,LANKA CENTURY INVESTMENTS PLC,GREG.W0001,0.0497
2014-4,HATTON NATIONAL BANK PLC,HNB.X0000,0.99
2014-4,HATTON NATIONAL BANK PLC,HNB.N0000,0.61
2014-4,BROWNS HYDRO POWER PLC,HPFL.N0000,0.1585
2014-4,RESUS ENERGY PLC,HPWR.N0000,0.2483
2014-4,JOHN KEELLS HOLDINGS PLC,JKH.N0000,0.9856
2014-4,LAUGFS GAS PLC,LGL.X0000,0.653
2014-4,LAUGFS GAS PLC,LGL.N0000,0.3006
2014-4,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,0.2453
2014-4,LANKA WALLTILE PLC,LWL.N0000,0.2983
2014-4,MACKWOODS ENERGY PLC,MEL.N0000,0.1333
2014-4,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,0.1087
2014-4,NATIONS TRUST BANK PLC,NTB.N0000,0.498
2014-4,ORIENT GARMENTS PLC,OGL.N0000,0.1471
2014-4,PARAGON CEYLON PLC,PARA.N0000,0.6761
2014-4,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,0.2485
2014-4,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,0.4346
2014-4,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,0.2809
2014-4,SAMSON INTERNATIONAL PLC,SIL.N0000,0.4241
2014-4,SINGER (SRI LANKA) PLC,SINS.N0000,0.1367
2014-4,DOLPHIN HOTELS PLC,STAF.N0000,0.2694
2014-4,TESS AGRO PLC,TESS.X0000,0.7258
2014-4,TESS AGRO PLC,TESS.N0000,0.4897
2014-4,TEXTURED JERSEY LANKA PLC,TJL.N0000,0.3015
2014-4,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,0.0811
2014-4,VIDULLANKA PLC,VLL.N0000,0.1557
2014-4,VALLIBEL ONE PLC,VONE.N0000,0.1926
2014-4,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,0.1377
2014-4,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0266
2014-4,ACCESS ENGINEERING PLC,AEL.N0000,0.3722
2014-4,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.3097
2014-4,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5789
2014-4,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2014-4,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.0268
2014-4,BROWNS INVESTMENTS PLC,BIL.N0000,0.2255
2014-4,CEYLON COLD STORES PLC,CCS.N0000,0.185
2014-4,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.7913
2014-4,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.3613
2014-4,CEYLON AND FOREIGN TRADES PLC,CFT.N0000,0.1697
2014-4,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,0.238
2014-4,CEYLON INVESTMENT PLC,CINV.N0000,0.3519
2014-4,SOFTLOGIC FINANCE PLC,CRL.N0000,0.3695
2014-4,C T HOLDINGS PLC,CTHR.N0000,0.3925
2014-4,DANKOTUWA PORCELAIN PLC,DPL.N0000,0.3332
2014-4,E - CHANNELLING PLC,ECL.N0000,0.1273
2014-4,EQUITY ONE PLC,EQIT.N0000,0.0372
2014-4,EXPOLANKA HOLDINGS PLC,EXPO.N0000,0.327
2014-4,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,0.1257
2014-4,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,0.4446
2014-4,HAYLEYS PLC,HAYL.N0000,0.3999
2014-4,HUNTER & COMPANY PLC,HUNT.N0000,0.2967
2014-4,HVA FOODS PLC,HVA.N0000,0.3849
2014-4,KELANI CABLES PLC,KCAB.N0000,0.202
2014-4,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.0905
2014-4,KOTAGALA PLANTATIONS PLC,KOTA.N0000,0.3039
2014-4,KOTMALE HOLDINGS PLC,LAMB.N0000,0.0419
2014-4,LION BREWERY (CEYLON) PLC,LION.N0000,0.1456
2014-4,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0.2159
2014-4,LANKA MILK FOODS (CWE) PLC,LMF.N0000,0.3435
2014-4,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,0.326
2014-4,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,0.2134
2014-4,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,0.2102
2014-4,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,0.1926
2014-4,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1084
2014-4,ODEL PLC,ODEL.N0000,0.0738
2014-4,ORIENT FINANCE PLC,ORIN.N0000,0.3501
2014-4,PANASIAN POWER PLC,PAP.N0000,0.7021
2014-4,PC HOUSE PLC,PCH.N0000,0.8163
2014-4,PC PHARMA PLC,PCP.N0000,0.511
2014-4,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.336
2014-4,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.4672
2014-4,REGNIS (LANKA) PLC,REG.N0000,0.4093
2014-4,THE FORTRESS RESORTS PLC,RHTL.N0000,0.1815
2014-4,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.1165
2014-4,SAMPATH BANK PLC,SAMP.N0000,0.8325
2014-4,THE KINGSBURY PLC,SERV.N0000,0.3914
2014-4,SEYLAN BANK PLC,SEYB.N0000,0.543
2014-4,SEYLAN BANK PLC,SEYB.X0000,0.5745
2014-4,SINGER FINANCE LANKA PLC,SFIN.N0000,0.1952
2014-4,SINHAPUTHRA FINANCE PLC,SFL.N0000,0.4971
2014-4,PEOPLE'S FINANCE PLC,SMLL.N0000,0.0944
2014-4,AITKEN SPENCE PLC,SPEN.N0000,0.3878
2014-4,LANKA TILES PLC,TILE.N0000,0.2995
2014-4,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,0.2027
2014-4,UNION ASSURANCE PLC,UAL.N0000,0.0434
2014-4,UNITED MOTORS LANKA PLC,UML.N0000,0.2688
2014-4,ASIA CAPITAL PLC,ACAP.N0000,0.1176
2014-4,AGSTAR PLC,AGST.N0000,0.1659
2014-4,AGSTAR PLC,AGST.X0000,0.0001
2014-4,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.0982
2014-4,ACL PLASTICS PLC,APLA.N0000,0.3387
2014-4,LANKA CERAMIC PLC,CERA.N0000,0.1958
2014-4,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,0.6005
2014-4,C I C HOLDINGS PLC,CIC.X0000,0.9622
2014-4,C I C HOLDINGS PLC,CIC.N0000,0.466
2014-4,CENTRAL INDUSTRIES PLC,CIND.N0000,0.308
2014-4,C T LAND DEVELOPMENT PLC,CTLD.N0000,0.2471
2014-4,E B CREASY & COMPANY PLC,EBCR.N0000,0.2588
2014-4,GESTETNER OF CEYLON PLC,GEST.N0000,0.1824
2014-4,HNB ASSURANCE PLC,HASU.N0000,0.3914
2014-4,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0.0648
2014-4,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,0.2047
2014-4,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,0.2757
2014-4,KALAMAZOO SYSTEMS PLC,KZOO.N0000,0.5782
2014-4,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,0.486
2014-4,BRAC LANKA FINANCE PLC,NIFL.N0000,0.0565
2014-4,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,0.5296
2014-4,PALM GARDEN HOTELS PLC,PALM.N0000,0.286
2014-4,SWISSTEK (CEYLON) PLC,PARQ.N0000,0.3577
2014-4,RENUKA AGRI FOODS PLC,RAL.N0000,0.3535
2014-4,RENUKA CITY HOTELS PLC.,RENU.N0000,0.2791
2014-4,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,0.9589
2014-4,S M B LEASING PLC,SEMB.N0000,0.539
2014-4,S M B LEASING PLC,SEMB.X0000,0.9232
2014-4,SHALIMAR (MALAY) PLC.,SHAL.N0000,0.0074
2014-4,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,0.1641
2014-4,SIERRA CABLES PLC,SIRA.N0000,0.3762
2014-4,SUNSHINE HOLDINGS PLC,SUN.N0000,0.1365
