Public Holding 2019Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2019-3,ASIA ASSET FINANCE PLC,AAF.N0000,27%
2019-3,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,10.27%
2019-3,ABANS ELECTRICALS PLC,ABAN.N0000,47.19%
2019-3,AMANA BANK PLC,ABL.N0000,43.28%
2019-3,ASIA CAPITAL PLC,ACAP.N0000,18.59%
2019-3,ACL CABLES PLC,ACL.N0000,37.34%
2019-3,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2019-3,ACCESS ENGINEERING PLC,AEL.N0000,41.91%
2019-3,ABANS FINANCE PLC,AFSL.N0000,8.1%
2019-3,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,38.78%
2019-3,AGSTAR PLC,AGST.N0000,16.09%
2019-3,AGSTAR PLC,AGST.X0000,.01%
2019-3,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2019-3,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.4%
2019-3,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2019-3,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,23.6%
2019-3,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.69%
2019-3,UNISYST ENGINEERING PLC,ALUF.N0000,37.39%
2019-3,ALUMEX PLC,ALUM.N0000,15.65%
2019-3,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2019-3,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.24%
2019-3,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21.46%
2019-3,ACL PLASTICS PLC,APLA.N0000,33.88%
2019-3,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2019-3,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,6.7%
2019-3,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2019-3,LANKA ASHOK LEYLAND PLC,ASHO.N0000,30.38%
2019-3,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,19.52%
2019-3,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2019-3,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,32.64%
2019-3,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2019-3,AMANA TAKAFUL PLC,ATL.N0000,39.66%
