Public Holding 2020Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-3, MULTI FINANCE  PLC,MFL.N0000,0.352
2020-3,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2020-3,ABANS ELECTRICALS PLC,ABAN.N0000,0.4719
2020-3,ABANS FINANCE PLC,AFSL.N0000,0.081
2020-3,ABANS PLC,ABNS.N0000,0
2020-3,ACCESS ENGINEERING PLC,AEL.N0000,0.4501
2020-3,ACL CABLES PLC,ACL.N0000,0.3734
2020-3,ACL PLASTICS PLC,APLA.N0000,0.3387
2020-3,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.4912
2020-3,ADAM CAPITAL PLC,PCHH.N0000,0
2020-3,ADAM INVESTMENTS PLC,AINV.N0000,0
2020-3,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.3878
2020-3,AGSTAR PLC,AGST.X0000,0.0001
2020-3,AGSTAR PLC,AGST.N0000,0.1609
2020-3,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.254
2020-3,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2020-3,AITKEN SPENCE PLC,SPEN.N0000,0.4569
2020-3,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5368
2020-3,ALUMEX PLC,ALUM.N0000,0.1556
2020-3,AMANA BANK PLC,ABL.N0000,0.4288
2020-3,AMANA TAKAFUL LIFE PLC,ATLL.N0000,0.177
2020-3,AMANA TAKAFUL PLC,ATL.N0000,0.3966
2020-3,AMAYA LEISURE PLC,CONN.N0000,0.2094
2020-3,AMBEON CAPITAL PLC,TAP.N0000,0.0262
2020-3,AMBEON HOLDINGS PLC,GREG.W0001,0.0497
2020-3,AMBEON HOLDINGS PLC,GREG.N0000,0.1833
2020-3,AMBEON HOLDINGS PLC,GREG.W0006,0.6943
2020-3,AMBEON HOLDINGS PLC,GREG.W0003,0.0804
2020-3,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2020-3,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.2357
2020-3,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0597
2020-3,ARPICO INSURANCE PLC,AINS.N0000,0.1001
2020-3,ASIA ASSET FINANCE PLC,AAF.N0000,0.27
2020-3,ASIA CAPITAL PLC,ACAP.N0000,0.1859
2020-3,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.3412
2020-3,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2144
