Public Holding 2018 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2018-1,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2018-1,ABANS ELECTRICALS PLC,ABAN.N0000,47.07%
2018-1,ABANS FINANCE PLC,AFSL.N0000,8.1%
2018-1,ACCESS ENGINEERING PLC,AEL.N0000,42.22%
2018-1,ACL CABLES PLC,ACL.N0000,37.34%
2018-1,ACL PLASTICS PLC,APLA.N0000,33.87%
2018-1,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2018-1,ADAM CAPITAL PLC,PCHH.N0000,41.15%
2018-1,ADAM INVESTMENTS PLC,AINV.N0000,11.64%
2018-1,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,24.92%
2018-1,AGSTAR PLC,AGST.N0000,16.43%
2018-1,AGSTAR PLC,AGST.X0000,.01%
2018-1,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.41%
2018-1,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2018-1,AITKEN SPENCE PLC,SPEN.N0000,48.99%
2018-1,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.72%
2018-1,ALUFAB PLC,ALUF.N0000,37.38%
2018-1,ALUMEX PLC,ALUM.N0000,15.67%
2018-1,AMANA BANK PLC,ABL.N0000,40.13%
2018-1,AMANA TAKAFUL LIFE PLC,ATLL.N0000,10%
2018-1,AMANA TAKAFUL PLC,ATL.N0000,22.64%
2018-1,AMAYA LEISURE PLC,CONN.N0000,20.87%
2018-1,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2018-1,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,37.66%
2018-1,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.86%
2018-1,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2018-1,ASCOT HOLDINGS PLC,ASCO.N0000,60.06%
2018-1,ASIA ASSET FINANCE PLC,AAF.N0000,39.83%
2018-1,ASIA CAPITAL PLC,ACAP.N0000,5.52%
2018-1,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2018-1,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2018-1,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2018-1,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,19.67%
2018-1,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,26.31%
2018-1,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.08%
2018-1,B P P L HOLDINGS PLC ,BPPL.N0000,9.99%
2018-1,BAIRAHA FARMS PLC,BFL.N0000,63.42%
2018-1,BALANGODA  PLANTATIONS  PLC,BALA.N0000,41.39%
2018-1,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2018-1,BERUWALA RESORTS PLC,BERU.N0000,12.73%
2018-1,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2018-1,BIMPUTH FINANCE PLC,BLI.N0000,5.88%
2018-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,98.2%
2018-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,100%
2018-1,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10.09%
2018-1,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10.13%
2018-1,BRAC LANKA FINANCE PLC,NIFL.N0000,.11%
2018-1,BROWN & COMPANY PLC,BRWN.N0000,45.32%
2018-1,BROWNS BEACH HOTELS PLC,BBH.N0000,9.22%
2018-1,BROWNS CAPITAL PLC,FLCH.N0000,20%
2018-1,BROWNS INVESTMENTS PLC,BIL.N0000,20.06%
2018-1,BUKIT DARAH PLC,BUKI.N0000,23.04%
2018-1,C I C HOLDINGS PLC,CIC.N0000,46.61%
2018-1,C I C HOLDINGS PLC,CIC.X0000,89.06%
2018-1,C M HOLDINGS PLC,COLO.N0000,29.51%
2018-1,C T HOLDINGS PLC,CTHR.N0000,38.62%
