Public Holding 2015 Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2015-2,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.1662
2015-2,BAIRAHA FARMS PLC,BFL.N0000,0.5359
2015-2,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.2412
2015-2,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3722
2015-2,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,0.2501
2015-2,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,0.2635
2015-2,CEYLON LEATHER PRODUCTS PLC,CLPL.N0000,0.0447
2015-2,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,0.2635
2015-2,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.1409
2015-2,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.0545
2015-2,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2015-2,ELPITIYA PLANTATIONS PLC,ELPL.N0000,0.1693
2015-2,EASTERN MERCHANTS PLC,EMER.N0000,0.248
2015-2,ENTRUST SECURITIES PLC,ESL.N0000,0.1093
2015-2,LANKA CENTURY INVESTMENTS PLC,GREG.W0006,0.6943
2015-2,LANKA CENTURY INVESTMENTS PLC,GREG.W0003,0.0804
2015-2,LANKA CENTURY INVESTMENTS PLC,GREG.W0001,0.0497
2015-2,LANKA CENTURY INVESTMENTS PLC,GREG.N0000,0.1924
2015-2,HATTON NATIONAL BANK PLC,HNB.X0000,0.99
2015-2,HATTON NATIONAL BANK PLC,HNB.N0000,0.61
2015-2,BROWNS HYDRO POWER PLC,HPFL.N0000,0.1645
2015-2,RESUS ENERGY PLC,HPWR.N0000,0.2479
2015-2,JOHN KEELLS HOLDINGS PLC,JKH.N0000,0.9849
2015-2,LAUGFS GAS PLC,LGL.X0000,0.653
2015-2,LAUGFS GAS PLC,LGL.N0000,0.2607
2015-2,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,0.2365
2015-2,LANKA WALLTILE PLC,LWL.N0000,0.2988
2015-2,MACKWOODS ENERGY PLC,MEL.N0000,0.1333
2015-2,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,0.1087
2015-2,NATIONS TRUST BANK PLC,NTB.N0000,0.3484
2015-2,ORIENT GARMENTS PLC,OGL.N0000,0.1516
2015-2,PARAGON CEYLON PLC,PARA.N0000,0.6761
2015-2,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,0.2485
2015-2,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,0.4291
2015-2,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,0.1459
2015-2,SAMSON INTERNATIONAL PLC,SIL.N0000,0.4204
2015-2,SINGER (SRI LANKA) PLC,SINS.N0000,0.1367
2015-2,DOLPHIN HOTELS PLC,STAF.N0000,0.2694
2015-2,TESS AGRO PLC,TESS.X0000,0.995
2015-2,TESS AGRO PLC,TESS.N0000,0.4939
2015-2,TEXTURED JERSEY LANKA PLC,TJL.N0000,0.3017
2015-2,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,0.0811
2015-2,VIDULLANKA PLC,VLL.N0000,0.163
2015-2,VALLIBEL ONE PLC,VONE.N0000,0.1913
2015-2,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,0.1377
2015-2,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0277
2015-2,ACCESS ENGINEERING PLC,AEL.N0000,0.3792
2015-2,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.2806
2015-2,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5996
2015-2,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2015-2,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.1468
2015-2,BROWNS INVESTMENTS PLC,BIL.N0000,0.2267
2015-2,CEYLON COLD STORES PLC,CCS.N0000,0.185
2015-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.795
2015-2,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.3589
2015-2,CEYLON AND FOREIGN TRADES PLC,CFT.N0000,0.1696
2015-2,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,0.2327
2015-2,CEYLON INVESTMENT PLC,CINV.N0000,0.3519
2015-2,SOFTLOGIC FINANCE PLC,CRL.N0000,0.3455
2015-2,C T HOLDINGS PLC,CTHR.N0000,0.3929
2015-2,DANKOTUWA PORCELAIN PLC,DPL.N0000,0.3332
2015-2,E - CHANNELLING PLC,ECL.N0000,0.1271
2015-2,EQUITY ONE PLC,EQIT.N0000,0.0372
2015-2,EXPOLANKA HOLDINGS PLC,EXPO.N0000,0.327
2015-2,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,0.1257
2015-2,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,0.4446
2015-2,HAYLEYS PLC,HAYL.N0000,0.3866
2015-2,HUNTER & COMPANY PLC,HUNT.N0000,0.2967
2015-2,HVA FOODS PLC,HVA.N0000,0.3849
2015-2,KELANI CABLES PLC,KCAB.N0000,0.202
2015-2,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.0905
2015-2,KOTAGALA PLANTATIONS PLC,KOTA.N0000,0.3039
2015-2,KOTMALE HOLDINGS PLC,LAMB.N0000,0.0592
2015-2,LION BREWERY (CEYLON) PLC,LION.N0000,0.1395
2015-2,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0.2405
2015-2,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,1
2015-2,LANKA MILK FOODS (CWE) PLC,LMF.N0000,0.3435
2015-2,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,0.2953
2015-2,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,0.1995
2015-2,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,0.2102
2015-2,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,0.1925
2015-2,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1084
2015-2,ODEL PLC,ODEL.N0000,0.066
2015-2,ORIENT FINANCE PLC,ORIN.N0000,0.1
2015-2,PANASIAN POWER PLC,PAP.N0000,0.5924
2015-2,PC HOUSE PLC,PCH.N0000,0.8184
2015-2,PC PHARMA PLC,PCP.N0000,0.6566
2015-2,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.336
2015-2,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.4703
2015-2,REGNIS (LANKA) PLC,REG.N0000,0.4093
2015-2,THE FORTRESS RESORTS PLC,RHTL.N0000,0.1811
2015-2,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.1308
