Public Holding 2017 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2017-1,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,22.31%
2017-1,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,11.67%
2017-1,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,27.79%
2017-1,COLOMBO TRUST FINANCE PLC,CALF.N0000,12.4%
2017-1,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,99.79%
2017-1,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,99.79%
2017-1,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,14.52%
2017-1,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,5.87%
2017-1,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,1.08%
2017-1,CONVENIENCE FOODS LANKA PLC,SOY.N0000,28.62%
2017-1,DANKOTUWA PORCELAIN PLC,DPL.N0000,21.75%
2017-1,DFCC BANK PLC,DFCC.N0000,63.4%
2017-1,DIALOG AXIATA PLC,DIAL.N0000,16.68%
2017-1,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,46.55%
2017-1,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,12.82%
2017-1,DIPPED PRODUCTS PLC,DIPD.N0000,41.82%
2017-1,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,42.34%
2017-1,DOLPHIN HOTELS PLC,STAF.N0000,25.95%
2017-1,DUNAMIS CAPITAL PLC,CSEC.N0000,23.21%
2017-1,E - CHANNELLING PLC,ECL.N0000,12.41%
2017-1,E B CREASY & COMPANY PLC,EBCR.N0000,25.88%
2017-1,EAST WEST PROPERTIES PLC,EAST.N0000,15.26%
2017-1,EASTERN MERCHANTS PLC,EMER.N0000,26.91%
2017-1,EDEN HOTEL LANKA PLC,EDEN.N0000,26.8%
2017-1,ELPITIYA PLANTATIONS PLC,ELPL.N0000,16.93%
2017-1,ENTRUST SECURITIES PLC,ESL.N0000,10.96%
2017-1,EQUITY TWO PLC,ETWO.N0000,11.17%
2017-1,EXPOLANKA HOLDINGS PLC,EXPO.N0000,25%
2017-1,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,24.93%
2017-1,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,12.57%
2017-1,GESTETNER OF CEYLON PLC,GEST.N0000,15.94%
2017-1,GOOD HOPE PLC,GOOD.N0000,5.48%
2017-1,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,13.77%
2017-1,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,10%
2017-1,HARISCHANDRA MILLS PLC,HARI.N0000,42.79%
2017-1,HATTON NATIONAL BANK PLC,HNB.X0000,99%
2017-1,HATTON NATIONAL BANK PLC,HNB.N0000,61%
2017-1,HAYCARB PLC,HAYC.N0000,32.16%
2017-1,HAYLEYS FABRIC PLC,MGT.N0000,36.92%
2017-1,HAYLEYS FIBRE PLC,HEXP.N0000,34.81%
2017-1,HAYLEYS PLC,HAYL.N0000,37.62%
2017-1,HEMAS HOLDINGS PLC,HHL.N0000,35.43%
2017-1,HIKKADUWA BEACH RESORT PLC,CITH.N0000,11.15%
2017-1,HNB ASSURANCE PLC,HASU.N0000,38.66%
2017-1,HORANA PLANTATIONS PLC,HOPL.N0000,51%
2017-1,HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,8.4%
2017-1,HOTEL SIGIRIYA PLC,HSIG.N0000,37.36%
2017-1,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,35.6%
2017-1,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,5.38%
2017-1,HUNAS FALLS HOTELS PLC,HUNA.N0000,31.32%
2017-1,HUNTER & COMPANY PLC,HUNT.N0000,29.68%
2017-1,HVA FOODS PLC,HVA.N0000,38.43%
2017-1,INDO-MALAY PLC,INDO.N0000,9.22%
2017-1,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,29.74%
2017-1,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.X0000,15.12%
2017-1,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.N0000,15.12%
2017-1,JANASHAKTHI INSURANCE PLC,JINS.N0000,23.39%
2017-1,JOHN KEELLS HOLDINGS PLC,JKH.N0000,98.49%
2017-1,JOHN KEELLS HOTELS PLC,KHL.N0000,19.64%
2017-1,JOHN KEELLS PLC,JKL.N0000,13.1%
2017-1,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,20.48%
2017-1,KALAMAZOO SYSTEMS PLC,KZOO.N0000,29.61%
2017-1,KALPITIYA BEACH RESORT PLC,CITK.N0000,27.82%
2017-1,KEELLS FOOD PRODUCTS PLC,KFP.N0000,8.38%
2017-1,KEGALLE  PLANTATIONS  PLC,KGAL.N0000,.21%
2017-1,KELANI CABLES PLC,KCAB.N0000,20.2%
2017-1,KELANI TYRES PLC,TYRE.N0000,56.31%
2017-1,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,27.57%
2017-1,KELSEY DEVELOPMENTS PLC,KDL.N0000,16.55%
2017-1,KOTAGALA PLANTATIONS PLC,KOTA.N0000,30.39%
2017-1,KOTMALE HOLDINGS PLC,LAMB.N0000,.49%
2017-1,KURUWITA TEXTILE MILLS PLC,KURU.N0000,19.74%
