Public Holding 2016 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2016 - 1,MULTI FINANCE  PLC,MFL.N0000,0.1432
2016 - 1,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2016 - 1,ABANS ELECTRICALS PLC,ABAN.N0000,0.3769
2016 - 1,ABANS FINANCE PLC,AFSL.N0000,0.1034
2016 - 1,ACCESS ENGINEERING PLC,AEL.N0000,0.3792
2016 - 1,ACL CABLES PLC,ACL.N0000,0.3735
2016 - 1,ACL PLASTICS PLC,APLA.N0000,0.3387
2016 - 1,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.4912
2016 - 1,ADAM CAPITAL PLC,PCHH.N0000,0.4277
2016 - 1,ADAM INVESTMENTS PLC,AINV.N0000,0.1168
2016 - 1,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.2492
2016 - 1,AGSTAR PLC,AGST.N0000,0.1618
2016 - 1,AGSTAR PLC,AGST.X0000,0.0001
2016 - 1,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.254
2016 - 1,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2016 - 1,AITKEN SPENCE PLC,SPEN.N0000,0.3676
2016 - 1,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5373
2016 - 1,ALUFAB PLC,ALUF.N0000,0.3741
2016 - 1,ALUMEX PLC,ALUM.N0000,0.1474
2016 - 1,AMANA BANK PLC,ABL.N0000,0.3138
2016 - 1,AMANA TAKAFUL PLC,ATL.N0000,0.2423
2016 - 1,AMAYA LEISURE PLC,CONN.N0000,0.2047
2016 - 1,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2016 - 1,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.2681
2016 - 1,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0597
2016 - 1,ARPICO INSURANCE PLC,AINS.N0000,0.101
2016 - 1,ASCOT HOLDINGS PLC,ASCO.N0000,0.611
2016 - 1,ASIA ASSET FINANCE PLC,AAF.N0000,0.2739
2016 - 1,ASIA CAPITAL PLC,ACAP.N0000,0.0668
2016 - 1,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.3389
2016 - 1,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0277
2016 - 1,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2144
2016 - 1,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,0.0068
2016 - 1,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.2026
2016 - 1,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.2631
2016 - 1,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.0983
2016 - 1,BAIRAHA FARMS PLC,BFL.N0000,0.5365
2016 - 1,BALANGODA  PLANTATIONS  PLC,BALA.N0000,0.4139
2016 - 1,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,0.1
2016 - 1,BERUWALA RESORTS PLC,BERU.N0000,0.1036
2016 - 1,BERUWELA WALK INN PLC,BINN.N0000,0.065
2016 - 1,BIMPUTH FINANCE PLC,BLI.N0000,0.1052
2016 - 1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.7397
2016 - 1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,1
2016 - 1,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,0.1002
2016 - 1,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,0.2123
2016 - 1,BRAC LANKA FINANCE PLC,NIFL.N0000,0.0565
2016 - 1,BROWN & COMPANY PLC,BRWN.N0000,0.4532
2016 - 1,BROWNS BEACH HOTELS PLC,BBH.N0000,0.092
2016 - 1,BROWNS CAPITAL PLC,FLCH.N0000,0.3921
