Public Holding 2016 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY,PUBLIC FLOAT
2016-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.8678
2016-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.8678
2016-3,CITRUS LEISURE PLC,REEF.W0019,0.6223
2016-3,CITRUS LEISURE PLC,REEF.N0000,0.5877
2016-3,CITRUS LEISURE PLC,REEF.W0018,0.6223
2016-3,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,0.4742
2016-3,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,0.336
2016-3,COLOMBO DOCKYARD PLC,DOCK.N0000,0.4894
2016-3,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.228
2016-3,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,0.1185
2016-3,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,0.2779
2016-3,COLOMBO TRUST FINANCE PLC,CALF.N0000,0.124
2016-3,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,0.9979
2016-3,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,0.9979
2016-3,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.1452
2016-3,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.0572
2016-3,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,0.0107
2016-3,CONVENIENCE FOODS LANKA PLC,SOY.N0000,0.2862
2016-3,DANKOTUWA PORCELAIN PLC,DPL.N0000,0.2175
2016-3,DFCC BANK PLC,DFCC.N0000,0.6334
2016-3,DIALOG AXIATA PLC,DIAL.N0000,0.1668
2016-3,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,0.4655
2016-3,DIPPED PRODUCTS PLC,DIPD.N0000,0.4181
2016-3,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,0.4234
2016-3,DOLPHIN HOTELS PLC,STAF.N0000,0.2593
2016-3,DUNAMIS CAPITAL PLC,CSEC.N0000,0.2884
2016-3,E - CHANNELLING PLC,ECL.N0000,0.1241
2016-3,E B CREASY & COMPANY PLC,EBCR.N0000,0.2588
2016-3,EAST WEST PROPERTIES PLC,EAST.N0000,0.1526
2016-3,EASTERN MERCHANTS PLC,EMER.N0000,0.2675
2016-3,EDEN HOTEL LANKA PLC,EDEN.N0000,0.2243
2016-3,ELPITIYA PLANTATIONS PLC,ELPL.N0000,0.1693
2016-3,ENTRUST SECURITIES PLC,ESL.N0000,0.1096
2016-3,EQUITY ONE PLC,EQIT.N0000,0.0372
2016-3,EQUITY TWO PLC,ETWO.N0000,0.1117
2016-3,EXPOLANKA HOLDINGS PLC,EXPO.N0000,0.25
2016-3,FINLAYS COLOMBO PLC,JFIN.N0000,0.0294
2016-3,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,0.2493
2016-3,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,0.1257
2016-3,GESTETNER OF CEYLON PLC,GEST.N0000,0.1594
2016-3,GOOD HOPE PLC,GOOD.N0000,0.0548
2016-3,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,0.1377
2016-3,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,0.1
2016-3,HARISCHANDRA MILLS PLC,HARI.N0000,0.4279
2016-3,HATTON NATIONAL BANK PLC,HNB.X0000,0.99
2016-3,HATTON NATIONAL BANK PLC,HNB.N0000,0.61
2016-3,HAYCARB PLC,HAYC.N0000,0.3216
2016-3,HAYLEYS FABRIC PLC,MGT.N0000,0.3692
2016-3,HAYLEYS FIBRE PLC,HEXP.N0000,0.3481
2016-3,HAYLEYS PLC,HAYL.N0000,0.3762
2016-3,HEMAS HOLDINGS PLC,HHL.N0000,0.3543
2016-3,HIKKADUWA BEACH RESORT PLC,CITH.N0000,0.1115
2016-3,HNB ASSURANCE PLC,HASU.N0000,0.3866
2016-3,HORANA PLANTATIONS PLC,HOPL.N0000,0.49
2016-3,HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,0.084
2016-3,HOTEL SIGIRIYA PLC,HSIG.N0000,0.3734
2016-3,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,0.356
2016-3,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0.0538
2016-3,HUNAS FALLS HOTELS PLC,HUNA.N0000,0.3132
2016-3,HUNTER & COMPANY PLC,HUNT.N0000,0.2968
2016-3,HVA FOODS PLC,HVA.N0000,0.3843
2016-3,INDO-MALAY PLC,INDO.N0000,0.0922
2016-3,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.2978
2016-3,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.X0000,0.1512
2016-3,"J.L.MORISON, SON & JONES (CEYLON) PLC",MORI.N0000,0.1512
2016-3,JANASHAKTHI INSURANCE PLC,JINS.N0000,0.2339
2016-3,JOHN KEELLS HOLDINGS PLC,JKH.N0000,0.9849
2016-3,JOHN KEELLS HOTELS PLC,KHL.N0000,0.1964
