Public Holding 2018 Q4 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2018-4,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2018-4,ABANS ELECTRICALS PLC,ABAN.N0000,47.19%
2018-4,ABANS FINANCE PLC,AFSL.N0000,8.1%
2018-4,ABANS PLC,ABNS.N0000,0%
2018-4,ACCESS ENGINEERING PLC,AEL.N0000,42.31%
2018-4,ACL CABLES PLC,ACL.N0000,37.34%
2018-4,ACL PLASTICS PLC,APLA.N0000,33.88%
2018-4,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2018-4,ADAM CAPITAL PLC,PCHH.N0000,44.31%
2018-4,ADAM INVESTMENTS PLC,AINV.N0000,26.29%
2018-4,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,38.78%
2018-4,AGSTAR PLC,AGST.N0000,16.43%
2018-4,AGSTAR PLC,AGST.X0000,.01%
2018-4,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.4%
2018-4,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2018-4,AITKEN SPENCE PLC,SPEN.N0000,46.1%
2018-4,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.72%
2018-4,ALUFAB PLC,ALUF.N0000,37.39%
2018-4,ALUMEX PLC,ALUM.N0000,15.65%
2018-4,AMANA BANK PLC,ABL.N0000,43.85%
2018-4,AMANA TAKAFUL LIFE PLC,ATLL.N0000,17.7%
2018-4,AMANA TAKAFUL PLC,ATL.N0000,42.44%
2018-4,AMAYA LEISURE PLC,CONN.N0000,20.77%
2018-4,AMBEON CAPITAL PLC,TAP.N0000,2.61%
2018-4,AMBEON HOLDINGS PLC,GREG.W0003,8.04%
2018-4,AMBEON HOLDINGS PLC,GREG.W0006,69.43%
2018-4,AMBEON HOLDINGS PLC,GREG.N0000,17.89%
2018-4,AMBEON HOLDINGS PLC,GREG.W0001,4.97%
2018-4,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2018-4,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,60.24%
2018-4,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2018-4,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2018-4,ASIA ASSET FINANCE PLC,AAF.N0000,39.83%
2018-4,ASIA CAPITAL PLC,ACAP.N0000,13.42%
2018-4,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2018-4,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2018-4,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2018-4,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,19.52%
2018-4,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21.61%
2018-4,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.24%
2018-4,B P P L HOLDINGS PLC ,BPPL.N0000,10%
2018-4,BAIRAHA FARMS PLC,BFL.N0000,62.92%
2018-4,BALANGODA  PLANTATIONS  PLC,BALA.N0000,41.37%
2018-4,BANK OF CEYLON,BOC.N0000,0%
2018-4,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2018-4,BERUWALA RESORTS PLC,BERU.N0000,12.41%
2018-4,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2018-4,BIMPUTH FINANCE PLC,BLI.N0000,5.88%
