date,symbol,open,high,low,close,volume,turnover,trades,source,source_priority,source_timestamp,raw_payload_hash,validation_status,validation_warnings,source_open,source_high,source_low,source_close,source_ohlc_invalid,ohlc_repaired,ohlc_invalid
2026-06-19,ABAN.N0000,1199.75,1200.0,1159.0,1172.25,31.0,36834.25,6.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,1199.75,1200.0,1159.0,1172.25,False,False,False
2026-06-19,AEL.N0000,78.3,78.3,77.8,78.0,310576.0,24243974.3,174.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,78.3,78.3,77.8,78.0,False,False,False
2026-06-19,ACL.N0000,101.0,101.25,100.0,100.0,119987.0,12004254.75,85.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,101.0,101.25,100.0,100.0,False,False,False
2026-06-19,APLA.N0000,157.0,157.0,156.0,156.0,19378.0,3025417.0,51.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,157.0,157.0,156.0,156.0,False,False,False
2026-06-19,ACME.N0000,5.5,5.6,5.0,5.2,2056964.0,10734313.9,282.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,5.5,5.6,5.0,5.2,False,False,False
2026-06-19,AGAL.N0000,55.6,55.8,55.0,55.6,8595.0,477902.3,7.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,55.6,55.8,55.0,55.6,False,False,False
2026-06-19,AGST.N0000,12.9,12.9,12.7,12.7,18197.0,232401.0,32.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,12.9,12.9,12.7,12.7,False,False,False
2026-06-19,AHUN.N0000,92.0,94.7,92.0,94.0,50327.0,4718878.8,111.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,92.0,94.7,92.0,94.0,False,False,False
2026-06-19,SPEN.N0000,159.75,161.0,156.0,158.75,37492.0,5960845.25,123.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,159.75,161.0,156.0,158.75,False,False,False
2026-06-19,ALLI.N0000,339.0,339.0,332.5,334.0,7274.0,2437938.75,25.0,cse_trade_summary_current,10,2026-06-19,381ffb6fa4a6e8df12a004e71fa0fbba5853d1bd1d45becbad5128f000947ce4,accepted,,339.0,339.0,332.5,334.0,False,False,False
