symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
CFLB.N0000,CFLB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,79.9000015258789,
CFVF.N0000,CFVF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,62.20000076293945,
CHL.N0000,CHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,82.5625,
CHL.X0000,CHL-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,61.75,
CHMX.N0000,CHMX-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,179.25,
CHOT.N0000,CHOT-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,41.900001525878906,
CHOU.N0000,CHOU-N0000.CM,200,106,2026-01-02,2026-05-29,True,0,3.5999999046325684,
CIC.N0000,CIC-N0000.CM,200,105,2026-01-01,2026-05-29,True,1,34.099998474121094,
CIC.X0000,CIC-X0000.CM,200,105,2026-01-01,2026-05-29,True,1,27.5,
CIND.N0000,CIND-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,256.25,
CINS.N0000,CINS-N0000.CM,200,104,2026-01-02,2026-05-29,True,11,3250.0,
CINS.X0000,CINS-X0000.CM,200,104,2026-01-02,2026-05-29,True,8,1750.5,
CINV.N0000,CINV-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,127.0,
CIT.N0000,CIT-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,522.5,
CITH.N0000,CITH-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,4.199999809265137,
CITW.N0000,CITW-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,2.0,
CLND.N0000,CLND-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,53.599998474121094,
COCO.N0000,COCO-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,33.54999923706055,
COCO.X0000,COCO-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,28.149999618530273,
COCR.N0000,COCR-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,126.0,
COF.U0000,COF-U0000.CM,404,0,,,False,0,,HTTP status 404
COLO.N0000,COLO-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,56.599998474121094,
COMB.N0000,COMB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,231.8578338623047,
COMB.X0000,COMB-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,206.88638305664062,
COMD.N0000,COMD-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,329.5,
CONN.N0000,CONN-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,37.79999923706055,
COOP.N0000,COOP-N0000.CM,404,0,,,False,0,,HTTP status 404
CPRT.N0000,CPRT-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,55.10356903076172,
CRL.N0000,CRL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,6.5,
CSD.N0000,CSD-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,30.5,
CSF.N0000,CSF-N0000.CM,200,106,2026-01-02,2026-05-29,True,0,0.10000000149011612,
CSLK.N0000,CSLK-N0000.CM,404,0,,,False,0,,HTTP status 404
CTBL.N0000,CTBL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,13.699999809265137,
CTC.N0000,CTC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,1770.0,
CTEA.N0000,CTEA-N0000.CM,200,104,2026-01-02,2026-05-29,True,13,1754.25,
CTHR.N0000,CTHR-N0000.CM,200,104,2026-01-02,2026-05-29,True,4,631.25,
CTLD.N0000,CTLD-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,39.5,
CWL.N0000,CWL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,24.600000381469727,
CWM.N0000,CWM-N0000.CM,200,105,2026-01-02,2026-05-29,True,1,44.79999923706055,
DFCC.N0000,DFCC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,154.65707397460938,
DIAL.N0000,DIAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,33.29999923706055,
DIMO.N0000,DIMO-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,1741.0,
DIPD.N0000,DIPD-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,58.099998474121094,
DIST.N0000,DIST-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,58.900001525878906,
DOCK.N0000,DOCK-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,161.25,
DPL.N0000,DPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,17.799999237060547,
EAST.N0000,EAST-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,71.0,
EBCR.N0000,EBCR-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,62.900001525878906,
ECL.N0000,ECL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,17.0,
EDEN.N0000,EDEN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,12.800000190734863,
ELPL.N0000,ELPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,179.25,
EMER.N0000,EMER-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,16.0,
EML.N0000,EML-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,12.0,
ETWO.N0000,ETWO-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,69.80000305175781,
EXT.N0000,EXT-N0000.CM,404,0,,,False,0,,HTTP status 404
FCT.N0000,FCT-N0000.CM,404,0,,,False,0,,HTTP status 404
GEST.N0000,GEST-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,436.25,
GHLL.N0000,GHLL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,18.0,
GLAS.N0000,GLAS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,56.79999923706055,
GRAN.N0000,GRAN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,453.25,
