"DAILY HIGH, LOW AND CLOSING PRICE OF 01ST JANUARY TO 31ST DECEMBER 2016",,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
 ,,,,,,,,,,
AAF,N,0,ASIA ASSET,2016-01-04 00:00:00,1.7,1.6,1.7,12,126036,201761.1
AAF,N,0,ASIA ASSET,2016-01-05 00:00:00,1.7,1.7,1.7,1,12,20.4
AAF,N,0,ASIA ASSET,2016-01-06 00:00:00,1.6,1.6,1.6,22,8037680,12860288
AAF,N,0,ASIA ASSET,2016-01-07 00:00:00,1.6,1.6,1.6,9,112819,180510.4
AAF,N,0,ASIA ASSET,2016-01-08 00:00:00,1.6,1.6,1.6,14,67029,107246.4
AAF,N,0,ASIA ASSET,2016-01-11 00:00:00,1.6,1.5,1.6,12,77300,123650
AAF,N,0,ASIA ASSET,2016-01-12 00:00:00,1.6,1.5,1.6,13,101091,151946.6
AAF,N,0,ASIA ASSET,2016-01-13 00:00:00,1.6,1.5,1.6,13,35647,55880.5
AAF,N,0,ASIA ASSET,2016-01-14 00:00:00,1.5,1.5,1.5,8,275990,413985
AAF,N,0,ASIA ASSET,2016-01-18 00:00:00,1.5,1.4,1.4,59,2364285,3546277.5
AAF,N,0,ASIA ASSET,2016-01-19 00:00:00,1.5,1.4,1.5,51,2312400,3237370
AAF,N,0,ASIA ASSET,2016-01-20 00:00:00,1.5,1.4,1.5,6,3052,4493
AAF,N,0,ASIA ASSET,2016-01-21 00:00:00,1.5,1.3,1.5,19,545051,773371.3
AAF,N,0,ASIA ASSET,2016-01-22 00:00:00,1.5,1.5,1.5,16,339871,509806.5
AAF,N,0,ASIA ASSET,2016-01-25 00:00:00,1.5,1.4,1.4,25,1426000,2138000
AAF,N,0,ASIA ASSET,2016-01-26 00:00:00,1.6,1.5,1.5,50,27994325,42091787.5
AAF,N,0,ASIA ASSET,2016-01-27 00:00:00,1.6,1.5,1.5,8,257501,388251.6
AAF,N,0,ASIA ASSET,2016-01-28 00:00:00,1.6,1.5,1.6,4,25224,37846
AAF,N,0,ASIA ASSET,2016-01-29 00:00:00,1.6,1.5,1.5,9,600425,900738.5
AAF,N,0,ASIA ASSET,2016-02-01 00:00:00,1.6,1.5,1.5,5,202000,313160
AAF,N,0,ASIA ASSET,2016-02-02 00:00:00,1.6,1.5,1.6,5,7700,11600
AAF,N,0,ASIA ASSET,2016-02-03 00:00:00,1.6,1.5,1.6,17,46100,72760
AAF,N,0,ASIA ASSET,2016-02-05 00:00:00,1.6,1.5,1.5,25,1032501,1548751.6
AAF,N,0,ASIA ASSET,2016-02-08 00:00:00,1.6,1.5,1.5,9,49813,74729.5
AAF,N,0,ASIA ASSET,2016-02-09 00:00:00,1.6,1.5,1.6,2,2100,3160
AAF,N,0,ASIA ASSET,2016-02-10 00:00:00,1.6,1.5,1.6,13,389386,584289.1
