,SECURITY_DA,PRICE
-----------,----,-----------
1996-01-22 00:00:00,ABAN,53
1996-02-27 00:00:00,ABAN,52
1996-03-01 00:00:00,ABAN,0
1996-03-08 00:00:00,ABAN,50
1996-03-11 00:00:00,ABAN,52
1996-03-13 00:00:00,ABAN,50
1996-03-19 00:00:00,ABAN,0
1996-03-28 00:00:00,ABAN,0
1996-05-16 00:00:00,ABAN,0
1996-05-17 00:00:00,ABAN,0
1996-07-02 00:00:00,ABAN,40
1996-07-04 00:00:00,ABAN,40
1996-07-11 00:00:00,ABAN,0
1996-08-01 00:00:00,ABAN,38
1996-08-19 00:00:00,ABAN,36
1996-08-20 00:00:00,ABAN,36.25
1996-08-29 00:00:00,ABAN,37
1996-08-30 00:00:00,ABAN,35
1996-09-02 00:00:00,ABAN,0
1996-09-10 00:00:00,ABAN,0
1996-09-11 00:00:00,ABAN,0
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
1996-10-02 00:00:00,ABAN,45
1996-10-03 00:00:00,ABAN,45
1996-10-21 00:00:00,ABAN,0
1996-10-24 00:00:00,ABAN,43
1996-11-06 00:00:00,ABAN,40.75
1996-11-07 00:00:00,ABAN,39
1996-11-20 00:00:00,ABAN,0
1996-11-22 00:00:00,ABAN,0
1996-11-29 00:00:00,ABAN,0
1996-12-18 00:00:00,ABAN,0
1996-01-02 00:00:00,ACAP,9.25
1996-01-08 00:00:00,ACAP,8.75
1996-01-09 00:00:00,ACAP,8.5
1996-01-10 00:00:00,ACAP,8.5
1996-01-11 00:00:00,ACAP,8.5
1996-01-12 00:00:00,ACAP,8.5
1996-01-16 00:00:00,ACAP,8.5
1996-01-17 00:00:00,ACAP,8
1996-01-18 00:00:00,ACAP,8.25
1996-01-19 00:00:00,ACAP,8
1996-01-22 00:00:00,ACAP,8
SECURITY_DA,COMP,CLOSE_PRICE
-----------,----,-----------
1996-01-23 00:00:00,ACAP,7.75
1996-01-24 00:00:00,ACAP,7.75
1996-01-25 00:00:00,ACAP,7.75
1996-01-29 00:00:00,ACAP,8
1996-01-30 00:00:00,ACAP,8
1996-02-02 00:00:00,ACAP,8.5
1996-02-06 00:00:00,ACAP,8.5
1996-02-07 00:00:00,ACAP,8
1996-02-08 00:00:00,ACAP,8
1996-02-09 00:00:00,ACAP,8.5
1996-02-12 00:00:00,ACAP,8.75
