,SECURITY_DA,PRICE
-----------,---- ---,--------
1994-01-10 00:00:00,ABAN,108
1994-01-11 00:00:00,ABAN,104.75
1994-01-12 00:00:00,ABAN,104.75
1994-01-18 00:00:00,ABAN,93
1994-01-20 00:00:00,ABAN,85
1994-01-24 00:00:00,ABAN,83
1994-01-26 00:00:00,ABAN,82
1994-02-01 00:00:00,ABAN,82
1994-02-02 00:00:00,ABAN,85
1994-02-09 00:00:00,ABAN,0
1994-02-14 00:00:00,ABAN,83
1994-02-15 00:00:00,ABAN,83
1994-02-17 00:00:00,ABAN,80
1994-02-18 00:00:00,ABAN,85
1994-02-21 00:00:00,ABAN,81
1994-02-22 00:00:00,ABAN,85
1994-02-23 00:00:00,ABAN,100
1994-02-24 00:00:00,ABAN,106.25
1994-02-28 00:00:00,ABAN,106
1994-03-01 00:00:00,ABAN,106
1994-03-02 00:00:00,ABAN,105
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-03-03 00:00:00,ABAN,110
1994-03-04 00:00:00,ABAN,107
1994-03-14 00:00:00,ABAN,100
1994-03-15 00:00:00,ABAN,95
1994-03-16 00:00:00,ABAN,95
1994-03-18 00:00:00,ABAN,95
1994-03-25 00:00:00,ABAN,95
1994-03-30 00:00:00,ABAN,85
1994-03-31 00:00:00,ABAN,85
1994-04-04 00:00:00,ABAN,85
1994-04-06 00:00:00,ABAN,85
1994-04-11 00:00:00,ABAN,85
1994-04-21 00:00:00,ABAN,92
1994-04-22 00:00:00,ABAN,90
1994-04-26 00:00:00,ABAN,90
1994-04-27 00:00:00,ABAN,85
1994-04-28 00:00:00,ABAN,85
1994-05-03 00:00:00,ABAN,80
1994-05-10 00:00:00,ABAN,76
1994-05-11 00:00:00,ABAN,80
1994-05-19 00:00:00,ABAN,80
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-06-07 00:00:00,ABAN,0
1994-06-16 00:00:00,ABAN,79.5
1994-06-17 00:00:00,ABAN,79
1994-07-12 00:00:00,ABAN,79.25
1994-07-14 00:00:00,ABAN,75
1994-07-15 00:00:00,ABAN,75
1994-07-19 00:00:00,ABAN,70
1994-08-01 00:00:00,ABAN,70
1994-08-02 00:00:00,ABAN,70
1994-08-03 00:00:00,ABAN,70
1994-08-08 00:00:00,ABAN,70
1994-08-30 00:00:00,ABAN,71.25
1994-08-31 00:00:00,ABAN,70
1994-09-01 00:00:00,ABAN,67
1994-09-02 00:00:00,ABAN,70
1994-09-12 00:00:00,ABAN,70
1994-09-13 00:00:00,ABAN,70
1994-09-14 00:00:00,ABAN,70
1994-09-15 00:00:00,ABAN,70
1994-09-16 00:00:00,ABAN,70
1994-09-21 00:00:00,ABAN,70
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-10-07 00:00:00,ABAN,73
1994-10-13 00:00:00,ABAN,67
1994-10-28 00:00:00,ABAN,0
1994-10-31 00:00:00,ABAN,67
1994-11-01 00:00:00,ABAN,63.5
1994-11-03 00:00:00,ABAN,63
1994-11-07 00:00:00,ABAN,63
1994-11-08 00:00:00,ABAN,64.5
1994-11-15 00:00:00,ABAN,0
1994-11-21 00:00:00,ABAN,69
1994-11-23 00:00:00,ABAN,66
1994-11-30 00:00:00,ABAN,63
1994-12-12 00:00:00,ABAN,66
1994-12-13 00:00:00,ABAN,63
1994-12-16 00:00:00,ABAN,66
1994-12-22 00:00:00,ABAN,65
1994-12-28 00:00:00,ABAN,70.25
1994-12-29 00:00:00,ABAN,70.25
1994-12-30 00:00:00,ABAN,72
1994-09-22 00:00:00,ACAP,38.25
1994-09-23 00:00:00,ACAP,34.75
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-09-27 00:00:00,ACAP,37.5
1994-09-28 00:00:00,ACAP,37
1994-09-29 00:00:00,ACAP,36
1994-09-30 00:00:00,ACAP,35.25
1994-10-03 00:00:00,ACAP,35
1994-10-04 00:00:00,ACAP,33
1994-10-05 00:00:00,ACAP,33
1994-10-06 00:00:00,ACAP,33.5
1994-10-07 00:00:00,ACAP,34.75
1994-10-10 00:00:00,ACAP,34
1994-10-11 00:00:00,ACAP,33.25
1994-10-12 00:00:00,ACAP,33
1994-10-13 00:00:00,ACAP,33
1994-10-14 00:00:00,ACAP,32.75
1994-10-17 00:00:00,ACAP,32.75
1994-10-19 00:00:00,ACAP,32.5
1994-10-20 00:00:00,ACAP,33
1994-10-21 00:00:00,ACAP,33
1994-10-25 00:00:00,ACAP,30
1994-10-26 00:00:00,ACAP,30
1994-10-27 00:00:00,ACAP,30
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-10-28 00:00:00,ACAP,30.75
1994-10-31 00:00:00,ACAP,31.25
1994-11-01 00:00:00,ACAP,32
1994-11-02 00:00:00,ACAP,32
1994-11-03 00:00:00,ACAP,32
1994-11-04 00:00:00,ACAP,32
1994-11-07 00:00:00,ACAP,31.75
1994-11-08 00:00:00,ACAP,31.75
1994-11-09 00:00:00,ACAP,32
1994-11-11 00:00:00,ACAP,32
1994-11-14 00:00:00,ACAP,32
1994-11-15 00:00:00,ACAP,30.5
1994-11-16 00:00:00,ACAP,31
1994-11-18 00:00:00,ACAP,30
1994-11-21 00:00:00,ACAP,29.25
1994-11-22 00:00:00,ACAP,29
1994-11-23 00:00:00,ACAP,26.25
1994-11-24 00:00:00,ACAP,24
1994-11-25 00:00:00,ACAP,27
1994-11-28 00:00:00,ACAP,27
1994-11-29 00:00:00,ACAP,26
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-11-30 00:00:00,ACAP,26
1994-12-01 00:00:00,ACAP,27.25
1994-12-02 00:00:00,ACAP,27
1994-12-05 00:00:00,ACAP,25.75
1994-12-06 00:00:00,ACAP,24.75
1994-12-07 00:00:00,ACAP,24
1994-12-08 00:00:00,ACAP,24
1994-12-09 00:00:00,ACAP,24
1994-12-12 00:00:00,ACAP,22
1994-12-13 00:00:00,ACAP,22.75
1994-12-14 00:00:00,ACAP,22
1994-12-15 00:00:00,ACAP,22
1994-12-16 00:00:00,ACAP,23
1994-12-19 00:00:00,ACAP,22
1994-12-20 00:00:00,ACAP,22.25
1994-12-21 00:00:00,ACAP,24
1994-12-22 00:00:00,ACAP,24
1994-12-23 00:00:00,ACAP,24.25
1994-12-28 00:00:00,ACAP,24
1994-12-29 00:00:00,ACAP,23.25
1994-12-30 00:00:00,ACAP,23.25
SECURITY_DA,COMP CLO,SE_PRICE
-----------,---- ---,--------
1994-01-04 00:00:00,ACL,190
1994-01-05 00:00:00,ACL,195
1994-01-07 00:00:00,ACL,200
1994-01-10 00:00:00,ACL,200
1994-01-12 00:00:00,ACL,200
1994-01-19 00:00:00,ACL,210
1994-01-20 00:00:00,ACL,200
1994-01-21 00:00:00,ACL,236.75
1994-01-24 00:00:00,ACL,255
1994-01-25 00:00:00,ACL,255
1994-01-26 00:00:00,ACL,276.5
1994-01-28 00:00:00,ACL,278
1994-01-31 00:00:00,ACL,278
1994-02-01 00:00:00,ACL,280
1994-02-08 00:00:00,ACL,270
1994-02-09 00:00:00,ACL,280
1994-02-10 00:00:00,ACL,280
1994-02-11 00:00:00,ACL,296
1994-02-14 00:00:00,ACL,400
1994-02-15 00:00:00,ACL,400
1994-02-16 00:00:00,ACL,400
