,SECURITY_DA,PRICE
1998-01-30 00:00:00,ABAN,28
1998-02-12 00:00:00,ABAN,30
1998-03-16 00:00:00,ABAN,30
1998-03-20 00:00:00,ABAN,30
1998-03-27 00:00:00,ABAN,30
1998-03-30 00:00:00,ABAN,30
1998-04-02 00:00:00,ABAN,30
1998-04-03 00:00:00,ABAN,30
1998-05-08 00:00:00,ABAN,30
1998-06-25 00:00:00,ABAN,30
1998-07-01 00:00:00,ABAN,30
1998-08-12 00:00:00,ABAN,30
1998-08-14 00:00:00,ABAN,30.5
1998-08-18 00:00:00,ABAN,30
1998-08-19 00:00:00,ABAN,30
1998-08-20 00:00:00,ABAN,25
1998-09-02 00:00:00,ABAN,25
1998-09-11 00:00:00,ABAN,25
1998-09-14 00:00:00,ABAN,25
1998-09-18 00:00:00,ABAN,25.25
1998-10-23 00:00:00,ABAN,25
1998-10-28 00:00:00,ABAN,25
1998-12-17 00:00:00,ABAN,27
1998-12-18 00:00:00,ABAN,25
1998-12-22 00:00:00,ABAN,26
1998-12-23 00:00:00,ABAN,25.5
1998-12-28 00:00:00,ABAN,26
1998-12-30 00:00:00,ABAN,20
1998-01-02 00:00:00,ACAP,8.75
1998-01-05 00:00:00,ACAP,8.75
1998-01-06 00:00:00,ACAP,8.75
1998-01-07 00:00:00,ACAP,8.5
1998-01-08 00:00:00,ACAP,8.5
1998-01-09 00:00:00,ACAP,8.75
1998-01-13 00:00:00,ACAP,9
1998-01-15 00:00:00,ACAP,9
1998-01-16 00:00:00,ACAP,8.75
1998-01-19 00:00:00,ACAP,8.75
1998-01-20 00:00:00,ACAP,8.75
1998-01-21 00:00:00,ACAP,8.75
1998-01-22 00:00:00,ACAP,8.75
1998-01-23 00:00:00,ACAP,9
1998-01-26 00:00:00,ACAP,8.5
1998-01-27 00:00:00,ACAP,8.25
1998-01-28 00:00:00,ACAP,8.5
1998-01-29 00:00:00,ACAP,9
1998-01-30 00:00:00,ACAP,9
1998-02-02 00:00:00,ACAP,9.25
1998-02-03 00:00:00,ACAP,9.25
1998-02-06 00:00:00,ACAP,8.75
1998-02-09 00:00:00,ACAP,8.75
1998-02-11 00:00:00,ACAP,9
1998-02-12 00:00:00,ACAP,9.25
1998-02-13 00:00:00,ACAP,10
1998-02-16 00:00:00,ACAP,9.75
1998-02-17 00:00:00,ACAP,10
1998-02-18 00:00:00,ACAP,10.5
1998-02-19 00:00:00,ACAP,10.5
1998-02-20 00:00:00,ACAP,10.5
1998-02-23 00:00:00,ACAP,10.25
1998-02-24 00:00:00,ACAP,10.25
1998-02-25 00:00:00,ACAP,10.25
1998-02-26 00:00:00,ACAP,10.25
1998-02-27 00:00:00,ACAP,10.75
1998-03-02 00:00:00,ACAP,10.5
1998-03-03 00:00:00,ACAP,10.25
1998-03-04 00:00:00,ACAP,10.5
1998-03-05 00:00:00,ACAP,10.25
1998-03-06 00:00:00,ACAP,10.25
1998-03-09 00:00:00,ACAP,10.25
1998-03-10 00:00:00,ACAP,10.25
1998-03-11 00:00:00,ACAP,10.25
1998-03-13 00:00:00,ACAP,10.25
1998-03-16 00:00:00,ACAP,10.25
1998-03-17 00:00:00,ACAP,10
1998-03-18 00:00:00,ACAP,9.75
1998-03-19 00:00:00,ACAP,10
1998-03-20 00:00:00,ACAP,10.25
1998-03-23 00:00:00,ACAP,10
1998-03-24 00:00:00,ACAP,10
1998-03-25 00:00:00,ACAP,10
1998-03-26 00:00:00,ACAP,10
