Market Capitalisation as at 31st December 2002,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,2002-12-31 00:00:00,186460877,79,14730409283
CTC,CEYLON TOBACCO,2002-12-31 00:00:00,187323751,44,8242245044
COMB,COMMERCIAL BANK,2002-12-31 00:00:00,39000000,200,7800000000
DFCC,DFCC,2002-12-31 00:00:00,42311111,155,6558222205
HAYL,HAYLEYS,2002-12-31 00:00:00,45000000,145,6525000000
NDB,NATIONAL DEVELOPMENT BANK,2002-12-31 00:00:00,53750000,90.75,4877812500
HNB,HNB,2002-12-31 00:00:00,55000000,79,4345000000
SPEN,AITKEN SPENCE,2002-12-27 00:00:00,26776760,145,3882630200
LLUB,CALTEX,2002-12-31 00:00:00,30000000,120.5,3615000000
LION,LION  BREWERY,2002-12-31 00:00:00,50000000,70,3500000000
SAMP,SAMPATH,2002-12-31 00:00:00,44284904,72,3188513088
NEST,NESTLE,2002-12-30 00:00:00,53725463,58,3116076854
DIST,DISTILLERIES ,2002-12-31 00:00:00,300000000,9.5,2850000000
AHOT,ASIAN HOTELS,2002-12-31 00:00:00,221387643,11.75,2601304805.25
SHAL,SHALIMAR,2001-12-13 00:00:00,3213000,760,2441880000
RICH,RICHARD PIERIS,2002-12-31 00:00:00,23510617,103,2421593551
SEYB,SEYLAN BANK,2002-12-31 00:00:00,43560000,52,2265120000
CCS,COLD STORES,2002-12-31 00:00:00,21600000,100,2160000000
TRAN,TRANS ASIA,2002-12-31 00:00:00,50000000,40,2000000000
AHUN,A.SPEN.HOT.HOLD.,2002-12-31 00:00:00,38433144,50,1921657200
DOCK,DOCKYARD,2002-12-31 00:00:00,62074441,30.5,1893270450.5
LCEM,LANKA CEMENT,2002-12-31 00:00:00,155629639,11.75,1828648258.25
CARS,CARSONS,2002-12-12 00:00:00,1018710,1605.25,1635284227.5
LOLC,LOLC,2002-12-31 00:00:00,23760000,68,1615680000
SINS,SINGER SRI LANKA,2002-12-31 00:00:00,32053660,50,1602683000
BREW,CEYLON BREWERY,2002-12-31 00:00:00,20988090,70.25,1474413322.5
DIPD,DIPPED PRODUCTS,2002-12-30 00:00:00,20785248,69,1434182112
TKYO,TOKYO CEMENT,2002-12-31 00:00:00,15000000,95,1425000000
JFIN,JAMES FINLAY,2002-12-30 00:00:00,35000000,40,1400000000
HAYC,HAYCARB,2002-12-31 00:00:00,29712375,43.25,1285060218.75
