Sector Trading Statistics - 2022 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,17940,16053023,1257580033,1,1
Banks,208068,922623645,21457188213,16,12
Capital Goods,934823,2194607965,128259084282,31,29
Commercial & Professional Services,54832,139246096,2546859509,7,7
Consumer Durables & Apparel,212190,816817551,16501536811,14,13
Consumer Services,213419,740527392,8178416691,37,36
Diversified Financials,938544,9015911594,90809003098,49,46
Energy,272434,462689818,60039989339,3,2
Food & Staples Retailing,30586,593969285,2840138587,4,3
"Food, Beverage & Tobacco",1143374,6706871279,116268539061,48,46
Health Care Equipment & Services,68232,244253870,2725388107,9,8
Household & Personal Products,7650,20688266,522585160,2,2
Insurance,429101,1755279381,34477280932,13,12
Materials,634711,3097936460,50607527160,23,20
Real Estate,130031,560156510,7136932769,19,18
Retailing,127138,354108101,6123921376,14,14
Software & Services,32597,102362311,2350256404,1,1
Telecommunication Services,68573,386828412,5620264296,2,2
Transportation,450217,564944245,125111637250,3,3
Utilities,82773,351943038,3767947928,10,8
