Sector Domestic & Foreign Analysis - 2006,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",161632,6499,632567599,86295576,15866043246,10370434391
"BEVERAGE, FOOD & TOBACCO",46426,3045,99396696,24219366,4192868952,1117406367
CONSTRUCTION & ENGINEERING,10432,593,23581885,23416714,637439944,638233443
CHEMICALS & PHARMACEUTICALS,36238,1082,45331289,1868988,2593168202,152489034
FOOTWEAR & TEXTILES,40630,909,55019588,2131900,1715650869,85356837
HOTELS & TRAVELS,59588,1184,167341568,5931308,2407585857,230951266
INVESTMENT TRUSTS,14849,470,13699072,789253,918399496,78532070
LAND & PROPERTY,152310,3372,210251704,11987014,6580225308,257961288
MANUFACTURING,144762,7206,633290478,78201105,7884667224,1628482972
MOTORS,8211,235,16023138,3185352,1544393553,185617854
OIL PALMS,2899,94,886516,28170,383287118,27533693
STORES & SUPPLIES,7496,65,75854111,615878,173926523,152145909
SERVICES,1480,25,1085580,16800,97175945,1511287
TRADING,24975,392,110089192,1543651,678684831,55581142
PLANTATIONS,42163,1495,70301954,8202496,1415233329,190550362
DIVERSIFIED HOLDINGS,32930,4914,75084293,70367558,9286014257,10315213115
POWER & ENERGY,31200,3049,155652392,29123200,2545361615,817359007
HEALTH CARE,41588,1261,456182957,14496838,4334154745,109616910
INFORMATION TECHNOLOGY,5830,50,10340295,106500,158679610,1715800
TELECOMMUNICATION,42587,8216,326203493,371634290,7261867816,8061627599
,908226,44156,3178183800,734161957,70674828440,34478320346
