Dividend Records - 2012,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY CODE,COMPANY,RATE AND REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2012-02-17 00:00:00, SELI-N-0000, SELINSING, FIRST INTERIM DIVIDEND OF RS. 30.80 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 29-FEB-12, 09-MAR-12,1095.1,1299.3
2012-02-17 00:00:00, SHAL-N-0000, SHALIMAR, FIRST INTERIM DIVIDEND OF RS. 7.50 PER SHARE  (SUBJECT TO 10% DIVIDEND TAX), 29-FEB-12, 09-MAR-12,940,890
2012-02-21 00:00:00, HNB-N-0000, HNB, FINAL DIVIDEND OF RS. 3.00 PER SHARE (VOTING & NON VOTING), 02-APR-12, 11-APR-12,153,150
2012-02-21 00:00:00, OSEA-N-0000, OVERSEAS REALTY, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE, 25-MAY-12, 05-JUN-12,13,12.7
2012-02-21 00:00:00, PDL-N-0000,PROPERTY DEVELOPMENT, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 02-APR-12, 10-APR-12,51,46.1
2012-02-21 00:00:00, SLTL-N-0000, SLT, FIRST & FINAL DIVIDEND RS. 0.85 PER SHARE, 30-MAR-12, 10-APR-12,46.1,46.3
2012-02-22 00:00:00, AAIC-N-0000, ASIAN ALLIANCE INSURANCE , FINAL DIVIDEND OF RS. 2.00 PER SHARE, 27-MAR-12, 04-APR-12,86,85.6
2012-02-22 00:00:00, DOCK-N-0000,COLOMBO DOCKYARD, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE, 02-MAR-12, 14-MAR-12,245,240
2012-02-23 00:00:00, CTC-N-0000, CEYLON TOBACCO, SPECIAL DIVIDEND OF RS.1.55 PER SHARE ( LESS WHT), 05-MAR-12, 15-MAR-12,509.7,513.5
2012-02-23 00:00:00, SFCL-N-0000, SENKADAGALA FINANCE, INTERIM DIVIDEND OF RS.0.60 PER SHARE, 05-MAR-12, 15-MAR-12, , 
2012-02-23 00:00:00, TJL-N-0000, TEXTURED JERSEY, FIRST INTERIM DIVIDEND OF RS.0.12 PER SHARE, 05-MAR-12, 15-MAR-12,7.5,7.5
2012-02-23 00:00:00, UAL-N-0000, UNION ASSURANCE, FIRST & FINAL DIVIDEND OF 5.00 PER SHARE, 05-MAR-12, 15-MAR-12,105.1,103
2012-02-24 00:00:00, CHMX-N-0000, CHEMANEX, INTERIM DIVIDEND OF CENTS 75 PER SHARE, 06-MAR-12, 16-MAR-12,111.7,114.7
2012-02-24 00:00:00, NTB-N-0000, NATIONS TRUST, FIRST & FINAL DIVIDEND OF RS.2.10 PER SHARE, 02-APR-12, 11-APR-12,56.9,55.8
2012-02-28 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 29-MAR-12, 09-APR-12,299,299
2012-02-29 00:00:00, REG-N-0000, REGNIS , FINAL DIVIDEND OF RS. 6.00 PER SHARE, 12-MAR-12, 20-MAR-12,305.3,299
2012-02-29 00:00:00, SINI-N-0000, SINGER INDUSTRIES, FINAL DIVIDEND OF RS. 8.75 PER SHARE, 12-MAR-12, 20-MAR-12,232.9,226
2012-02-29 00:00:00, SINS-N-0000, SINGER SRI LANKA, FINAL DIVIDEND OF RS. 6.00 PER SHARE, 12-MAR-12, 20-MAR-12,114.3,110
2012-03-01 00:00:00, NDB-N-0000, NATIONAL DEVELOPMENT BANK, FINAL DIVIDEND OF RS.4.00 PER SHARE (LIABLE TO A DIVIDEND TAX OF 10%), 13-MAR-12, 22-MAR-12,126.1,125
2012-03-02 00:00:00, CINS-N-0000, CEYLINCO INSURANCE, FIRST & FINAL DIVIDEND OF RS.6.50 PER SHARE (VOTING & NON-VOTING) (AMENDED DATES), 04-APR-12, 11-APR-12,812.4,763.1
2012-03-02 00:00:00, MORI-N-0000, MORISONS, INTERIM DIVIDEND OF RS. 1.50 PER SHARE(VOTING & NON-VOTING), 14-MAR-12, 23-MAR-12,213.5,229
2012-03-05 00:00:00, CTEA-N-0000, CEYLON TEA SERVICES, SECOND INTERIM DIVIDEND OF RS.20.00 PER SHARE, 15-MAR-12, 26-MAR-12,649.5,603.5
2012-03-06 00:00:00, NEH-N-0000, NUWARA ELIYA HOTELS, INTERIM DIVIDEND OF RS.5.00 PER SHARE, 16-MAR-12, 27-MAR-12,1130,1140
2012-03-16 00:00:00, ASPH-N-0000, INDUSTRIAL ASPHALTS, INTERIM DIVIDEND OF RS.1.50 PER SHARE, 27-MAR-12, 05-APR-12,410,395
2012-03-20 00:00:00, KGAL-N-0000, KEGALLE PLANTATIONS, INTERIM DIVIDEND OF RS. 7.50 PER SHARE, 29-MAR-12, 30-MAR-12,111.9,105.2
2012-03-20 00:00:00, NAMU-N-0000, NAMUNUKULA PLANTATIONS, INTERIM DIVIDEND OF RS. 4.50 PER SHARE, 29-MAR-12, 30-MAR-12,66.5,61.5
2012-03-23 00:00:00, CSD-N-0000, SEYLAN DEVELOPMENTS, FIRST & FINAL DIVIDEND OF RS.0.10 PER SHARE, 30-MAR-12, 10-APR-12,8,7.9
2012-03-23 00:00:00, KCAB-N-0000, KELANI CABLES, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 03-APR-12, 16-APR-12,67,65
2012-03-26 00:00:00, BOGA-N-0000, BOGALA GRAPHITE, FIRST & FINAL DIVIDEND OF RS.0.25 PER SHARE, 30-APR-12, 09-MAY-12,24,22.9
2012-03-29 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SECOND INTERIM DIVIDEND OF CENTS 0.70 PER SHARE, 10-APR-12, 23-APR-12,170,170
2012-03-29 00:00:00, COMD-N-0000, COMMERCIAL DEVELOPMENTS, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 26-APR-12, 08-MAY-12,89.9,81.6
2012-03-30 00:00:00, AHPL-N-0000, ASIAN HOTELS & PROPERTIES, INTERIM DIVIDEND OF RS.1.00 PER SHARE, 11-APR-12, 24-APR-12,80.5,80.7
2012-03-30 00:00:00, RICH-N-0000, RICHARD PIERIS, SECOND INTERIM DIVIDEND OF CENTS 30 PER SHARE, 11-APR-12, 23-APR-12,7.3,7.2
2012-04-04 00:00:00, LLUB-N-0000, CHEVRON LUBRICANTS, FIRST INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 18-APR-12, 27-APR-12,180,178.6
2012-04-05 00:00:00, GEST-N-0000, GESTETNER, FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 19-APR-12, 27-APR-12,300,215
2012-04-20 00:00:00, GOOD-N-0000, GOOD HOPE, FINAL DIVIDEND OF RS.21.00 PER SHARE, 01-JUN-12, 12-JUN-12,1215.6,1299
2012-04-20 00:00:00, INDO-N-0000, INDO MALAY, FINAL DIVIDEND OF RS.16.00 PER SHARE, 01-JUN-12, 12-JUN-12,1489,1421
2012-04-20 00:00:00, SELI-N-0000, SELINSING, FINAL DIVIDEND OF RS.29.50 PER SHARE, 01-JUN-12, 12-JUN-12,1199.5,1099
2012-04-20 00:00:00, SHAL-N-0000, SHALIMAR, FINAL DIVIDEND OF RS.17.00 PER SHARE, 01-JUN-12, 12-JUN-12,930,887
2012-04-23 00:00:00, NEST-N-0000, NESTLE, FINAL DIVIDEND OF RS.47.50 PER SHARE, 05-JUN-12, 12-JUN-12,1137.3,1090
2012-04-26 00:00:00, CARE-N-0000, PRINTCARE , FINAL DIVIDEND OF RS.0.40 PER SHARE, 09-MAY-12, 17-MAY-12,31,29
2012-04-27 00:00:00, GLAS-N-0000, PIRAMAL GLASS, FIRST & FINAL DIVIDEND OF RS.0.36 PER SHARE, 08-AUG-12, 16-AUG-12,5.3,5.3
2012-04-27 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 29-JUN-12, 10-JUL-12,47.4,48.5
2012-04-27 00:00:00, PLC-N-0000, PEOPLES LEASING, FINAL DIVIDEND OF RS.0.50 PER SHARE, 02-JUL-12, 11-JUL-12,11.7,10.9
2012-04-30 00:00:00, AGAL-N-0000, AGALAWATTE PLANTATIONS, FIRST AND FINAL DIVIDEND OF RS. 2.50 PER SHARE, 21-MAY-12, 29-MAY-12,40.1,37.8
2012-05-03 00:00:00, DFCC-N-0000, DFCC BANK, FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE, 02-JUL-12, 11-JUL-12,110.4,108.5
2012-05-03 00:00:00, PEG-N-0000, PEGASUS HOTELS, FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE, 19-JUN-12, 27-JUN-12,33.2,32.2
2012-05-04 00:00:00, ACL-N-0000, ACL CABLES, INTERIM DIVIDEND OF RS.0.50 PER SHARE, 16-MAY-12, 23-MAY-12,57,57.9
2012-05-04 00:00:00, CTC-N-0000, CEYLON TOBACCO, FIRST INTERIM DIVIDEND OF RS.7.90 PER SHARE, 16-MAY-12, 25-MAY-12,694.4,695
2012-05-04 00:00:00, HARI-N-0000, HARISCHANDRA, INTERIM DIVIDEND OF RS. 20.00 PER SHARE, 16-MAY-12, 25-MAY-12,2549.8,2600
2012-05-09 00:00:00, AHUN-N-0000, AITKEN SPENCE HOTEL HOLDINGS, FIRST AND FINAL DIVIDEND OF RS. 0.70 PER SHARE, 29-JUN-12, 10-JUL-12,66.9,65
2012-05-09 00:00:00, SPEN-N-0000, AITKEN SPENCE, FIRST AND FINAL DIVIDEND OF RS. 1.40 PER SHARE, 29-JUN-12, 10-JUL-12,110.9,114.9
2012-05-10 00:00:00, CDIC-N-0000, N D B CAPITAL, FINAL DIVIDEND OF RS.1.25 PER SHARE, 22-JUN-12, 02-JUL-12,250,245
2012-05-11 00:00:00, BREW-N-0000, CEYLON BEVERAGE, FIRST & FINAL DIVIDEND OF RS.6.00 PER SHARE, 11-JUN-12, 19-JUN-12,251.8,250
2012-05-11 00:00:00, HAYC-N-0000, HAYCARB, FIRST AND FINAL DIVIDEND OF RS. 5.50 PER SHARE (RS.5.20 LIABLE TO 10% DIVIDEND TAX & RS.0.30 NOT LIABLE TO 10% DIVIDEND TAX)&, 28-JUN-12, 06-JUL-12,159.7,150
2012-05-11 00:00:00, LION-N-0000, LION  BREWERY, FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE, 11-JUN-12, 19-JUN-12,216.9,216.9
2012-05-14 00:00:00, DIPD-N-0000, DIPPED PRODUCTS, FIRST AND FINAL DIVIDEND OF RS. 6.00 PER SHARE, 29-JUN-12, 09-JUL-12,97.8,91
2012-05-15 00:00:00, CCS-N-0000, COLD STORES, FIRST AND FINAL DIVIDEND OF RS. 4.00 PER SHARE, 24-MAY-12, 05-JUN-12,96.4,96.5
2012-05-15 00:00:00, CHL-N-0000,CEYLON HOSPITALS, INTERIM DIVIDEND OF RS. 2.00 PER SHARE(VOTING & NON-VOTING), 24-MAY-12, 05-JUN-12,77,62
2012-05-15 00:00:00, GLAS-N-0000, PIRAMAL GLASS, AMENDED- FIRST & FINAL DIVIDEND OF RS.0.36 PER SHARE, 13-AUG-12, 21-AUG-12,5.3,5
2012-05-15 00:00:00, HPWR-N-0000, HEMAS POWER, INTERIM DIVIDEND OF RS. 1.40 PER SHARE, 24-MAY-12, 01-JUN-12,20.9,19.1
2012-05-15 00:00:00, MBSL-N-0000, MERCHANT BANK, FINAL DIVIDEND OF RS. 1.25 PER SHARE, 21-JUN-12, 29-JUN-12,24.5,22.1
2012-05-15 00:00:00, UCAR-N-0000, UNION CHEMICALS, FINAL DIVIDEND OF RS. 5.00 PER SHARE/FOR THE YEAR ENDING 25/12/2011, 01-JUN-12, 06-JUN-12,550,548
2012-05-16 00:00:00, KFP-N-0000, KEELLS FOOD, FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE, 25-MAY-12, 06-JUN-12,89.4,85.5
2012-05-17 00:00:00, HUNA-N-0000, HUNAS FALLS, FIRST AND FINAL DIVIDEND OF RS. 0.50 PER SHARE(LIABLE TO 10% DIVIDEND TAX), 26-JUN-12, 04-JUL-12,59,54.6
2012-05-17 00:00:00, LHCL-N-0000, LANKA HOSPITALS, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 02-JUL-12, 10-JUL-12,30.6,29.5
2012-05-18 00:00:00, AEL-N-0000, ACCESS ENGINEERING , INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 29-MAY-12, 08-JUN-12,18,17.5
2012-05-18 00:00:00, CHMX-N-0000, CHEMANEX, FINAL DIVIDEND OF RS. 0.75 PER SHARE, 02-JUL-12, 11-JUL-12,88,70
2012-05-18 00:00:00, HAYL-N-0000, HAYLEYS, FIRST & FINAL DIVIDEN DOF RS.4.00 PER SHARE(NOT LIABLE FOR 10% DIVIDEND TAX), 02-JUL-12, 10-JUL-12,337,330.1
2012-05-18 00:00:00, WATA-N-0000, WATAWALA PLANTATIONS, FIRST AND FINAL DIVIDEND OF RS. 0.35 PER SHARE, 09-JUL-12, 17-JUL-12,8.4,8
2012-05-21 00:00:00, CFI-N-0000,COLOMBO FORT INVESTMENTS, FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE, 25-JUN-12, 04-JUL-12,120,108.2
2012-05-21 00:00:00, CIT-N-0000,COLOMBO INVESTMENT TRUST, FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE, 25-JUN-12, 04-JUL-12,120,112.1
2012-05-21 00:00:00, SFCL-N-0000, SENKADAGALA FINANCE, INTERIM DIVIDEND OF RS.0.70 PER SHARE, 30-MAY-12, 06-JUN-12, , 
2012-05-22 00:00:00, CIC-N-0000, CIC HOLDINGS, FINAL DIVIDEND OF RS.1.60 PER SHARE (VOTING & NON-VOTING), 02-JUL-12, 11-JUL-12,84.9,82
2012-05-23 00:00:00, CWM-N-0000, C.W.MACKIE, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 28-JUN-12, 09-JUL-12,64,61
2012-05-24 00:00:00, CARS-N-0000, CARSONS CUMBERBATCH, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 09-JUL-12, 17-JUL-12,464,463.3
