Dividend Records - 2012,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY CODE,COMPANY,RATE AND REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2012-06-19 00:00:00, CFLB-N-0000, COLOMBO FORT LAND & BUILDING, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE, 30-JUL-12, 08-AUG-12,26,25.8
2012-06-20 00:00:00, COLO-N-0000, COLONIAL MOTORS, FIRST AND FINAL DIVIDEND OF RS. 4.00 PER SHARE, 30-JUL-12, 08-AUG-12,195.8,195
2012-06-22 00:00:00, ALLI-N-0000, ALLIANCE FINANCE, FINAL DIVIDEND OF RS. 20.00 PER SHARE, 02-AUG-12, 10-AUG-12,606.7,597
2012-06-22 00:00:00, CFIN-N-0000, CENTRAL FINANCE, FINAL DIVIDEND OF RS. 1.10 PER SHARE, 23-JUL-12, 31-JUL-12,129.4,128.7
2012-06-22 00:00:00, CTEA-N-0000, CEYLON TEA SERVICES, FINAL DIVIDEND OF RS. 10.00 PER SHARE, 19-JUL-12, 27-JUL-12,652,655
2012-06-27 00:00:00, AMCL-N-0000, AMW CAPITAL LEASING, FINAL DIVIDEND OF RS. 0.60 PER SHARE, 09-JUL-12, 17-JUL-12, , 
2012-06-27 00:00:00, BFL-N-0000, BAIRAHA FARMS, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 09-JUL-12, 18-JUL-12,123.7,125
2012-06-27 00:00:00, KAHA-N-0000, KAHAWATTE PLANTATIONS, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 09-JUL-12, 18-JUL-12,31.5,33
2012-06-28 00:00:00, NHL-N-0000, NAWALOKA HOSPITALS, INTERIM DIVIDEND OF RS. 0.05 PER SHARE, 10-JUL-12, 18-JUL-12,3,2.9
2012-06-29 00:00:00, ARPI-N-0000, ARPICO FINANCE, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 23-AUG-12, 03-SEP-12,89.1,83.8
2012-06-29 00:00:00, DIST-N-0000, DISTILLERIES, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 02-AUG-12, 03-AUG-12,120,120
2012-07-04 00:00:00, LWL-N-0000, LANKA WALLTILE, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 20-SEP-12, 28-SEP-12,71.4,66.9
2012-07-06 00:00:00, HARI-N-0000, HARISCHANDRA, FINAL DIVIDEND OF RS.20.00 PER SHARE, 24-SEP-12, 02-OCT-12,2700,2600
2012-07-10 00:00:00, SFL-N-0000, SINHAPUTHRA FINANCE, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 02-AUG-12, 10-AUG-12,79.2,79.9
2012-07-12 00:00:00, LGL-N-0000, LAUGFS GAS, FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE (VOTING & NON-VOTING), 23-JUL-12, 02-AUG-12,21.9,20.1
2012-07-16 00:00:00, VONE-N-0000, VALLIBEL ONE, FIRST & FINAL DIVIDEND OF RS. 0.30 PER SHARE, 25-JUL-12, 06-AUG-12,14.6,14.4
2012-07-19 00:00:00, ONAL-N-0000, ON'ALLY HOLDINGS, FINAL DIVIDEND OF RS. 1.45 PER SHARE, 31-JUL-12, 10-AUG-12,51.3,42.1
2012-07-20 00:00:00, LLUB-N-0000, CHEVRON LUBRICANTS, SECOND INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 31-JUL-12, 10-AUG-12,176,173.1
2012-07-20 00:00:00, SIL-N-0000, SAMSON INTERNATIONAL, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 31-JUL-12, 09-AUG-12,90.3,91.2
2012-07-24 00:00:00, TYRE-N-0000, KELANI TYRES, INTERIM DIVIDEND OF RS. 1.45 PER SHARE ( GROSS), 03-AUG-12, 14-AUG-12,27.5,25.7
2012-07-25 00:00:00, LVEN-N-0000, LANKA VENTURES, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 17-SEP-12, 25-SEP-12,34.5,34.9
2012-07-26 00:00:00, SWAD-N-0000, SWADESHI INDUSTRIAL WORKS, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 17-SEP-12, 25-SEP-12,8200, 
2012-07-27 00:00:00, ASHO-N-0000, LANKA ASHOK LEYLAND, FIRST & FINAL DIVIDEND OF RS. 60.00 PER SHARE, 18-SEP-12, 26-SEP-12,2599.2,2267.1
2012-07-27 00:00:00, CTC-N-0000, CEYLON TOBACCO, SECOND INTERIM DIVIDEND OF RS. 12.80 PER SHARE, 08-AUG-12, 17-AUG-12,700.1,699.1
2012-07-27 00:00:00, ORIN-N-0000, ORIENT FINANCE, FINAL DIVIDEND OF RS. 0.15 PER SHARE, 24-SEP-12, 02-OCT-12,17,17
2012-07-30 00:00:00, BUKI-N-0000, BUKIT DARAH, FIRST INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 09-AUG-12, 17-AUG-12,699.6,690
2012-07-30 00:00:00, TFIL-N-0000, TRADE FINANCE, FINAL DIVIDEND OF RS. 0.65 PER SHARE, 03-SEP-12, 11-SEP-12,12.6,12.4
2012-08-06 00:00:00, EXPO-N-0000, EXPOLANKA, INTERIM DIVIDEND OF RS. 0.12 PER SHARE, 15-AUG-12, 24-AUG-12,6,5.9
2012-08-09 00:00:00, APLA-N-0000, ACL PLASTICS, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 20-AUG-12, 29-AUG-12,88.2,88
2012-08-13 00:00:00, SOY-N-0000, CONVENIENCE FOOD, FIRST AND FINAL DIVIDEND OF RS. 1.00 PER SHARE, 20-SEP-12, 28-SEP-12,162.4,163.9
2012-08-16 00:00:00, COCR-N-0000, COMMRCIAL CREDIT & FINANCE, FIRST AND FINAL DIVIDEND OF RS. 1.00 PER SHARE, 24-SEP-12, 02-OCT-12,18.4,17.3
2012-08-16 00:00:00, FLCH-N-0000, FREE LANKA, FIRST AND FINAL DIVIDEND OF RS. 0.05 PER SHARE, 27-SEP-12, 05-OCT-12,3,2.9
2012-08-16 00:00:00, LALU-N-0000, LANKA ALUMINIUM, FIRST AND FINAL DIVIDEND OF RS. 0.50 PER SHARE, 25-SEP-12, 03-OCT-12,36,37.5
2012-08-16 00:00:00, MORI-N-0000, MORISONS, SECOND & FINAL DIVIDEND OF RS. 2.00 PER SHARE(VOTING & NON VOTING), 01-OCT-12, 05-OCT-12,206,206.5
2012-08-17 00:00:00, CERA-N-0000, LANKA CERAMIC, FINAL DIVIDEND OF RS. 1.10 PER SHARE, 25-SEP-12, 03-OCT-12,72,71.9
2012-08-17 00:00:00, CTBL-N-0000, CEYLON TEA BROKERS, FIRST AND FINAL DIVIDEND OF RS. 0.25 PER SHARE, 28-AUG-12, 07-SEP-12,5.2,5
2012-08-17 00:00:00, CTLD-N-0000, C T LAND DEVELOPMENT, FINAL DIVIDEND OF RS. 0.80 PER SHARE, 17-SEP-12, 25-SEP-12,28.8,29
2012-08-21 00:00:00, CABO-N-0000, CARGO BOAT, FIRST AND FINAL DIVIDEND OF RS. 2.00 PER SHARE, 24-SEP-12, 28-SEP-12,99.4,99.3
2012-08-21 00:00:00, CARG-N-0000, CARGILLS, FINAL DIVIDEND OF RS. 1.30 PER SHARE, 21-SEP-12, 01-OCT-12,159.4,156
2012-08-21 00:00:00, RENU-N-0000, RENUKA CITY HOTEL, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE, 24-SEP-12, 28-SEP-12,240.8,256
2012-08-22 00:00:00, ABAN-N-0000, ABANS ELECTRICALS , FINAL DIVIDEND OF RS. 2.00 PER SHARE, 18-SEP-12, 26-SEP-12,118,121.1
2012-08-22 00:00:00, LMF-N-0000,LANKA MILK FOODS, FIRST AND FINAL DIVIDEND RS. 1.00 PER SHARE, 19-SEP-12, 25-SEP-12,104.1,98.5
2012-08-22 00:00:00, RPBH-N-0000, ROYAL PALMS, FIRST AND FINAL DIVIDEND OF RS. 0.80 PER SHARE, 03-SEP-12, 12-SEP-12,49.7,49
2012-08-22 00:00:00, TANG-N-0000, TANGERINE BEACH HOTELS, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 03-SEP-12, 12-SEP-12,76.4,76.8
2012-08-23 00:00:00, GEST-N-0000, GESTETNER, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 26-SEP-12, 28-SEP-12,257.8,260
2012-08-24 00:00:00, AUTO-N-0000, AUTODROME, INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 05-SEP-12, 14-SEP-12,740,735
2012-08-24 00:00:00, KCAB-N-0000, KELANI CABLES, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 05-SEP-12, 14-SEP-12,76.5,74.2
2012-08-24 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT, FINAL DIVIDEND OF RS. 30.00 PER SHARE (AMENDED), 01-OCT-12, 09-OCT-12,3965,3491.7
2012-08-27 00:00:00, CERA-N-0000, LANKA CERAMIC, FINAL DIVIDEND OF RS. 1.10 PER SHARE (AMENDED DATES), 26-SEP-12, 04-OCT-12,71.9,68.1
2012-08-27 00:00:00, COCO-N-0000, RENUKA SHAW WALLACE, FINAL DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON-VOTING), 27-SEP-12, 28-SEP-12,61.7,63
2012-08-27 00:00:00, EMER-N-0000, EASTERN MERCHANT, FINAL DIVIDEND OF RS. 0.08 PER SHARE, 01-OCT-12, 09-OCT-12,14.8,14.8
2012-08-27 00:00:00, RAL-N-0000, RENUKA AGRI, FINAL DIVIDEND OF RS. 0.14 PER SHARE, 24-SEP-12, 28-SEP-12,5.3,5.1
2012-08-27 00:00:00, RHL-N-0000, RENUKA HOLDINGS, FINAL DIVIDEND OF RS. 0.70 PER SHARE (VOTING & NON-VOTING), 27-SEP-12, 28-SEP-12,48.8,48
2012-08-28 00:00:00, SLND-N-0000, SERENDIB LAND, FIRST AND FINAL DIVIDEND OF RS. 20.00 PER SHARE, 25-SEP-12, 02-OCT-12,2085.2,2050
2012-08-29 00:00:00, ACL-N-0000, ACL CABLES, SECOND INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 10-SEP-12, 19-SEP-12,64.2,66.7
2012-08-29 00:00:00, DIST-N-0000, DISTILLERIES, FINAL DIVIDEND OF RS. 3.00 PER SHARE (AMENDED DATES), 01-OCT-12, 09-OCT-12,160,159
2012-08-29 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 10-SEP-12, 19-SEP-12,300,310
2012-08-29 00:00:00, JINS-N-0000, JANASHAKTHI INSURANCE, FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 10-SEP-12, 19-SEP-12,12.8,12
2012-08-30 00:00:00, UML-N-0000, UNITED MOTORS, INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 11-SEP-12, 19-SEP-12,99.6,94.4
2012-09-07 00:00:00, ASPH-N-0000, INDUSTRIAL ASPHALTS, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 01-OCT-12, 09-OCT-12,299,297.2
2012-09-14 00:00:00, LOLC-N-0000, LOLC, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 25-SEP-12, 28-SEP-12,51.8,52.6
2012-09-17 00:00:00, AMF-N-0000, ASSOCIATED MOTOR FINANCE, FINAL DIVIDEND OF RS. 4.00 PER SHARE, 26-SEP-12, 05-OCT-12,439.5,430
2012-09-17 00:00:00, MERC-N-0000, MERCANTILE INVESTMENTS, INTERIM DIVIDEND OF RS. 13.50 PER SHARE, 26-SEP-12, 28-SEP-12,2200, 
2012-09-17 00:00:00, NIFL-N-0000, NANDA FINANCE, FINAL DIVIDEND OF RS. 0.07 PER SHARE, 26-SEP-12, 05-OCT-12,8.7,8.5
2012-09-20 00:00:00, NEH-N-0000, NUWARA ELIYA HOTELS, INTERIM DIVIDEND OF RS. 10.00 PER SHARE, 01-OCT-12, 10-OCT-12,1402.6,1500
2012-09-21 00:00:00, CTHR-N-0000, C T HOLDINGS, FINAL DIVIDEND OF RS. 1.40 PER SHARE, 19-OCT-12, 31-OCT-12,150,150
2012-09-21 00:00:00, SHL-N-0000, SOFTLOGIC, INTERIM DIVIDEND OF RS. 0.30 PER SHARE, 02-OCT-12, 11-OCT-12,12,11.6
2012-09-24 00:00:00, BRWN-N-0000, BROWN & COMPANY, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 03-OCT-12, 12-OCT-12,161.1,160
2012-09-26 00:00:00, ECL-N-0000, E - CHANNELLING, FIRST INTERIM DIVIDEND OF RS.0.15 PER SHARE, 05-OCT-12, 16-OCT-12,6.2,6.3
2012-09-26 00:00:00, OGL-N-0000, ORIENT GARMENTS, FINAL DIVIDEND OF RS.0.50 PER SHARE, 05-OCT-12, 16-OCT-12,18.4,18.5
2012-09-26 00:00:00, SDB-N-0000, SANASA DEVELOPMENT BANK, INTERIM DIVIDEND OF RS. 5.00 PER SHARE, 05-OCT-12, 16-OCT-12, , 
2012-09-28 00:00:00, EDEN-N-0000, EDEN HOTEL LANKA, INTERIM DIVIDEND OF 0.20 PER SHARE, 09-OCT-12, 18-OCT-12,37.2,37
2012-10-15 00:00:00, UCAR-N-0000, UNION CHEMICALS, FIRST INTERIM DIVIDEND OF RS. 6.00 PER SHARE, 24-OCT-12, 01-NOV-12,580,580
2012-10-16 00:00:00, CARE-N-0000, PRINTCARE , INTERIM DIVIDEND OF RS. 0.40 PER SHARE, 25-OCT-12, 06-NOV-12,33.5,30.9
2012-10-17 00:00:00, CFT-N-0000,CEYLON & FOREIGN TRADES, FIRST AND FINAL DIVIDEND OF RS. 0.05 PER SHARE, 19-NOV-12, 28-NOV-12,6.7,6.3
2012-10-18 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA, INTERIM DIVIDEND OF RS. 5.00 PER SHARE, 31-OCT-12, 09-NOV-12,87.5,84
2012-10-23 00:00:00, SFCL-N-0000, SENKADAGALA FINANCE, INTERIM DIVIDEND OF RS. 0.45 PER SHARE, 02-NOV-12, 14-NOV-12,50, 
2012-10-31 00:00:00, LLUB-N-0000, CHEVRON LUBRICANTS, THIRD INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 09-NOV-12, 21-NOV-12,199.5,199
2012-11-02 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 14-NOV-12, 23-NOV-12,216.9,218
2012-11-05 00:00:00, ODEL-N-0000, ODEL PLC, INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 15-NOV-12, 26-NOV-12,23,22.2
2012-11-07 00:00:00, COMB-N-0000, COMMERCIAL BANK, FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE(VOTING & NON VOTING), 19-NOV-12, 20-NOV-12,105,103.5
2012-11-09 00:00:00, CTC-N-0000, CEYLON TOBACCO, THIRD INTERIM DIVIDEND OF RS. 12.10 PER SHARE, 21-NOV-12, 03-DEC-12,717.9,704
2012-11-12 00:00:00, HHL-N-0000, HEMAS HOLDINGS, INTERIM DIVIDEND OF RS. 0.30 PER SHARE, 22-NOV-12, 03-DEC-12,27.9,28
2012-11-14 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SECOND INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 23-NOV-12, 30-NOV-12,274.8,236
2012-11-14 00:00:00, TRAN-N-0000, TRANS ASIA, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 23-NOV-12, 05-DEC-12,79.2,84
2012-11-15 00:00:00, COMD-N-0000, COMMERCIAL DEVELOPMENTS, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 26-NOV-12, 05-DEC-12,70.1,68.5
2012-11-16 00:00:00, AHPL-N-0000, ASIAN HOTELS & PROPERTIES, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 28-NOV-12, 07-DEC-12,79.9,78.5
2012-11-16 00:00:00, VLL-N-0000, VIDULLANKA, INTERIM DIVIDEND OF RS.0.05 PER SHARE, 26-NOV-12, 06-DEC-12,3.6,3.5
2012-11-28 00:00:00, CFIN-N-0000, CENTRAL FINANCE, FIRST INTERIM DIVIDEND OF RS. 0.85 PER SHARE, 07-DEC-12, 18-DEC-12,159,159.9
2012-11-29 00:00:00, ALLI-N-0000, ALLIANCE FINANCE, INTERIM DIVIDEND OF RS. 25.00 PER SHARE, 10-DEC-12, 18-DEC-12,749.8,748.3
2012-11-29 00:00:00, CTEA-N-0000, CEYLON TEA SERVICES, INTERIM DIVIDEND OF RS. 20.00 PER SHARE, 10-DEC-12, 14-DEC-12,670,648
2012-12-03 00:00:00, PLC-N-0000, PEOPLES LEASING, INTERIM DIVIDEND OF RS. 0.75 PER SHARE, 12-DEC-12, 21-DEC-12,13.3,13
2012-12-04 00:00:00, CIC-N-0000, CIC HOLDINGS, INTERIM DIVIDEND OF RS.0.63 PER SHARE (VOTING & NON-VOTING), 13-DEC-12, 24-DEC-12,66,66
2012-12-06 00:00:00, GOOD-N-0000, GOOD HOPE, FIRST INTERIM DIVIDEND OF RS.24.07 PER SHARE, 17-DEC-12, 26-DEC-12,1300,1299
2012-12-06 00:00:00, HASU-N-0000, HNB ASSURANCE, FIRST INTERIM DIVIDEND OF RS.1.50 PER SHARE (VOTING & NON-VOTING), 17-DEC-12, 26-DEC-12,50,50
2012-12-06 00:00:00, HNB-N-0000, HNB, INTERIM DIVIDEND OF RS.1.50 PER SHARE(VOTING & NON-VOTING), 17-DEC-12, 26-DEC-12,142,141
2012-12-06 00:00:00, INDO-N-0000, INDO MALAY, FIRST INTERIM DIVIDEND OF RS.25.57 PER SHARE, 17-DEC-12, 26-DEC-12,1575,1550
2012-12-06 00:00:00, SELI-N-0000, SELINSING, FIRST INTERIM DIVIDEND OF RS.41.50 PER SHARE, 17-DEC-12, 26-DEC-12,1225.7,1200.3
2012-12-06 00:00:00, SHAL-N-0000, SHALIMAR, FIRST INTERIM DIVIDEND OF RS.26.60 PER SHARE, 17-DEC-12, 26-DEC-12,1048,989
