Sector Ratios - 2021 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
Automobiles & Components,2.7,15.62,1.51,6.3,13.87,1.27,3.2,8.42,1.21,6,5.92,1.25,5.9,6,1.27,5.9,7.02,1.13,5.3,7.91,1.28,6,6.28,1.09,5.9,6.4,1.11,5.6,6.77,1.17,5.9,6.36,1.1,10.1,9.15,1.35
Banks,1.8,6.54,0.71,2.1,5.79,0.59,1.4,5.87,0.51,3.6,5.7,0.5,3.4,6.1,0.53,3.6,5.2,0.52,3.6,5.04,0.5,3.4,4.74,0.5,3.4,4.73,0.5,3.1,5.11,0.54,3.4,4.73,0.5,3.5,4.19,0.47
Capital Goods,1.9,24.96,1.32,1.9,25.02,1.09,1.5,57.43,1.04,1.3,48.43,1.06,1.2,40.13,1.07,1.6,17.72,0.96,1.6,15.45,1,2.4,12.57,1.04,2.2,13.41,1.11,2.1,14.28,1.18,2,15.1,1.24,1.6,14.87,1.4
Commercial & Professional Services,0,,1.08,0.2,68.64,0.96,0,43.66,0.88,0,11.83,0.82,0,12,0.84,2.8,5.37,0.83,2.3,6.62,1.04,3.9,6.9,1.16,2.9,9.3,1.57,3.1,8.62,1.45,2.6,10.3,1.74,2.4,12.44,1.7
Consumer Durables & Apparel,2.1,14.61,1.53,2.9,12.36,1.31,3.8,19.97,1.26,2.2,20.46,1.28,2.1,13.79,1.34,2.7,27.27,1.27,2.3,32.56,1.52,1.8,13.42,1.97,1.8,13.07,1.92,1.8,13.22,1.94,1.7,13.81,2.03,2.7,13.69,2.04
Consumer Services,1.2,,0.6,1.1,,0.54,0.7,,0.56,0.7,,0.56,0.7,,0.56,0,,0.53,0,,0.65,0,,0.63,0,,0.79,0,,0.87,0,,0.78,0,,0.89
Diversified Financials,0.9,17.41,1.73,1.1,12.83,1.34,1.3,10.65,1.16,1,10.64,1.19,0.9,11.4,1.26,1.3,9.83,1.44,1.7,9.7,1.43,1.4,14.25,1.75,1.3,15.16,1.87,1.2,17.58,2.17,0.8,24.53,3.02,1,19.07,2.61
Energy,1.6,,1.23,2.1,49.19,0.97,0,,0.96,0,,0.92,0,,1.01,2.1,52.56,0.94,4.7,13.51,0.9,4.7,29.26,0.94,4.4,30.82,0.99,3.7,36.82,1.18,3.8,36.31,1.16,0.9,,2.57
