New Listing 1991,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Merchant Bank of Sri lanka Ltd,3100000,10,3100000,Nil,1991-01-04 00:00:00
2) International Tourists & Hoteliers Ltd,3047310,10,3047310,Nil,1991-05-03 00:00:00
3) Ceylon Oxygen Ltd,2700000,15,2700000,Nil,1991-07-03 00:00:00
4) Pugoda Textiles Lanka Ltd,3000000,10,3000000,Nil,1991-08-28 00:00:00
5) Carsons marketing Ltd,2400000,20,2400000,Nil,1991-11-04 00:00:00
6) DFCC,1833335,500,1833335,Nil,1991-11-20 00:00:00
Value (Rs.),16080645,,,,
Issues (No.),6,,,,
New Listing 1991 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",2,4933335,947667500,,
3) Footwear & Textiles,1,3000000,30000000,,
4) Hotels & Travel,1,3047310,30473100,,
5) Manufacturing ,1,2700000,40500000,,
6) Diversified,1,2400000,48000000,,
Total,6,16080645,1096640600,,
