Sector Trading Statistics Monthly 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,4316,5796022,601923241,1,1,1952,1313706,120493867,1,1,1506,1359626,96414162,1,1,666,578981,27791232,1,1,1092,1304336,60294248,1,1,843,435818,20850822,1,1,652,240268,10548949,1,1,2452,1184301,69847908,1,1,2191,1626808,113264395,1,1,956,988841,66636169,1,1,872,1099439,61887006,1,1,442,124877,7628033,1,1
Banks,36681,383224126,5017926647,16,12,25665,55424595,2106681972,16,12,21827,49273376,1963838823,16,12,11257,33913921,1154284118,16,12,13108,48138105,1310676981,16,12,11589,52225655,1870413501,16,12,10463,20543848,593384150,16,12,15538,47965403,1173332713,16,12,30330,115103595,2655302533,16,12,12624,33526943,990303326,16,12,9764,48119288,1918988028,16,12,9222,35164790,702055422,16,12
Capital Goods,165712,654299233,43283770246,30,27,111743,193655779,14035213140,30,27,73119,162013094,9397489597,30,27,24740,58819371,2296415681,30,27,39461,72573758,2969154443,30,27,42255,103440969,3499411257,32,28,32605,67535542,3173406073,32,28,119984,233777593,14019457675,32,28,150309,320929623,17668387153,32,29,76092,128319212,7951048235,32,29,57351,103674780,5216623930,31,29,41452,95569011,4748706851,31,29
Commercial & Professional Services,7893,9040927,330041711,6,4,4651,5395387,172260673,6,4,3761,8462329,120027574,7,5,1093,2082568,17553449,7,5,1919,6814091,145748446,7,5,1576,4392538,98721241,7,5,2905,16843771,129330418,7,5,10510,48443364,532673533,7,5,10628,24083359,716331038,7,7,4066,5126651,111362859,7,7,3553,3674668,107071838,7,7,2277,4886443,65736728,7,7
Consumer Durables & Apparel,25261,161931896,2968948452,13,12,42897,145363475,2799915082,14,13,14572,51250683,1169038091,14,13,5451,23515111,433831064,14,13,7960,33362788,584136052,14,13,7109,37025254,521351928,14,13,7746,25682096,616850294,14,13,19490,64893687,1729972378,14,12,29733,105196197,2517682207,14,12,26498,99157020,1868694215,14,12,12091,32816706,710907691,14,12,13382,36622638,580209358,14,12
Consumer Services,32317,127415178,1445962291,37,36,18505,67705575,820334147,37,36,10296,30842906,251599512,37,36,3295,9867909,62016069,37,36,6349,23084697,152186700,37,35,6293,44511548,484088007,37,35,9448,30458913,204021864,37,35,40967,128423179,1526277862,37,35,40423,124061887,1906052094,37,35,12433,25675439,279805306,37,35,14796,60156321,436099830,37,35,18297,68323840,609973008,37,35
Diversified Financials,197234,2059964101,27544274175,54,46,165245,1132684775,20036433307,54,45,96192,1022155382,10364640889,53,45,24363,297718171,1900339054,51,43,48383,837069312,3970016872,51,41,34864,293678348,1727405761,50,40,29930,272003644,1409067519,49,42,72567,543502905,5334429089,49,42,115943,1202831268,8012203001,49,42,46826,522848584,2795228421,49,42,42414,328900632,3041420403,49,41,64583,502554472,4673544606,49,39
Energy,14706,27416373,1820781928,3,2,12648,27059583,1810814417,3,2,15836,30188892,1539983743,3,2,2018,3922260,103009421,3,2,16361,35221057,1766789161,3,2,20742,44258292,2952758595,3,2,25150,45197619,3604795461,3,2,53447,108339547,15682648830,3,2,38096,46745596,11458243823,3,2,33443,35802062,7753314025,3,2,19345,25678572,4503516874,3,2,20642,32859965,7043333061,3,2
Food & Staples Retailing,9872,238154081,636266685,5,3,3629,52732827,166400364,5,3,1862,19526921,129783545,4,3,496,3888401,36965080,4,3,1390,16796081,286514280,4,3,1431,15513717,258917451,4,3,1025,6696715,16226110,4,3,2100,25159079,169522569,4,3,4588,60633229,279943228,4,3,1362,7989619,43517819,4,3,1450,15169442,299427938,4,3,1381,131709173,516653517,4,3
"Food, Beverage & Tobacco",198951,1099173588,29187222182,50,46,143055,707392469,13109492951,50,45,88897,558196382,10525038634,50,46,32254,268057819,3093785643,50,45,58148,586735368,6541886154,50,45,44034,344331215,3857396272,50,46,70701,378737236,5373302892,50,45,166700,877481359,15510283838,50,45,145708,667887050,14724224941,50,45,66203,304547848,4242352330,48,46,63599,370242306,4493953423,48,45,65124,544088639,5609599801,48,45
Health Care Equipment & Services,13321,56687767,650106875,9,8,11430,51570378,587606165,9,8,4916,19634463,142195410,9,8,1250,3968549,21922129,9,8,2509,9477828,39094956,9,8,2293,10974667,42929487,9,8,1955,6312038,26543412,9,8,5473,16397306,149804163,9,8,6600,20589218,230568395,9,8,9568,27057385,529657660,9,8,4443,9647346,170137172,9,8,4474,11936925,134822282,9,8
Household & Personal Products,923,2565619,72221461,2,2,658,762438,18922664,2,2,630,1321632,28147745,2,2,273,635526,11508798,2,2,308,651243,13467528,2,1,407,1637233,30180138,2,2,508,670551,13295780,2,2,1576,5821953,156393656,2,1,1409,4173672,120488545,2,2,451,1049587,25585541,2,1,256,580348,13375447,2,2,251,818464,18997857,2,1
Insurance,115830,615078093,13143655496,13,12,78025,255417498,9039908328,13,12,38410,103367601,2050140077,13,12,9659,34580256,410703683,13,12,26208,96401939,1493243375,13,12,13948,32800207,472420388,13,12,16332,66039688,606499641,13,12,36631,163104966,2139592602,13,12,26908,117008026,1250779009,13,12,13630,32499312,374324145,13,12,12508,35563262,427568490,13,12,41012,203418533,3068445698,13,12
Materials,128327,1025916925,12373024122,25,20,75739,292881551,4134374341,25,20,45838,170670952,2132973699,24,20,16963,67815198,611305546,24,20,24562,66947453,892476643,24,20,24534,79760019,1077554815,24,20,27009,126943324,1199000206,24,20,78976,291817907,6025909231,24,20,92173,539041610,10831841494,24,20,61088,235293168,6953890040,24,20,35624,104740499,2152431427,23,20,23878,96107854,2222745595,23,20
Real Estate,38243,232009445,3760718384,20,18,16709,58597988,835331873,20,18,10853,36093418,448243075,20,17,3691,15006805,128640601,20,17,6380,25479486,201665906,20,17,4406,13480322,119733365,20,17,4185,10218040,71215434,20,17,15450,71488834,590483915,20,17,11320,30625213,301286342,20,17,6189,11850611,110629975,19,17,7035,41079910,446242070,19,17,5570,14226438,122741831,19,17
Retailing,33849,100614742,2716148759,14,14,13515,33518216,635922025,14,14,7806,24922689,290768084,14,14,2142,8601754,67524047,14,14,4737,11745958,156205662,14,14,4211,9308868,134762389,14,14,6485,16050428,187925669,14,14,15563,50701347,491031497,14,14,17889,49058087,659370532,14,14,9532,26574148,426729231,14,14,5732,10092506,203156438,14,14,5677,12919358,154377043,14,14
Software & Services,8845,21608966,718635710,1,1,5375,13849864,335897959,1,1,2530,5251973,107344341,1,1,929,2359544,44553472,1,1,1519,4027697,80769764,1,1,1431,3767642,73198379,1,1,2025,5742249,121465204,1,1,3737,11980583,251818393,1,1,2459,7828964,169382629,1,1,1261,2346229,47226238,1,1,1095,8654019,148101381,1,1,1391,14944581,251862934,1,1
