Rights Issues - 2012,,,,,,
COMPANY NAME,PROPORTION,NO. OF SHARES OFFERED,ISSUE PRICE (RS),NO.OF SHARES SUBSCRIBED BY PUBLIC,AMOUNT RAISED (RS),ALLOTMENT DATE
Nation Lanka Finance ,01:04:00,49982562,10,49982562,499825620,2012-01-05 00:00:00
Pegasus Hotels of Ceylon ,01:09:00,3039153,36.5,3039153,110929084.5,2012-03-20 00:00:00
Hayleys MGT Knitting Mills ,02:01:00,101562212,9,101562212,914059908,2012-04-10 00:00:00
Softlogic Capital  ,10:01:00,272000000,7,272000000,1904000000,2012-04-02 00:00:00
Renuka Agri foods ,02:05:00,160500000,4,160500000,642000000,2012-05-14 00:00:00
Singer Finance Lanka,11:20:00,58666667,11,58666667,645333337,2012-06-29 00:00:00
Vidullanka,01:08:00,54109700,3.5,44391593,155370575.5,2012-06-29 00:00:00
Colombo Fort Investments ,03:10:00,1500000,80,1500000,120000000,2012-07-30 00:00:00
Colombo Investment Trust,02:11:00,1000000,80,1000000,80000000,2012-07-30 00:00:00
Keells Food Productus ,02:01:00,17000000,60,17000000,1020000000,2012-07-31 00:00:00
Infrastructure Developers ,01:03:00,1619163,80,1619163,129533040,2012-08-15 00:00:00
Regnis (Lanka),01:06:00,1609695,69,1609695,111068955,2012-09-27 00:00:00
Maskeliya Plantations PLC,01:01:00,26976745,12,26976745,323720940,2012-10-19 00:00:00
Union Assurance ,01:07:00,10714286,70,10714286,750000020,2012-11-12 00:00:00
Capital Alliance Finance ,01:07:00,4845754,15,4845754,72686310,2012-11-19 00:00:00
Renuka Shaw Wallance(voting),05:04:00,27000000,35,23285900,815006500,2012-11-16 00:00:00
Renuka Shaw Wallance (non-voting),05:04:00,2250000,28,586673,16426844,2012-11-16 00:00:00
Odel ,01:01:00,144950000,20,127179431,2543588620,2012-11-16 00:00:00
Bimputh Finance ,01:03:00,6733334,11.5,6733334,77433341,2012-12-19 00:00:00
Colonial Motors ,01:06:00,1520719,130,1515682,197038660,2012-12-14 00:00:00
,,,,,11128021755,
Rights Issues 2012 by Sector,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,
Banks Finance & Insurance,6,402942603,3949278628,,,
Beverage Food & Tobacco,3,201372573,2493433344,,,
Hotels & Travels,1,3039153,110929084.5,,,
Investment Trust,2,2500000,200000000,,,
Plantations,1,26976745,323720940,,,
Land & Property,1,1619163,129533040,,,
Motors,1,1515682,197038660,,,
Manufacturing,1,1609695,111068955,,,
Footware & Textiles,2,228741643,3457648528,,,
Power & Energy,1,44391593,155370575.5,,,
Total,19,913193168,10930983095,,,
Non Voting shares are not included in the above calculation,,,,,,
