Right Issues 1992,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,
,,Offered,(Rs.),by the Public,
1) Cargills,1 for 1,Data n.a. ,Data n.a. ,Data n.a. ,
2) Ceylon Tea Services,1 for 2,Data n.a. ,Data n.a. ,Data n.a. ,
3) Ceylon Tobacco,2 for 5,Data n.a. ,Data n.a. ,Data n.a. ,
4) DIMO,1 for 4,Data n.a. ,Data n.a. ,Data n.a. , 
5) Grain Elevators,1 for 3,Data n.a. ,Data n.a. ,Data n.a. ,
6) Hayleys,1 for 6,Data n.a. ,Data n.a. ,Data n.a. ,
7) John Keels Holdings,1 for 5,Data n.a. ,Data n.a. ,Data n.a. ,
8) Kandy Hotels,24 for 1,Data n.a. ,Data n.a. ,Data n.a. ,
9) Lankem Ceylon,1 for 1,Data n.a. ,Data n.a. ,Data n.a. ,
10) Lanka Asok,1 for 4,Data n.a. ,Data n.a. ,Data n.a. ,
11) Mahaweli Reach,7 for 1,Data n.a. ,Data n.a. ,Data n.a. ,
12) W M Mendis,1 for 2,Data n.a. ,Data n.a. ,Data n.a. ,
13) On'ally Holdings,1 for 3,Data n.a. ,Data n.a. ,Data n.a. ,
14) Pure Beverages,1 for 4,Data n.a. ,Data n.a. ,Data n.a. ,
15) Riverina Hotels,1 for 1,Data n.a. ,Data n.a. ,Data n.a. ,
16) Serendib Land,1 for 2,Data n.a. ,Data n.a. ,Data n.a. ,
17) Singer (Sri Lanka),1 for 4,Data n.a. ,Data n.a. ,Data n.a. ,
Value (Rs),74107660,,,,
Issues (No.),17,,,,
Right Issues 1992 by Sector,,,,,
Sector (Equity),No of Issues,No of Shares,Value (Rs.),,
"1) Beverages, Food & Tobacco",4,Data n.a. ,35702369,,
2) Chemicals and Pharmacy,1,Data n.a. ,1800000,,
3) Hotels & Travels,3,Data n.a. ,15522833,,
4) Investment,1,Data n.a. ,2500000,,
5) Land & Property,2,Data n.a. ,2905123,,
6) Manufacturing,1,Data n.a. ,5000000,,
7) Motors,2,Data n.a. ,5658335,,
8) Services,1,Data n.a. ,1200000,,
9) Trading,2,Data n.a. ,3819000,,
Total,17,Data n.a. ,74107661,,
