Dividend Record 1992,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
AMW,Nt0000,AMW,1991-11-15 00:00:00,1992-01-06 00:00:00,20,1ST & FINAL (11.67% TAX FREE),110,123.75
COMB,Nt0000,COMMERCIAL BANK,1991-12-25 00:00:00,1992-01-10 00:00:00,8,FOR S\HOLDERS AS AT 24TH DEC 1991,290,290
CTC,Nt0000,CEYLON TOBACCO,1991-12-23 00:00:00,1992-01-13 00:00:00,7.75,2ND INTERIM,56.5,57.5
GEST,Nt0000,GESTETNER,1991-12-09 00:00:00,1992-01-15 00:00:00,12,FIRST & FINAL,50,50
HNB,Nt0000,HNB,1991-12-24 00:00:00,1992-01-16 00:00:00,15,FOR S\HOLDERS AS AT 23.12.91,400,400
ASPH,Nt0000,INDUSTRIAL ASPH.,1991-12-24 00:00:00,1992-01-16 00:00:00,8.5,2nd & Final,48,55
ACL,Nt0000,ACL,1991-12-11 00:00:00,1992-01-18 00:00:00,25,FOR S\HOLDERS AS AT 19.12.91,200,195
SINS,Nt0000,SINGER SRI LANKA,1991-12-31 00:00:00,1992-01-21 00:00:00,10,INTERIM,96,96
CFIN,Nt0000,CENTRAL FINANCE,1992-01-03 00:00:00,1992-01-24 00:00:00,10,1ST INTERIM (TAX FREE),305,305
GRAN,Nt0000,GRAIN ELEVATORS,1991-12-27 00:00:00,1992-01-27 00:00:00,45,SECOND INTERIM,160.25,175
CTEA,Nt0000,TEA SERVICES,1992-01-06 00:00:00,1992-01-27 00:00:00,10,FOR S/HOLDERS AS AT 2ND JAN 1992,350,350
LINV,Nt0000,LAKE HOUSE INV.,1992-01-03 00:00:00,1992-01-30 00:00:00,5,FOR S\HOLDERS AS AT 9TH JAN 1992,62.5,59.5
JKH,Nt0000,JKH,1992-01-14 00:00:00,1992-02-05 00:00:00,10,INTERIM,300,300
JKL,Nt0000,JOHN KEELLS,1992-01-17 00:00:00,1992-02-07 00:00:00,10,INTERIM,90,90
KDL,Nt0000,P. D.  KEELLS,1992-01-20 00:00:00,1992-02-10 00:00:00,8,INTERIM,50.25,50
PURE,Nt0000,COCA-COLA,1991-11-12 00:00:00,1992-02-12 00:00:00,12.4,FINAL,130,131
KFP,Nt0000,KEELLS FOOD,1992-01-22 00:00:00,1992-02-12 00:00:00,8,INTERIM,72,72
KINN,Nt0000,KANDY WALK INN,1992-01-24 00:00:00,1992-02-14 00:00:00,8,INTERIM,54,54
WALK,Nt0000,WALKERS TOURS,1992-01-24 00:00:00,1992-02-14 00:00:00,8,INTERIM,72,72
PDL,Nt0000,PDL,1992-01-29 00:00:00,1992-02-19 00:00:00,9,INTERIM (TAX FREE),22.5,20.25
HINN,Nt0000,HABARANA WALKINN,1992-01-30 00:00:00,1992-02-20 00:00:00,8,INTERIM,40,41
ONAL,Nt0000,ON'ALLY,1992-01-30 00:00:00,1992-02-20 00:00:00,5,INTERIM,19,18
CIC,Nt0000,CIC,1992-01-28 00:00:00,1992-02-26 00:00:00,15,FOR S\HOLDERS AT 18TH FEB 1992,160,160
KREA,Nt0000,KOREA CEYLON,1992-02-07 00:00:00,1992-02-28 00:00:00,10,2NDINTERIM (TAX FREE),190,190
MPAC,Nt0000,METAL PACKAGING,1992-02-11 00:00:00,1992-03-03 00:00:00,5,FINAL,68.75,67
CHMX,Nt0000,CHEMANEX,1992-02-13 00:00:00,1992-03-05 00:00:00,7.5,INTERIM (4.5% TAX FREE),75,74
HAYC,Nt0000,HAYCARB,1992-03-13 00:00:00,1992-03-17 00:00:00,30,FIRST & FINAL (TAX FREE),152,160.25
DIPD,Nt0000,DIPPED PRODUCTS,1992-03-17 00:00:00,1992-03-20 00:00:00,26,FIRST & FINAL (TAX FREE),100,100
ASIR,Nt0000,ASIRI,1992-03-02 00:00:00,1992-03-23 00:00:00,5,INTERIM,28,24.75
COMD,Nt0000,COMMERCIAL DEV.,1992-03-17 00:00:00,1992-03-23 00:00:00,9,INTERIM (TAX FREE),21.75,21.75
SHAW,Nt0000,SHAW WALLACE,1992-03-16 00:00:00,1992-03-25 00:00:00,12.5,INTERIM (TAX FREE),135,135
YORK,Nt0000,YORK ARCADE,1992-03-19 00:00:00,1992-03-25 00:00:00,3,INTERIM,16,16
HNB,Nt0000,HNB,1992-03-16 00:00:00,1992-03-30 00:00:00,25,FINAL,400,400
LOLC,Nt0000,LOLC,1992-03-13 00:00:00,1992-03-30 00:00:00,15,INTERIM,169.75,167.75
LINV,Nt0000,LAKE HOUSE INV.,1992-03-16 00:00:00,1992-03-31 00:00:00,7.5,FOR S/HOLDERS AT 27TH MARCH 1992,62.5,59.5
LDEV,Nt0000,LANKEM DEV.,1992-03-10 00:00:00,1992-03-31 00:00:00,10,INTERIM,54,50
COMB,Nt0000,COMMERCIAL BANK,1992-03-30 00:00:00,1992-04-06 00:00:00,17,FINAL,265,265
UML,Nt0000,UNITED MOTORS,1992-03-27 00:00:00,1992-04-06 00:00:00,6,INTERIM,53,52
PURE,Nt0000,COCA-COLA,1992-03-30 00:00:00,1992-04-07 00:00:00,5.45,INTERIM (TAX FREE),135,125
BREW,Nt0000,CEYLON BREWERY,1992-04-06 00:00:00,1992-04-08 00:00:00,15,FIRST INTERIM (7% T.F.),269.75,265
SPEN,Nt0000,AITKEN SPENCE,1992-04-01 00:00:00,1992-04-10 00:00:00,12.5,INTERIM (T.F.),310,310
LMF,Nt0000,LMF,1992-03-20 00:00:00,1992-04-10 00:00:00,25,INTERIM,40,38
BATA,Nt0000,BATA,1992-04-20 00:00:00,1992-04-24 00:00:00,15,FINAL (3% TAX FREE),64.5,64
CTC,Nt0000,CEYLON TOBACCO,1992-04-23 00:00:00,1992-04-30 00:00:00,10.75,FINAL,58.75,60
HARI,Nt0000,HARISCHANDRA,1992-04-03 00:00:00,1992-04-30 00:00:00,10,INTERIM,120,80
HAYL,Nt0000,HAYLEYS,1992-04-27 00:00:00,1992-04-30 00:00:00,15,INTERIM (TAX FREE),515,515
