Dividend Record 1999,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
LLUB,CALTEX,Nt0000,1998-12-30 00:00:00,1999-01-12 00:00:00,41.5,INTERIM DIVIDEND,67.5,63.75
SHOT,SERENDIB HOTELS,Nt0000,1999-01-05 00:00:00,1999-01-18 00:00:00,7.5,INTERIM DIVIDEND (VOTING & NON-VOTING),16.5,18
SHOT,SERENDIB HOTELS,Xt0000,1999-01-05 00:00:00,1999-01-18 00:00:00,7.5,INTERIM DIVIDEND (VOTING & NON-VOTING),5.25,5.75
CFLB,FORT LAND 3/-,Nt0000,1999-01-26 00:00:00,1999-02-08 00:00:00,6,FIRST  &  FINAL  DIVIDEND,3.5,3.25
JKL,JOHN KEELLS,Nt0000,1999-01-26 00:00:00,1999-02-08 00:00:00,10,SECOND INTERIM DIVIDEND,50,50
WALK,WALKERS TOURS,Nt0000,1999-01-26 00:00:00,1999-02-08 00:00:00,10,INTERIM DIVIDEND,61,61
CCS,COLD STORES 8/-,Nt0000,1999-01-21 00:00:00,1999-02-09 00:00:00,10,,84.25,84
JKH,JKH,Nt0000,1999-01-22 00:00:00,1999-02-10 00:00:00,10,INTERIM DIVIDEND,223.5,223.5
CTEA,TEA SERVICES,Nt0000,1999-01-28 00:00:00,1999-02-10 00:00:00,10,INTERIM DIVIDEND,105,105
ASPH,INDUSTRIAL ASPH.,Nt0000,1999-02-01 00:00:00,1999-02-12 00:00:00,5,INTERIM DIVIDEND,51,45
AEC,AEC 8/-,Nt0000,1999-02-10 00:00:00,1999-02-22 00:00:00,7.5,INTERIM DIVIDEND,37,35
TSML,TEA SMALLHOLDER,Nt0000,1999-02-10 00:00:00,1999-02-22 00:00:00,10,INTERIM DIVIDEND,35,32.5
AMW,AMW,Nt0000,1999-02-11 00:00:00,1999-02-23 00:00:00,10,INTERIM DIVIDEND (TAX FREE),49,49
HSIG,HOTEL SIGIRIYA,Nt0000,1999-02-12 00:00:00,1999-02-24 00:00:00,10,INTERIM DIVIDEND,12,12
EAST,EAST WEST,Nt0000,1999-02-15 00:00:00,1999-02-25 00:00:00,6,INTERIM DIVIDEND (T/F),5.25,5.25
HPP,HAYL. PHOTOPRINT,Nt0000,1999-02-15 00:00:00,1999-02-25 00:00:00,10,INTERIM DIVIDEND,23.25,21
HUEJ,HUEJAY,Nt0000,1999-02-17 00:00:00,1999-03-02 00:00:00,25,FIRST & FINAL DIVIDEND (T/F),25,
LOLC,LOLC,Nt0000,1999-02-18 00:00:00,1999-03-03 00:00:00,10,INTERIM DIVIDEND,53,53
HEXP,HAYLEYS EXPORTS,Nt0000,1999-02-23 00:00:00,1999-03-08 00:00:00,20,INTERIM DIVIDEND (3.1% T/F),39.25,38.5
CFIN,CENTRAL FINANCE,Nt0000,1999-02-25 00:00:00,1999-03-10 00:00:00,10,FIRST INTERIM DIVIDEND (7% T/F),185,180
CHMX,CHEMANEX,Nt0000,1999-02-25 00:00:00,1999-03-10 00:00:00,10,INTERIM DIVIDEND,31.5,31.5
CIC,CIC,Xt0000,1999-02-25 00:00:00,1999-03-10 00:00:00,10,INTERIM DIVIDEND (VOTING & NON-VOTING),35,31
CIC,CIC,Nt0000,1999-02-25 00:00:00,1999-03-10 00:00:00,10,INTERIM DIVIDEND (VOTING & NON-VOTING),40.5,40
CDIC,CDIC,Nt0000,1999-03-09 00:00:00,1999-03-19 00:00:00,10,FIRST & FINAL DIVIDEND,25,29.75
DIMO,DIMO,Nt0000,1999-03-09 00:00:00,1999-03-19 00:00:00,15,INTERIM DIVIDEND,35,35
REG,REGNIS,Nt0000,1999-03-10 00:00:00,1999-03-22 00:00:00,15,SECOND INTERIM,23,21.75
