New Listings 2014,,,,,,,,,
,IPO - Equity ,,,,,,,,
No.,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,
1,Amana Bank ,"Tranche 1 - 214,300,000 ",235712400,1250695267,7,1649986800,2014-01-29 00:00:00,New,
,,"Tranche 2  - 71,500,000 ",,,,,,,
2,Millenium Housing Developers ,32000000,16000000,134681320,6,96000000,2014-02-19 00:00:00,New,
3,Alumex Limited,"Offer for subscription - 17,857,142",59860542,299302840,14,250000000,2014-03-31 00:00:00,New,
,,"Offer foe sale - 42,003,400",,,,588047600,,,
4,Adam Investments Limited,133333500,132616000,449276200,3,397848000,2014-06-10 00:00:00,New,
5,Lucky Lanka Milk Processing Company Limited,"Voting - 38,000,000",38000000,176028410,6,228000000,2014-07-30 00:00:00,New,
,,"Non-voting -24,000,000",24000000,24000000,3,72000000,2014-07-30 00:00:00,New,
,,,,,,2693834800,,,
,Introduction - Equity,,,,,,,,
No. ,Name ,No. of shares listed ,Date listed ,,,,,,
1,Bansai Royal Resort Hikkaduwa,53728000,2014-03-27 00:00:00,,,,,,
2,Sinhaputhra Finance PLC - Preference Shares,670765,2014-04-21 00:00:00,,,,,,
,New Listings by Sector,,,,,,,,
,Equity,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
,Bank Finance and Insurance,1,1250695267,1649986800,,,,,
,Beverarage Food and Tobacco (Voting and Non Voting),1,200028410,300000000,,,,,
,Diversified Holding,1,449276200,397848000,,,,,
,Hotels and Travels,1,53728000,-,,,,,
,Land and Property,1,134681320,96000000,,,,,
,Manufacturing,1,299302840,838047600,,,,,
,Total,6,2387712037,3281882400,,,,,
,IPO - Debenture ,,,,,,,,
No.,Name ,No of debentures offered,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,Vallibel Finance PLC ,5000000,3507400,Fixed (14.75),100,2014-03-05 00:00:00,500000000,350740000,
,,,198000,Fixed (15),100,2014-03-05 00:00:00,,19800000,
,,,1294600,Fixed (15.5),100,2014-03-05 00:00:00,,129460000,500000000
2,First Capital Holdings,5000000,1854000,Fixed (13.5),100,2014-03-26 00:00:00,500000000,185400000,
,,,1292000,Fixed (13.75),100,2014-03-26 00:00:00,,129200000,
,,,1854000,Fixed (14),100,2014-03-26 00:00:00,,185400000,500000000
3,Hemas Holdings,10000000,10000000,Fixed (11),100,2014-05-06 00:00:00,1000000000,1000000000,1000000000
4,Richard Peiris & Company,35000000,8750000,Fixed (10.75%),100,2014-05-23 00:00:00,3500000000,875000000,
,,,7000000,Fixed (11%),100,2014-05-23 00:00:00,,700000000,
,,,19250000,Fixed (11.25%),100,2014-05-23 00:00:00,,1925000000,3500000000
5,Kotagala Plantations PLC,10000000,2500000,Fixed (14.5),100,2014-06-06 00:00:00,1000000000,250000000,1000000000
,,,2500000,Fixed (15),100,2014-06-06 00:00:00,,250000000,
,,,2500000,Fixed (14.75),100,2014-06-06 00:00:00,,250000000,
,,,2500000,Fixed (14.25),100,2014-06-06 00:00:00,,250000000,
6,Dunamis Capital PLC,10000000,10000000,Fixed (12.5),100,2014-08-19 00:00:00,1000000000,1000000000,1000000000
7,DFCC Bank,50000000,38265800,Fixed(8.5%),100,2014-09-02 00:00:00,5000000000,3826580000,5000000000
,,,8746900,Fixed(8.33%),100,2014-09-02 00:00:00,,874690000,
,,,2987300,Fixed(8.24%),100,2014-09-02 00:00:00,,298730000,
8,Softlogic Finance PLC,14000000,9498700,Fixed(10%),100,2014-09-12 00:00:00,,949870000,1400000000
,,,4501300,Floating,100,2014-09-12 00:00:00,1400000000,450130000,
9,Bank of Ceylon,80000000,51256350,Fixed(8%),100,2014-10-03 00:00:00,8000000000,5125635000,8000000000
,,,2157800,Fixed(7.75%),100,2014-10-03 00:00:00,,215780000,
,,,8250600,Floating,100,2014-10-03 00:00:00,,825060000,
,,,18334950,Fixed(8.25%),100,2014-10-03 00:00:00,,1833495000,
,,,300,Floating,100,2014-10-03 00:00:00,,30000,
10,Peoples Leasing and finance,30000000,18000700,Fixed (8.75%),100,2014-10-03 00:00:00,3000000000,1800070000,3000000000
,,,11999300,Fixed (9.625%),100,2014-10-03 00:00:00,,1199930000,
11,Pan Asia Banking Corporation,30000000,,,,2014-11-05 00:00:00,,,3000000000
12,Mercantile investments & Finance PLC,2000000,2000000,Fixed (10.5%),100,2014-11-14 00:00:00,200000000,200000000,200000000
13,Merchant Bank of Sri Lanka & Finance PLC,20000000,20000000,Fixed (9%),100,2014-11-27 00:00:00,2000000000,909770000,
,,,,Fixed (8.75%),100,2014-11-27 00:00:00,,1090230000,2000000000
14,Janashakthi Limited,10000000,10000000,Fixed (10.75%),100,2014-12-01 00:00:00,1000000000,1000000000,1000000000
15,Lanka Orix Leasing Company PLC,50000000,50000000,Fixed (9.00%),100,2014-12-02 00:00:00,5000000000,5000000000,5000000000
16,LION Brewery Ceylon PLC,20000000,20000000,Fixed (7.85%),100,2014-12-12 00:00:00,2000000000,2000000000,2000000000
17,Sampath Bank,70000000,31765500,Fixed (8.25%),100,2014-12-19 00:00:00,,3176550000,
,,,38234500,Fixed (8.1%),100,2014-12-19 00:00:00,7000000000,3823450000,7000000000
18,Hatton National Bank,30000000,1587200,Fixed (6.88%),100,2014-12-22 00:00:00,,158720000,
,,,27572400,Fixed (7.75%) ,100,2014-12-22 00:00:00,,2757240000,
,,,840400,Fixed (8.33%),100,2014-12-22 00:00:00,3000000000,84040000,3000000000
19,Seylan Bank,60000000,4622800,Fixed (8.00%),100,2014-12-31 00:00:00,,462280000,
,,,300,Fixed (8.35%) ,100,2014-12-31 00:00:00,,30000,
,,,18665200,Fixed (8.60%),100,2014-12-31 00:00:00,,1866520000,
,,,25055200,Fixed (8.60%),100,2014-12-31 00:00:00,,2505520000,
,,,3005200,Fixed (8.75%) ,100,2014-12-31 00:00:00,6000000000,300520000,5134870000
20,Siyapatha Finance Limited ,10000000,10000000,Fixed (8.90%),100,2014-12-31 00:00:00,1000000000,1000000000,1000000000
,De-Listings 2014,,,,,,,,
No. ,Name ,Date De-listed ,,,,,,,
1,Beruwela Walk Inn,2014-09-23 00:00:00,,,,,,,
2,Kuruwita Textile Mills ,2014-09-23 00:00:00,,,,,,,
3,Asha Asiri Central Hospitals PLC,2014-10-30 00:00:00,,,,,,,
