SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,28577,3377,29914471,22877702,1397384007,1883570369
BEV FOOD TOBACCO,12198,1012,22186441,16056291,354671993,190494649
CONSTRUCTION ENG,1558,356,4380106,5266484,49079816,58676893
CHEMICALS PHARMS,1290,63,681490,53406,40372089,3381867
FOOTWEAR TEXTILE,2447,169,1507783,444338,11925814,5026129
HOTELS TRAVELS,4164,326,6930987,4932312,99973907,58380463
INVESTMENT TRUST,578,20,363003,34713,7749755,384159
LAND PROPERTY,3809,133,10306781,454369,76932686,4662015
MANUFACTURING,22689,2966,29100396,18847388,469047871,301933706
MOTORS,1862,165,2833562,1306820,98109952,47684390
OIL PALMS,10,3,13022,12500,4039582,3875000
STORES SUPPLIES,71,6,24210,4983,3953080,907850
SERVICES,249,6,120759,3100,3654436,104200
TRADING,985,112,730999,451331,23040993,9111560
PLANTATIONS,984,24,5715550,33100,136379963,654012
DIVERSIFIED,5980,1667,17284772,23379639,567669729,1479177972
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,334,1,372173,500,10436178,14400
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
