Sector Domestic & Foreign Analysis - 2016,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,269862,15309,1633328915,327106598,32195121157,29004445026
BEV FOOD TOBACCO,59168,4581,180278844,51414975,7145319023,9611956613
CONSTRUCTION ENG,44637,1977,161251562,18992323,3862352744,444289260
CHEMICALS PHARMS,8049,261,43057197,1586514,773921030,78423281
DIVERSIFIED,125785,12596,1108719222,384582931,19047440550,19192999615
FOOTWEAR TEXTILE,13496,285,41593589,1425413,830952783,26964834
HOTELS TRAVELS,69279,1497,354263323,97180492,3034418841,1424969967
HEALTH CARE,16467,776,479200834,18329758,3910834731,497553358
INVESTMENT TRUST,22443,469,41385206,2758712,984815813,61441757
IT,5935,446,55570226,2239659,111046472,16865791
LAND PROPERTY,25822,1334,69789414,40961172,1564012424,772549250
MANUFACTURING,230184,11578,870278379,141001977,20721613362,8674400221
MOTORS,7327,203,3057337,240733,647492587,36425100
OIL PALMS,2451,204,262971,168815,95926545,51113210
POWER & ENERGY,44316,1232,353320343,10137163,3884755623,158812815
PLANTATIONS,16939,347,37549585,3277823,634317289,67957906
STORES SUPPLIES,2477,108,301513,12612,99859875,6554211
SERVICES,7054,62,32816544,507769,167654233,1518642
TELECOM,8742,917,102956930,314003827,1186818006,3416908225
TRADING,21825,409,200451223,10443028,1480245985,1010379580
