Market Capitalisation as at 31st December 2000,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,2000-12-29 00:00:00,183561927,37,6791791299
CTC,CEYLON TOBACCO,2000-12-29 00:00:00,187323751,29.5,5526050654.5
NEST,NESTLE,2000-12-29 00:00:00,53725463,66,3545880558
COMB,COMMERCIAL BANK,2000-12-29 00:00:00,32500000,93,3022500000
HAYL,HAYLEYS,2000-12-29 00:00:00,36000000,78.5,2826000000
DFCC,DFCC,2000-12-29 00:00:00,35259260,80,2820740800
HNB,HNB,2000-12-29 00:00:00,50000000,46.25,2312500000
NDB,NATIONAL DEVELOPMENT BANK,2000-12-29 00:00:00,53750000,42,2257500000
SPEN,AITKEN SPENCE,2000-12-27 00:00:00,26513910,85,2253682350
SAMP,SAMPATH,2000-12-28 00:00:00,44284904,41.5,1837823516
PURE,COCA-COLA,2000-12-18 00:00:00,75627400,24,1815057600
LLUB,CALTEX,2000-12-29 00:00:00,30000000,50,1500000000
CARS,CARSONS,2000-10-24 00:00:00,1018710,1200,1222452000
RICH,RICHARD PIERIS,2000-12-21 00:00:00,23229472,52,1207932544
DIST,DISTILLERIES ,2000-12-29 00:00:00,300000000,4,1200000000
PDL,PDL,2000-12-21 00:00:00,66000000,17,1122000000
CCS,COLD STORES ,2000-12-27 00:00:00,21600000,48.25,1042200000
TRAN,TRANS ASIA,2000-12-29 00:00:00,50000000,20.5,1025000000
SINS,SINGER SRI LANKA,2000-12-20 00:00:00,32053660,31.5,1009690290
HAYC,HAYCARB,2000-12-29 00:00:00,26411000,36.25,957398750
AHOT,ASIAN HOTELS,2000-12-29 00:00:00,221387643,4,885550572
AHUN,A.SPEN.HOT.HOLD.,2000-12-20 00:00:00,38433144,23,883962312
JFIN,JAMES FINLAY,2000-12-11 00:00:00,35000000,25,875000000
DIPD,DIPPED PRODUCTS,2000-12-29 00:00:00,18475776,46,849885696
MPRH,MET. RES. HOL.,2000-03-10 00:00:00,39664802,20,793296040
CTEA,TEA SERVICES,2000-12-28 00:00:00,10000000,78,780000000
INDO,INDO MALAY,2000-10-30 00:00:00,2430000,315,765450000
GRAN,GRAIN ELEVATORS,2000-12-29 00:00:00,60000000,12.5,750000000
SEYB,SEYLAN BANK,2000-12-29 00:00:00,43560000,16.5,718740000
MASK,MASKELIYA,2000-12-29 00:00:00,26976744,26,701395344
CDIC,CDIC,2000-09-05 00:00:00,24500007,28,686000196
CTCE,EAGLE INSURANCE,2000-12-20 00:00:00,20000000,34,680000000
RECK,RECKITTS,2000-12-19 00:00:00,26244000,25,656100000
DOCK,DOCKYARD,2000-12-29 00:00:00,62074441,10,620744410
LION,LION  BREWERY,2000-12-29 00:00:00,50000000,12,600000000
TKYO,TOKYO CEMENT,2000-12-22 00:00:00,15000000,40,600000000
UAL,UNION ASSURANCE,2000-12-20 00:00:00,20000000,30,600000000
NTB,NATIONS TRUST,2000-12-29 00:00:00,50000000,11.75,587500000
BOPL,BOGAWANTALAWA,2000-12-27 00:00:00,33500000,17.25,577875000
BALA,BALANGODA,2000-12-29 00:00:00,23636363,22.75,537727258.25
ACAP,ASIA CAPITAL,2000-12-28 00:00:00,110000000,4.75,522500000
GOOD,GOOD HOPE,1999-01-28 00:00:00,2650968,190,503683920
SELI,SELINSING,2000-12-05 00:00:00,3213000,152,488376000
ASIR,ASIRI,2000-12-21 00:00:00,15176756,31.5,478067814
LOLC,LOLC,2000-12-27 00:00:00,23760000,20,475200000
BREW,CEYLON BREWERY,2000-12-15 00:00:00,20988090,22,461737980
KVAL,KELANI VALLEY,2000-12-29 00:00:00,34000000,13.5,459000000
CERA,LANKA CERAMIC,2000-12-29 00:00:00,30000000,15,450000000
RCL,ROYAL CERAMICS,2000-12-29 00:00:00,30774829,14.5,446235020.5
CFIN,CENTRAL FINANCE,2000-12-22 00:00:00,12180000,36,438480000
MILL,MILLERS ,2000-12-21 00:00:00,3894750,110,428422500
CTHR,CEY THEATRES ,2000-12-15 00:00:00,2249268,190,427360920
COXY,CEYLON OXYGEN,2000-12-29 00:00:00,9000000,46.25,416250000
UML,UNITED MOTORS,2000-12-28 00:00:00,14714675,28,412010900
LVEN,LANKA VENTURES,2000-12-22 00:00:00,50000000,7.5,375000000
NEH,NUWARA ELIYA,2000-12-22 00:00:00,1858134,200,371626800
GHLL,GALADARI,2000-12-29 00:00:00,182434060,2,364868120
SWAD,SWADESHI,2000-11-16 00:00:00,130666,2700,352798200
UPIN,UPALI INVESTMENT,2000-02-11 00:00:00,500000,700,350000000
CARE,PRINTCARE (CEY),2000-08-28 00:00:00,12895000,27,348165000
CTLD,C T LAND,2000-12-29 00:00:00,48750000,7,341250000
RPBH,ROYAL PALMS,2000-12-29 00:00:00,40000000,8.5,340000000
TSML,TEA SMALLHOLDER,2000-12-29 00:00:00,15000000,22.5,337500000
WATA,WATAWALA,2000-12-29 00:00:00,23666667,13.75,325416671.25
SERV,HOTEL SERVICES,2000-09-07 00:00:00,17600000,18,316800000
TPL,TALAWAKELLE,2000-12-29 00:00:00,20000000,15.75,315000000
HAPU,HAPUGASTENNE,2000-12-28 00:00:00,40000000,7.75,310000000
SUGA,PELWATTE,2000-12-29 00:00:00,67976891,4.5,305896009.5
MADU,MADULSIMA,2000-12-29 00:00:00,29000000,10.5,304500000
DPL,DANKOTUWA PORCEL,2000-12-27 00:00:00,27141444,11,298555884
JKL,JOHN KEELLS,2000-12-21 00:00:00,7600000,39,296400000
DIMO,DIMO,2000-12-18 00:00:00,6000000,46,276000000
EDEN,EDEN HOTEL LANKA,2000-12-27 00:00:00,48000000,5.75,276000000
KGAL,KEGALLE,2000-12-29 00:00:00,25000000,11,275000000
ACL,ACL,2000-12-28 00:00:00,9800784,28,274421952
KHC,KANDY HOTELS ,2000-06-22 00:00:00,16500000,16.5,272250000
CIC,CIC,2000-12-19 00:00:00,6300000,42,264600000
AMW,AMW,2000-12-29 00:00:00,8242369,32,263755808
TILE,LANKA TILES,2000-12-29 00:00:00,18268050,14.25,260319712.5
LHL,LIGHTHOUSE HOTEL,2000-12-21 00:00:00,46000000,5.5,253000000
MLL,MLL,2000-12-29 00:00:00,20393002,12.25,249814274.5
CINS,CEYLINCO INSURANCE,2000-12-29 00:00:00,13860000,18,249480000
SHAW,SHAW WALLACE,2000-12-19 00:00:00,5120546,47,240665662
BLUE,BLUE DIAMONDS,2000-12-29 00:00:00,59033947,4,236135788
LCEM,LANKA CEMENT,2000-11-27 00:00:00,155629639,1.5,233444458.5
BHR,RIVERINA HOTELS,2000-12-21 00:00:00,10129785,23,232985055
KOTA,KOTAGALA,2000-12-29 00:00:00,32000000,7.25,232000000
TYRE,KELANI TYRES,2000-12-29 00:00:00,40200000,5.75,231150000
GUAR,CEYLON GUARDIAN,2000-11-28 00:00:00,2663173,85,226369705
HDEV,HOTEL DEVELOPERS,1998-07-02 00:00:00,45226100,5,226130500
TAFL,THREE ACRE FARMS,2000-12-22 00:00:00,23100000,9.5,219450000
CSD,CEYLINCO SEYLAN,2000-12-29 00:00:00,72531795,3,217595385
PALM,CONFIFI HOTEL,2000-12-20 00:00:00,7200000,30,216000000
NAMU,NAMUNUKULA,2000-12-29 00:00:00,20000000,10.75,215000000
WALK,WALKERS TOURS,2000-09-19 00:00:00,5000000,43,215000000
LMF,LMF,2000-12-29 00:00:00,29998500,7,209989500
CARG,CARGILLS,2000-12-29 00:00:00,5600000,36,201600000
AAIC,ASIAN ALLIANCE,2000-12-11 00:00:00,20000000,10,200000000
COML,COMM. LEASING,2000-12-27 00:00:00,7333337,27,198000099
BRWN,BROWNS ,2000-12-15 00:00:00,2625000,75,196875000
SHOT,SERENDIB HOTELS,2000-12-15 00:00:00,7875000,25,196875000
MAL,MALWATTE,2000-12-29 00:00:00,20000000,9.75,195000000
PHAR,COL PHARMACY ,2000-11-22 00:00:00,954643,200,190928600
SHAL,SHALIMAR,1997-07-29 00:00:00,270000,700,189000000
HOPL,HORANA,2000-12-27 00:00:00,25000000,7.5,187500000
LWL,LANKA WALLTILE,2000-12-29 00:00:00,26000000,7,182000000
CHOT,HOTELS CORPORATION,2000-12-29 00:00:00,3000000,60,180000000
KCAB,KELANI CABLES,2000-11-10 00:00:00,5450000,33,179850000
UDPL,UDAPUSSELLAWA,2000-12-27 00:00:00,17100000,10.5,179550000
MENG,METALIX ENGIN.,2000-11-27 00:00:00,3100000,55,170500000
AGAL,AGALAWATTE,2000-12-29 00:00:00,25000000,6.75,168750000
REXP,RICH PIERIS EXPORTS,2000-12-21 00:00:00,11050153,15.25,168514833.25
EMER,EASTERN MERCHANT,1999-07-14 00:00:00,1677800,100,167780000
BOGA,BOGALA GRAPHITE,2000-12-29 00:00:00,27961000,6,167766000
GLAS,CEYLON GLASS CO.,2000-12-29 00:00:00,27710844,6,166265064
OVL,OCEAN VIEW LTD,2000-12-28 00:00:00,21418560,7.75,165993840
BUKI,BUKIT DARAH,2000-12-27 00:00:00,400000,400,160000000
TFC,THE FINANCE CO.,2000-12-29 00:00:00,9981240,16,159699840
AHCL,ASSO. HOTELS,2000-11-24 00:00:00,5203800,30,156114000
HLOG,HABARANA LODGE,2000-12-21 00:00:00,7200000,20.75,149400000
COMD,COMMERCIAL DEV.,2000-12-01 00:00:00,12000000,12,144000000
GLAX,GLAXO,2000-12-29 00:00:00,4050000,35,141750000
LALU,LANKA ALUMINIUM,2000-12-29 00:00:00,13702823,10.25,140453935.75
RENU,RENUKA CITY HOTEL,2000-12-06 00:00:00,5000000,28,140000000
WMM,W.M.MENDIS,2000-12-28 00:00:00,19902052,7,139314364
MBSL,MERCHANT BANK,2000-12-29 00:00:00,50000000,2.75,137500000
HEXP,HAYLEYS EXPORTS,2000-12-19 00:00:00,4500000,30,135000000
HARI,HARISCHANDRA,2000-12-04 00:00:00,959800,140,134372000
STAF,STAFFORD,2000-12-06 00:00:00,25297182,5.25,132810205.5
CHMX,CHEMANEX,2000-12-20 00:00:00,3500000,35,122500000
CHR,CEYLON HOLIDAY,2000-12-21 00:00:00,7897788,15,118466820
CLND,COLOMBO LAND,2000-12-18 00:00:00,13020000,9,117180000
MRL,METAL RECYCLERS,2000-08-16 00:00:00,11678055,10,116780550
TANG,TANGERINE,2000-11-20 00:00:00,7500000,15.5,116250000
KAHA,KAHAWATTE,2000-12-29 00:00:00,20000000,5.75,115000000
ONAL,ON'ALLY,2000-12-15 00:00:00,14000616,8,112004928
KINN,KANDY WALK INN,2000-12-21 00:00:00,5250000,20,105000000
SIGV,SIGIRIYA VILLAGE,2000-11-02 00:00:00,2319301,45,104368545
MRH,MAHAWELI REACH,2000-12-21 00:00:00,18826579,5.5,103546184.5
TAJ,TAJ LANKA,2000-12-29 00:00:00,40528111,2.5,101320277.5
ITH,INT. TOURISTS,2000-12-27 00:00:00,7750000,13,100750000
SEMB,SEYLAN MERCHANT,2000-12-29 00:00:00,33377340,3,100132020
CWM,C.W.MACKIE & CO.,2000-12-27 00:00:00,36030979,2.75,99085192.25
MSL,MERC. SHIPPING,2000-12-15 00:00:00,2492482,39.75,99076159.5
BATA,BATA,2000-12-28 00:00:00,12187500,8,97500000
CONN,CONNAISSANCE,2000-12-15 00:00:00,18397502,5.25,96586885.5
SINI,SINGER IND.,2000-11-21 00:00:00,3846300,25,96157500
BFL,BAIRAHA FARMS,2000-12-27 00:00:00,16000000,6,96000000
CINV,CEYLON INV.,2000-12-21 00:00:00,2483569,38,94375622
HINN,HABARANA WALKINN,2000-08-22 00:00:00,2500000,37,92500000
AEC,AEC,2000-12-20 00:00:00,2896128,30.75,89055936
EBCR,E B CREASY,2000-12-22 00:00:00,2535458,35,88741030
LCEY,LANKEM CEYLON,2000-12-21 00:00:00,12000000,7.25,87000000
EAST,EAST WEST,2000-12-05 00:00:00,17280000,5,86400000
OSEA,OVERSEAS REALTY,2000-12-28 00:00:00,30012042,2.75,82533115.5
COCO,COCO LANKA,2000-12-18 00:00:00,6300000,13,81900000
SMOT,SATHOSA MOTORS,2000-12-28 00:00:00,6033622,13.5,81453897
CFLB,FORT LAND,2000-12-29 00:00:00,36000000,2.25,81000000
EQIT,EQUITY,2000-11-13 00:00:00,6203343,13,80643459
PMB,PEOPLE'S MERCH,2000-12-28 00:00:00,12500000,6,75000000
MORI,MORISONS,2000-11-22 00:00:00,580829,125.5,72894039.5
REG,REGNIS,2000-12-13 00:00:00,2716360,26.25,71304450
PTEX,PUGODA TEXTILES,1997-04-30 00:00:00,15000000,4.5,67500000
YORK,YORK ARCADE,2000-12-29 00:00:00,12000000,5.5,66000000
KURU,KURUWITA TEXTILE,2000-09-28 00:00:00,10000000,6.5,65000000
CSF,CEYLINCO SEC.,2000-12-27 00:00:00,19986050,3.25,64954662.5
REEF,REEFCOMBER,2000-12-04 00:00:00,8848491,7,61939437
LFIN,LB FINANCE,2000-12-28 00:00:00,13500000,4.5,60750000
