,,Rights Issues 2024 (January to December),,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2019-01-07 00:00:00,Shaw Wallace Investments PLC (Ceylon Land & Equity PLC),2024-01-30 00:00:00,121148726,9,121148726,1090338534,1090338534,2:3,2024-03-07 00:00:00
2,2020-01-06 00:00:00,Tess Agro PLC,2024-01-03 00:00:00,169265762,1,169265762,169265762,169265762,1:3,2024-02-16 00:00:00
,2020-01-19 00:00:00,,2024-01-03 00:00:00,16666667,0.6,16666667,10000000.2,10000000.2,1:3,2024-02-16 00:00:00
3,2020-01-07 00:00:00,Softlogic Finance PLC,2024-02-13 00:00:00,380756752,6.6,353362388,2512994563.2,2332191760.8,10:16,2024-03-27 00:00:00
4,2020-02-19 00:00:00,Citrus Leisure PLC,2024-03-28 00:00:00,378354954,4.2,378354954,1589090806.8,1589090806.8,143:101,2024-05-10 00:00:00
5,2020-02-10 00:00:00,Hikkaduwa Beach Resort,2024-04-04 00:00:00,257765177,3.5,257765177,902178119.5,902178119.5,19:21,2024-05-17 00:00:00
6,2020-06-02 00:00:00,Waskaduwa Beach Resort,2024-04-04 00:00:00,376826892,1.8,376826892,678288405.6,678288405.6,35:52,2024-05-22 00:00:00
7,2020-06-23 00:00:00,Renuka Foods PLC,2024-04-25 00:00:00,2435600,8,2435600,19484800,19484800,1:2,2024-06-11 00:00:00
,,,2024-04-25 00:00:00,60001772,10,60001772,600017720,600017720,1:2,2024-06-11 00:00:00
8,,Lanka Ventures PLC,2024-04-26 00:00:00,8333333,26.3,8324932,219166657.9,218945711.6,1:6,2024-06-07 00:00:00
9,,Ceylon Hospitals PLC,2024-05-17 00:00:00,3874675,112.5,3874675,435900937.5,435900937.5,1:7,2024-07-03 00:00:00
,,,2024-05-17 00:00:00,1266721,90,1266721,114004890,114004890,1:7,2024-07-03 00:00:00
10,,L V L Energy PLC,2024-05-03 00:00:00,116455625,4,116455625,465822500,465822500,1:5,2024-06-19 00:00:00
11,,Renuka Agri Foods PLC,2024-05-03 00:00:00,228236944,2.5,228236944,570592360,570592360,2:5,2024-06-19 00:00:00
12,,UB Finance PLC,2024-05-16 00:00:00,423798049,0.6,423798049,254278829.4,254278829.4,02:13:00,2024-07-02 00:00:00
13,,Commercial Bank of Ceylon PLC,2024-07-17 00:00:00,252353693,85,252353693,21450063905,21450063905,1:5,2024-08-28 00:00:00
,,,2024-07-17 00:00:00,15847696,69,15847696,1093491024,1093491024,1:5,2024-08-28 00:00:00
14,,ODEL PLC,2024-07-19 00:00:00,272129431,12.15,266240503,3306372586.65,3234822111.45,1:1,2024-08-30 00:00:00
15,,HELA Apparel Holdings PLC,2024-08-28 00:00:00,319365227,5,,1596826135,0,8:33,
16,,HVA Foods PLC,2024-08-20 00:00:00,128276033,2.9,128276033,372000495.7,372000495.7,32:29,2024-09-30 00:00:00
17,,Softlogic Holdings PLC ,2024-08-09 00:00:00,298135802,10,202714770,2981358020,2027147700,1:4,2024-09-24 00:00:00
18,,John Keells Holdings PLC,2024-09-11 00:00:00,150263595,160,,24042175200,0,1:10,
,,,,,,,,37627926373.55,,
