SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2016,,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2016-02-19 00:00:00,Hatton National Bank PLC - Voting,2016-03-31 00:00:00,1,61.6825397,5262344,2015-04-08 00:00:00
,,                                                - Non-voting,2016-03-31 00:00:00,1,57.4603174,1417717,2015-04-08 00:00:00
2,2016-02-17 00:00:00,Sampath Bank PLC,2016-04-01 00:00:00,1,36.91032,4668414,2016-04-11 00:00:00
3,2016-02-25 00:00:00,Commercial Bank PLC -Voting,2016-04-01 00:00:00,1,69.444444,11818040,2016-04-08 00:00:00
,,                                             -Non-Voting,2016-04-01 00:00:00,1,61.666667,912967,2016-04-08 00:00:00
4,2016-03-29 00:00:00,Sanasa Development Bank,2016-05-31 00:00:00,1,21.9467,1814952,2016-06-10 00:00:00
5,2016-05-13 00:00:00,Amaya Leisure PLC,2016-06-23 00:00:00,1,35,1441027,2016-07-05 00:00:00
