Dividend Records - 2007,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
LLUB-N-0,25%  FOURTH INTERIM DI,2006-12-19 00:00:00,2006-12-26 00:00:00,2007-01-05 00:00:00,87,84.5
LOLC-N-0,15% INTERIM DIVIDEND,2006-12-20 00:00:00,2007-01-02 00:00:00,2007-01-16 00:00:00,103,103
BUKI-N-0,45% 1ST INTERIM (PARTL,2006-12-21 00:00:00,2006-12-27 00:00:00,2007-01-08 00:00:00,1162,1100
INDO-N-0,5.5% 1ST INTERIM (LIAB,2006-12-21 00:00:00,2006-12-27 00:00:00,2007-01-08 00:00:00,279,204.5
SELI-N-0,5.5% 1ST INTERIM (LIAB,2006-12-21 00:00:00,2006-12-27 00:00:00,2007-01-08 00:00:00,210,180
SHAL-N-0,14.5% 1ST INTERIM (LIA,2006-12-21 00:00:00,2006-12-27 00:00:00,2007-01-08 00:00:00,801,800
COMD-N-0,10% INTERIM DIVIDEND (,2006-12-22 00:00:00,2006-12-28 00:00:00,2007-01-10 00:00:00,65,65
UML-N-00,10 % INTERIM DIVIDEND,2006-12-29 00:00:00,2007-01-19 00:00:00,2007-01-26 00:00:00,78.75,79
CARE-N-0,10% INTERIM DIVIDEND,2007-01-02 00:00:00,2007-01-19 00:00:00,2007-01-31 00:00:00,59,60.75
CTC-N-00,24% FOURTH INTERIM DIV,2007-01-02 00:00:00,2007-01-19 00:00:00,2007-01-31 00:00:00,70,68
EMER-N-0,15% INTERIM DIVIDEND,2007-01-12 00:00:00,2007-02-02 00:00:00,2007-02-15 00:00:00,110,163
TYRE-N-0,6% (GROSS) INTERIM DIV,2007-01-12 00:00:00,2007-01-22 00:00:00,2007-02-02 00:00:00,20.5,20
EMER-N-0,10% FIRST & FINAL DIVI,2007-01-16 00:00:00,2007-02-02 00:00:00,2007-02-15 00:00:00,110,163
KOTA-N-0,12.5% INTERIM DIVIDEND,2007-01-16 00:00:00,2007-02-02 00:00:00,2007-02-15 00:00:00,31.75,30.5
OSEA-N-0,3% FIRST AND FINAL DIV,2007-01-19 00:00:00,2007-03-20 00:00:00,2007-03-30 00:00:00,13.75,13.75
PDL-N-00,20% FIRST & FINAL DIVI,2007-01-19 00:00:00,2007-03-06 00:00:00,2007-03-16 00:00:00,33.75,32
CIC-X-00,12.5% INTERIM DIVIDEND,2007-01-22 00:00:00,2007-02-02 00:00:00,2007-02-15 00:00:00,62.75,64
CIC-N-00,12.5% INTERIM DIVIDEND,2007-01-22 00:00:00,2007-02-02 00:00:00,2007-02-15 00:00:00,113,113.25
CFIN-N-0,12.5% (TAX FREE) FIRST,2007-01-30 00:00:00,2007-02-12 00:00:00,2007-02-19 00:00:00,255.25,255
COMB-X-0,35% FIN DIV (AMND XD &,2007-02-02 00:00:00,2007-04-05 00:00:00,2007-04-12 00:00:00,112.5,94.75
COMB-N-0,35% FIN DIV (AMND XD&P,2007-02-02 00:00:00,2007-04-05 00:00:00,2007-04-12 00:00:00,213.75,190
HASU-N-0,10% 1ST & FINAL DIVI(X,2007-02-06 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,35.25,22
DIPD-N-0,20% INTERIM DIVIDEND (,2007-02-08 00:00:00,2007-02-26 00:00:00,2007-03-02 00:00:00,126,126
KVAL-N-0,35% 1ST & FINAL(5.9%NO,2007-02-08 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,56,56
COML-N-0,20% FINAL DIVI.(XD & P,2007-02-09 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,108.25,110
SLTL-N-0,10% 1ST & FINAL DIVI (,2007-02-12 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,37,38
DOCK-N-0,30% FIRST AND FINAL DI,2007-02-15 00:00:00,2007-03-27 00:00:00,2007-04-03 00:00:00,47,43
HNB-X-00,25% FINAL DIVIDEND,2007-02-19 00:00:00,2007-03-30 00:00:00,2007-04-10 00:00:00,100.5,47.75
HNB-N-00,25% FINAL DIVIDEND,2007-02-19 00:00:00,2007-03-30 00:00:00,2007-04-10 00:00:00,202.5,100
UAL-N-00,20% 1 & FIN. DIV(XD &,2007-02-20 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,83.5,53.25
CTCE-N-0,70% FINAL DIVDND(XD &,2007-02-21 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,140,138
DIMO-N-0,30% INTERIM DIVIDEND,2007-02-22 00:00:00,2007-03-05 00:00:00,2007-03-09 00:00:00,128.25,128
CHMX-N-0,20% INTERIM DIVIDEND,2007-02-23 00:00:00,2007-03-05 00:00:00,2007-03-09 00:00:00,195,195
NTB-N-00,10% 1 & FIN.DIV(XD & P,2007-02-23 00:00:00,2007-04-03 00:00:00,2007-04-10 00:00:00,34,33
LWL-N-00,15% INTERIM DIVIDEND (,2007-02-26 00:00:00,2007-03-19 00:00:00,2007-03-23 00:00:00,64.5,63.25
RCL-N-00,10% FIRST INTERIM DIVI,2007-02-26 00:00:00,2007-03-09 00:00:00,2007-03-15 00:00:00,37.75,38
RPBH-N-0,2% INTERIM DIVIDEND,2007-02-26 00:00:00,2007-03-12 00:00:00,2007-03-16 00:00:00,36,33.75
