Market Capitalisation of Listed Companies as at 30th December 2009,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
PABC,PAN ASIA,2009-12-30 00:00:00,110640407,20.25,2240468241.75
NHL,NAWALOKA,2009-12-30 00:00:00,704752798,3.1,2184733673.8
UML,UNITED MOTORS,2009-12-30 00:00:00,33633542,64.25,2160955073.5
WATA,WATAWALA,2009-12-30 00:00:00,23666667,90,2130000030
GLAS,PIRAMAL GLASS,2009-12-30 00:00:00,950086080,2.2,2090189376
SUN,SUNSHINE HOLDING,2009-12-23 00:00:00,13333333,155,2066666615
SUGA,PELWATTE,2009-12-30 00:00:00,67976891,30,2039306730
KCAB,KELANI CABLES,2009-12-24 00:00:00,10900000,179,1951100000
LMF,LMF,2009-12-30 00:00:00,29998500,64.75,1942402875
HUNT,HUNTERS,2009-12-24 00:00:00,5145000,370,1903650000
PDL,PDL,2009-12-30 00:00:00,66000000,28.75,1897500000
BOPL,BOGAWANTALAWA,2009-12-30 00:00:00,50250000,37.5,1884375000
KHC,KANDY HOTELS,2009-12-30 00:00:00,16500000,113.25,1868625000
KAHA,KAHAWATTE,2009-12-30 00:00:00,59917354,31,1857437974
HASU,HNB ASSURANCE,2009-12-30 00:00:00,37500000,49.5,1856250000
TSML,TEA SMALLHOLDER,2009-12-28 00:00:00,15000000,121.75,1826250000
KVAL,KELANI VALLEY,2009-12-29 00:00:00,34000000,53,1802000000
MGT,HAYLEYS - MGT,2009-12-30 00:00:00,49177492,35,1721212220
CHL,DURDANS,2009-12-30 00:00:00,21272727,80.25,1707136341.75
LFIN,LB FINANCE,2009-12-30 00:00:00,35197143,46.5,1636667149.5
HAPU,HAPUGASTENNE,2009-12-30 00:00:00,46315789,35,1621052615
DIMO,DIMO,2009-12-30 00:00:00,8702389,180,1566430020
MPRH,MET. RES. HOL.,2009-10-01 00:00:00,17264802,86.75,1497721573.5
CERA,LANKA CERAMIC,2009-12-30 00:00:00,30000000,49,1470000000
AAIC,ASIAN ALLIANCE,2009-12-30 00:00:00,25000000,56,1400000000
RENU,RENUKA CITY HOT.,2009-12-28 00:00:00,7000000,200,1400000000
EDEN,EDEN HOTEL LANKA,2009-12-30 00:00:00,52800000,25.75,1359600000
RHTL,FORTRESS RESORTS,2009-12-30 00:00:00,110886684,12.25,1358361879
PMB,PEOPLE'S MERCH,2009-12-30 00:00:00,37500000,35,1312500000
TANG,TANGERINE,2009-12-30 00:00:00,20000000,65.25,1305000000
CWM,C.W.MACKIE,2009-12-30 00:00:00,35988556,36,1295588016
VLL,VIDULLANKA,2009-12-30 00:00:00,36073134,34.5,1244523123
ELPL,ELPITIYA,2009-12-30 00:00:00,24958677,49.5,1235454511.5
RHL,RENUKA HOLDINGS,2009-12-30 00:00:00,8750000,135.75,1187812500
CARE,PRINTCARE PLC,2009-12-29 00:00:00,17193334,67.25,1156251711.5
SIRA,SIERRA  CABL,2009-12-30 00:00:00,537512430,2.1,1128776103
ACAP,ASIA CAPITAL,2009-12-30 00:00:00,110000000,10.25,1127500000
CFLB,FORT LAND,2009-12-30 00:00:00,36000000,31.25,1125000000
PALM,CONFIFI HOTEL,2009-12-29 00:00:00,7200000,155,1116000000
CTLD,C T LAND,2009-12-30 00:00:00,48750000,21.75,1060312500
CLND,COLOMBO LAND,2009-12-30 00:00:00,162750000,6.5,1057875000
EQIT,EQUITY,2009-12-30 00:00:00,40321730,25.5,1028204115
BHR,RIVERINA HOTEL,2009-12-30 00:00:00,14181699,68,964355532
KOTA,KOTAGALA,2009-12-30 00:00:00,32000000,30,960000000
HDFC,HDFC,2009-12-30 00:00:00,6471052,147.75,956097933
LCEY,LANKEM CEYLON,2009-12-30 00:00:00,21000000,45,945000000
PEG,PEGASUS HOTELS,2009-12-30 00:00:00,27352385,34,929981090
CFVF,FIRST CAPITAL,2009-12-30 00:00:00,33750000,27,911250000
KURU,KURUWITA TEXTILE,2009-12-30 00:00:00,25000000,35.5,887500000
MRH,MAHAWELI REACH,2009-12-30 00:00:00,47066447,18.5,870729269.5
STAF,STAFFORD,2009-12-30 00:00:00,31621477,27.5,869590617.5
LVEN,LANKA VENTURES,2009-12-30 00:00:00,50000000,17.25,862500000
GRAN,GRAIN ELEVATORS,2009-12-30 00:00:00,60000000,14.25,855000000
BOGA,BOGALA GRAPHITE,2009-12-30 00:00:00,47316452,18,851696136
KGAL,KEGALLE,2009-12-30 00:00:00,25000000,33.5,837500000
SMOT,SATHOSA MOTORS,2009-12-18 00:00:00,6033622,137.5,829623025
SMLL,PEOPLE'S L FIN,2009-12-29 00:00:00,22713639,36.5,829047823.5
SHOT,SERENDIB HOTELS,2009-12-30 00:00:00,12081515,66.25,800400368.75
NEH,NUWARA ELIYA,2009-12-30 00:00:00,2003870,399,799544130
KAPI,MTD WALKERS,2009-12-30 00:00:00,5717857,138,789064266
TWOD,TOUCHWOOD,2009-12-30 00:00:00,8908800,85.5,761702400
MAL,MALWATTE,2009-12-30 00:00:00,22459016,33,741147528
HARI,HARISCHANDRA,2009-12-29 00:00:00,959800,755,724649000
CSD,SEYLAN DEVTS,2009-12-30 00:00:00,73982430,9.5,702833085
CLPL,CEYLON LEATHER,2009-12-30 00:00:00,12500000,56,700000000
SHAW,SHAW WALLACE,2009-12-30 00:00:00,5120546,136.5,698954529
CABO,CARGO BOAT,2009-12-30 00:00:00,10200036,67.75,691052439
NAMU,NAMUNUKULA,2009-12-30 00:00:00,23750000,28.75,682812500
CSEC,KSHATRIYA HOLD.,2009-12-30 00:00:00,98397640,6.75,664184070
ALLI,ALLIANCE,2009-12-30 00:00:00,1620000,405,656100000
KFP,KEELLS FOOD,2009-12-29 00:00:00,8500000,75,637500000
BBH,BROWNS BEACH,2009-12-30 00:00:00,9600000,66,633600000
ATL,AMANA,2009-12-30 00:00:00,50000036,12.5,625000450
COMD,COMMERCIAL DEV.,2009-12-30 00:00:00,12000000,52,624000000
COCO,COCO LANKA,2009-12-30 00:00:00,12600000,48.25,607950000
TPL,TALAWAKELLE,2009-12-30 00:00:00,23750000,25.25,599687500
UDPL,UDAPUSSELLAWA,2009-12-30 00:00:00,19398850,30.5,591664925
CSF,NATION LANKA,2009-12-30 00:00:00,39972100,14.5,579595450
EBCR,E B CREASY,2009-12-30 00:00:00,2535458,225,570478050
BALA,BALANGODA,2009-12-30 00:00:00,23636363,24,567272712
AGAL,AGALAWATTE,2009-12-30 00:00:00,25000000,21.75,543750000
ETWO,EQUITY TWO PLC,2009-12-30 00:00:00,31000000,16.75,519250000
CIND,CENTRAL IND.,2009-12-30 00:00:00,3294738,155,510684390
LAMB,KOTMALE HOLDINGS,2009-12-30 00:00:00,31400000,16,502400000
MARA,MARAWILA RESORTS,2009-12-30 00:00:00,87000000,5.75,500250000
HOPL,HORANA,2009-12-30 00:00:00,25000000,20,500000000
MASK,MASKELIYA,2009-12-30 00:00:00,26976744,18.5,499069764
ONAL,ON'ALLY,2009-12-24 00:00:00,14000616,35.5,497021868
WAPO,WATAPOTA,2009-12-28 00:00:00,671008,700,469705600
MORI,MORISONS,2009-12-30 00:00:00,580829,800,464663200
LAND,LAND & BUILDING,2005-01-20 00:00:00,2120479,206,436818674
CFT,CFT,2009-12-30 00:00:00,14019600,30.25,424092900
MADU,MADULSIMA,2009-12-30 00:00:00,29000000,14,406000000
BFL,BAIRAHA FARMS,2009-12-30 00:00:00,16000000,24.5,392000000
AUTO,AUTODROME,2009-12-30 00:00:00,1200000,322,386400000
LALU,LANKA ALUMINIUM,2009-12-29 00:00:00,13702823,28,383679044
PHAR,COL PHARMACY,2009-12-17 00:00:00,1272857,300,381857100
SWAD,SWADESHI,2009-09-22 00:00:00,130666,2850,372398100
COLO,COLONIAL MTR,2009-12-30 00:00:00,8110505,44,356862220
TFC,THE FINANCE CO.,2009-12-30 00:00:00,17966232,19.25,345849966
REEF,REEFCOMBER,2009-12-30 00:00:00,157306510,2.1,330343671
SOY,CONVENIENCE FOOD,2009-12-30 00:00:00,2750000,120,330000000
ASCO,ASCOT HOLDINGS,2009-12-30 00:00:00,7985505,40.5,323412952.5
REG,REGNIS,2009-12-30 00:00:00,4829084,66.75,322341357
HSIG,HOTEL SIGIRIYA,2009-12-30 00:00:00,5859000,53.75,314921250
SINI,SINGER IND.,2009-12-24 00:00:00,3846300,81.25,312511875
APLA,ACL PLASTICS,2009-12-30 00:00:00,4212500,74,311725000
SIL,SAMSON INTERNAT.,2009-12-30 00:00:00,3847974,81,311685894
REXP,RICH PIERIS EXP,2009-12-30 00:00:00,11163745,27.75,309793923.75
