,January,,,February,,,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
INVESTMENT TRUSTS,4.8,,0.4506,5.2,,0.4208,5.2,,0.4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,0.3963,5.3,,0.4008,5.3,,0.4017,4.4,,0.4852,3.5,,0.6101,2.3,,0.6387,2.1,,0.6916,2,,0.7204,2,,0.7162
INFORMATION TECHNOLOGY,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,17.7905,2.3387,0,20.1625,2.6505,0,20.1625,2.6505,0,24.116,3.1702,0,22.5346,2.9623,0,21.7439,2.8584
LAND & PROPERTY,4.9,5.3925,0.5848,4.9,5.3966,0.5852,4.9,5.3966,0.5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1959,0.5639,5.2,5.0819,0.55,4.9,7.7866,0.5912,4.4,8.6317,0.6554,4.4,12.8854,0.6502,4.5,8.6847,0.6108,4.3,8.9632,0.6304,4.3,8.9736,0.6311,4.4,8.8732,0.624
MANUFACTURING,6.1,8.8494,0.8553,6.7,8.0981,0.7827,6.7,8.0981,0.7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.6733,0.7395,7.2,7.3912,0.7208,6.9,8.3054,0.7265,6,9.6686,0.8457,6,9.0286,0.8258,5.8,7.7087,0.6799,5,8.9587,0.7902,4.4,10.0998,0.8908,4.7,9.6395,0.8502
MOTORS,6.1,17.1771,0.5285,6.4,16.4501,0.5061,6.4,16.4501,0.5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,15.4669,0.4504,7.4,15.2725,0.4412,6.7,27.4217,0.46,6.5,28.0354,0.4703,3.1,26.8863,0.4757,2,65.6718,0.4548,2,67.0644,0.4644,2,67.3888,0.4667,2,67.0811,0.4645
OIL PALMS,0.3,59.2434,1.3423,0.3,59.1436,1.34,0.3,59.1436,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,59.7143,1.3529,0.3,37.6712,0.8868,0.3,37.6191,0.887,0.3,38.4988,0.9077,0.3,38.6025,0.9102,0.3,40.169,0.9348,0.3,38.003,0.8844,0.3,38.3342,0.8921,0.3,39.2612,0.9137
PLANTATIONS,4.1,26.235,0.7686,4.3,24.8681,0.7285,4.3,24.8681,0.7285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,23.5583,0.6902,4.6,25.0663,0.6793,4.5,17.0149,0.6803,4.1,18.6909,0.7473,4.3,15.8537,0.7469,4.6,15.1319,0.7343,4.4,15.8189,0.7676,4.4,15.9239,0.7727,4.4,15.8206,0.7677
POWER & ENERGY,4.1,87.5017,1.1697,4.2,84.5737,1.1305,4.2,84.5737,1.1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,81.6497,1.0914,4.5,79.6366,1.0645,4.3,56.3137,1.1203,4,59.7087,1.1878,4.1,40.0662,1.1716,4.1,20.0248,1.0764,3.6,22.5785,1.2137,3.4,23.9898,1.2895,3.5,23.1324,1.2434
SERVICES,5.4,14.4881,1.207,5.4,14.5272,1.2103,5.4,14.5272,1.2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,13.6294,1.1355,5.6,14.1706,1.1806,5.7,10.1553,1.201,5.1,11.3513,1.3424,5.4,21.2379,1.7492,4.3,18.6899,1.3431,4.1,19.4716,1.3992,4.1,19.2547,1.3837,4.2,18.8782,1.3566
STORES & SUPPLIES,1.8,17.4011,0.5181,1.7,17.4373,0.5191,1.7,17.4373,0.5191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,16.7684,0.4992,1.8,16.6807,0.4966,1.8,62.2361,0.521,1.7,62.8582,0.5262,1.7,63.2585,0.5296,1.9,,0.4752,2,,0.4593,2.1,,0.4399,2.2,,0.4177
TELECOMMUNICATION,7.4,5.8251,0.8709,7.5,5.7819,0.8644,7.5,5.7819,0.8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,5.3504,0.7999,7.7,5.6265,0.8412,7.9,5.4669,0.8173,6.3,6.8507,1.0242,6,7.0502,0.9716,6,6.9594,0.9591,5.1,8.1803,1.1273,4.9,8.498,1.1711,5.3,7.917,1.091
TRADING,3.8,52.764,0.6681,4,49.9817,0.6329,4,49.9817,0.6329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,47.1229,0.5967,4.7,25.6254,0.5154,4.9,23.8729,0.4911,3.7,32.0903,0.6602,3.3,36.0239,0.7411,3.5,11.337,0.6865,3.4,12.003,0.7269,3,13.4402,0.8139,3,13.4041,0.8117
** BASED ON DIVIDEND PAYING COMPANIES OF THE SECTOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
