Sector Market Capitalisation - Monthly 2012,,,,,,,,,,,,
SECTOR ,January,February,March ,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",476350878242.5,448477728784.5,438845911567,438602206055.9,388225063029.7,419219262541.6,417133605648.8,451883474167.8,548136010551.6,493820647062.2,467176328084.8,490560824544.9
"BEVERAGE, FOOD & TOBACCO",290173477480.5,285768363999.2,291549436723.5,340098172783.7,317887296078.6,319780912959.8,327783746977,328953820137.7,358322979043.1,346969606316.8,354560336356.4,399720125324.5
CONSTRUCTION & ENGINEERING,20979966685.6,20611657488.6,46481766740,40379932673.6,33682777437.6,35139409780,33951916914,33894932404.8,42847114922,38918991062.4,36022238424.4,37594298900
CHEMICALS & PHARMACEUTICALS,27745056917.3,25596733053,22768043769.4,22160257530,19367847396.4,19363764307,18110843382.2,18687823263.2,22682391980,19892556680.7,17994868072.5,18822649127.3
DIVERSIFIED HOLDINGS,452640065703.4,442892538248.1,464257299203.8,458158011609.8,425388444797.3,438038040711.2,429274585216,451951513322.4,509456422542,470653456533.1,461253564098.8,474118374357
FOOTWEAR & TEXTILES,9436252981.6,8046262054.6,7262888992,7753299198,6646638016.4,7088717245.2,7880832949.8,8216850717.4,9331829416.6,8536699725.6,10245355907.4,10418795046.5
HOTELS & TRAVELS,146408648904.4,144560263222.2,148611168534.3,145044474326,128594822183.8,137738184744.1,140592443948.3,149101548787.9,171747343939.6,154850783714.5,150537032396.9,155278031794.1
HEALTH CARE,31902256469.6,29216601481,28132179967.5,27553202536.6,26395267060.7,28971542228.9,30062744896.7,33661893266.4,38927804224.5,39070889085.1,37061337725.4,37466473546.3
INVESTMENT TRUSTS,49919595877.8,43456962959.9,40585687124.5,35506205876.5,28616224734.2,31307027009.2,31116173018.1,33031319020.3,40238981903.2,35282586047.1,33942263379.4,35997027711.4
INFORMATION TECHNOLOGY,3536505812,3232760679.4,2622254970.3,2307829645.8,1735445855.5,2062084321.5,1935404513,1970510987.9,2462001636.5,2139962019.3,1837749836.3,1944602210.6
LAND & PROPERTY,39638437504.1,36528725922.3,34998385765.4,34233462167.4,29280459055.1,31540009160.6,31383762260.5,34672035526.2,39128295215.8,35865502599.8,33837314264.8,35109124115.2
MANUFACTURING,111561564719.9,107582982636.8,101002117523.5,97550743676.3,83311604033.2,88691717617.5,89050834328.9,92434345392.7,105719802593.1,98434673516.8,92604363204.7,98519362380.9
MOTORS,36976749143.9,32800324815.7,28863099284.7,23162992556.5,19690179474.4,20889088388.1,21011844102.4,21676253608.3,25788066990.2,24159786071,20927203109.1,22327351180.1
OIL PALMS,135138827800,132609450959.4,119469162494,121528766110,106574078749.2,110978573942,108417513120,104217391222,109031511014,104525215307,101492842644,104921009793
POWER & ENERGY,34350426397.8,33390454199.6,31298818890.8,30583904793.1,26065188777.8,26645379555.7,25639301943.1,28023749102,32169853968.6,30725617661.9,30653659344.9,31672941928.2
PLANTATIONS,24708121659.6,22435012301.9,23344486367.1,22869660546.9,19012373554.3,20780698128.2,20806052830.9,22071974108.8,27664742833.4,25974641536.6,23848428505.7,25217628061.8
STORES & SUPPLIES,7837584128.4,6325945937.4,6498368151,6084457899,4707113600,5243921717.5,5289010646.5,5578170355,6638820999.4,6733806642.3,5395932862.6,5630452469.6
SERVICES,6323789409,6040733950,5706258451,5739156371.5,5227527791,5068677690,5130509531,5372343356.2,8631242551.7,7433754218,6672236024,6968263826.2
TELECOMMUNICATION,142376326835,140483414675.5,141385844675.5,129905266111,113824485387,121061452111,118983672270.5,124310200111,153429789645,139506077559,142490669080.5,147909630761.5
TRADING,36126246525.4,31124158374,29190482736.8,27688377853.2,23191902725.4,24610931176.6,26158072035,31096274029.8,32528834054.6,28612921517.6,26355784843.6,27384429459.8
ASPI,2084130779197.8,2001181075743.1,2012873661932.1,2016910380320.8,1807424739737.6,1894219395335.7,1889712870532.7,1980806422887.8,2284883840024.9,2112108174876.8,2054909508166.2,2167581396538.9
MPI,637126668998,614685874334,633393515616.9,628355090193.9,560095840701.3,568957447063,405357621505.9,447692672390.7,525391038905.3,468857059182.7,453234066585.5,476575823796.5
S&P,,,,,,3583256652453,1062990799576.9,1086931169896.8,1218161697546.1,1134404829869.2,1136556277056.4,1204994060220
