Sector Trading Statistics Monthly 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",67175,452044498,6318619541,57,53,51608,262115173,8144510358,57,53,28067,134398097,4623116451,57,54,28006,244082756,3447599620,57,53,28389,200793784,2334025259,58,53,33866,130450431,2284276668,60,56,24371,90183662,2260921614,60,56,33759,99950296,2184536906,60,56,111244,603608805,10239901200,61,58,42637,164997324,4855758197,61,57,25305,81272062,1859648394,61,57,23197,95341702,3359783584,61,57
"Beverage, Food & Tobacco",9649,21437813,881224333,21,20,12814,40666735,2055275141,21,20,6428,14245183,1258261886,21,20,5607,9113083,653302252,21,20,7007,12812507,508240504,21,20,13399,37817034,1189035334,20,20,9453,19214864,557635786,20,20,10343,25594917,1066223600,20,20,23009,58661621,1857753199,20,20,6940,19526251,1023119758,20,20,4961,12937411,1201918773,20,20,5892,14492116,1107754832,20,20
Construction & Engineering,2107,3170851,102527838,3,3,1813,2934188,75673554,3,3,1844,2607836,106625681,4,4,934,944593,34128179,4,4,1216,1655311,22720728,4,4,4956,9634886,170019029,4,4,3086,8314969,102976769,4,4,4240,7901877,156157990,4,4,10016,33706593,636786757,4,4,3387,15878420,448063935,4,4,1580,3389345,120436905,4,4,2078,5867559,117395889,4,4
Chemicals & Pharmaceuticals,3221,27346032,971526289,10,10,2510,22131830,489770746,10,10,2237,19218181,448752224,10,10,1347,6305893,227710712,10,10,2024,7050575,125990304,10,10,2507,14949171,163729833,10,10,1466,21792492,267730098,10,10,2028,7775712,88572987,10,10,6515,30211870,331861342,10,10,2073,7232359,78050120,10,10,1676,10750063,99613764,10,10,1873,7872368,85841342,10,10
Footwear & Textiles,5346,10384326,384323590,4,4,2816,4794671,207577161,4,4,1602,2064564,61505887,4,4,1746,8931289,35495749,4,4,1588,3840305,75270322,4,4,1611,2570901,50495526,4,4,3818,66470529,1557603136,4,4,1203,1233206,21764569,4,4,3335,5358129,111770871,4,4,1429,3164981,199726916,4,4,1244,1277203,12073015,4,4,1145,2584143,11899942,4,4
Hotels & Travels,14299,51321956,953568066,34,33,11234,40850116,920691965,34,33,7425,67345975,982068043,34,33,5828,39362208,830145246,34,33,8713,20158897,374509697,34,33,17615,119040500,1673340248,35,34,9453,22398446,616511483,36,35,13549,36408567,421147863,36,35,49536,184774173,2585963176,36,35,13041,23500287,498208428,36,34,7747,13319103,207540023,36,34,7344,17452474,281951264,36,35
Investment Trusts,36877,77859364,2322447294,9,9,29951,78695193,1487829678,9,9,12195,28800429,644656081,9,9,6356,13101115,255916323,9,9,7826,15005605,268513324,9,9,9164,21823418,281308089,9,9,3404,4321910,135109956,9,9,7383,13230509,279509444,9,9,17093,47168999,925910946,9,9,5624,147194755,1330242887,9,9,7014,403374318,3830413129,9,9,2919,120129464,687749897,9,9
Land & Property,11143,21782387,648136343,18,18,13750,28497495,600174348,18,18,5639,13299718,240796327,18,18,4590,16467953,297488335,18,18,6360,16194818,323029563,18,18,6320,12936652,178594047,18,18,4224,8947896,136979603,18,18,9880,14034491,277885075,18,18,28112,72054190,1294620014,18,18,12453,29424766,550490299,18,18,4976,8739924,132578586,18,18,3644,5081979,95570247,18,18
Manufacturing,29434,121009241,1832270191,35,33,38924,173009836,2536789696,36,34,15825,105706824,1288028016,36,34,9903,95320375,854643792,36,34,16600,80829803,709075513,36,34,17419,69183322,698348764,36,34,13066,43272578,674753719,36,34,17218,49304858,701447852,36,35,48074,205830346,2450254494,36,35,16407,51767251,917549444,36,34,10868,33989267,707140887,36,34,8122,27345400,531789833,36,34
Motors,807,372575,113447703,6,6,965,4208771,1050266109,6,6,907,1286659,353156334,6,6,906,145403,42608707,6,6,825,1844975,193546250,6,6,1667,752944,74302971,6,6,1079,606625,67937677,6,6,1131,337693,48838135,6,6,2867,944958,160993889,6,6,1029,519766,90386087,6,6,761,112731,17363748,6,6,614,102241,17404909,6,6
