Sector Domestic & Foreign Analysis 2000,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",41144,3163,133279331,17238975,3870343164,953794650
"BEVERAGE, FOOD & TOBACCO",8738,654,24354631,11732140,281890716,89554216
CONSTRUCTION & ENGINEERING,1768,257,6928789,2448203,87112590,33032642
CHEMICALS & PHARMACEUTICALS,2123,79,2462304,261890,66128214,7095481
FOOTWEAR & TEXTILES,1297,13,4507747,211145,8118330,339224
HOTELS & TRAVELS,8657,619,60636792,32113029,445620302,152266930
INVESTMENT TRUSTS,369,9,263367,7083,5520046,281640
LAND & PROPERTY,2660,40,7363774,219433,60264823,1891873
MANUFACTURING,22024,1399,69436127,12691450,601520359,189246271
MOTORS,1148,37,945502,98107,29402370,1929427
OIL PALMS,7,0,560,100,152500,40000
STORES & SUPPLIES,255,3,377421,18863,21579352,443287
SERVICES,572,6,329557,2350,11615897,76750
TRADING,2128,27,3141085,231615,44524472,2303918
PLANTATIONS,43797,1185,33584706,2789078,482188525,40480104
DIVERSIFIED HOLDINGS,12770,2913,26726290,18619388,1883412031,1654416463
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,402,1,609471,9100,19576124,309400
INFORMATION TECHNOLOGY,0,0,0,0,0,0
TELECOMMUNICATION,13,0,3030,0,2799755,0
