Sector Trading Statistics - 1992,,,,,
SECTOR,TRADES,SHARE,TURNOVER,LISTED,TRADED
,(No.),VOLUME (No.),(Rs.),,
BANK FINANCE INS,25788,14978426,1526514516,16,15
BEV FOOD TOBACCO,17959,22461026,589757880,14,16
CONSTRUCTION ENG,3508,4193239,101342192,5,4
CHEMICALS PHARMS,2275,903713,73764821,12,12
FOOTWEAR TEXTILE,9126,2755988,134579399,8,7
HOTELS TRAVELS,7894,12909530,491135956,34,30
INVESTMENT TRUST,485,543217,42892197,8,5
LAND PROPERTY,2909,5722320,126719197,19,18
MANUFACTURING,27640,14541414,521946491,30,27
MOTORS,2467,3408606,296208527,7,6
OIL PALMS,15,7124,3746735,5,4
STORES SUPPLIES,157,147061,10340675,7,6
SERVICES,702,95055,4362523,13,8
TRADING,4715,845148,43406971,12,8
PLANTATIONS,0,0,0,0,0
DIVERSIFIED,3854,4253036,987613627,0,10
POWER & ENERGY,0,0,0,0,0
HEALTH CARE,162,44675,913758,0,1
IT,0,0,0,0,0
TELECOM,0,0,0,0,0
,109656,87809578,4955245465,,
