Sector Trading Statistics - 2020 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,26285,41207347,3246152959,1,1
Banks,448754,1307621459,83923969967,16,12
Capital Goods,512753,2126476171,110216665744,30,28
Commercial & Professional Services,2293,604013,25362182,5,5
Consumer Durables & Apparel,136881,622552033,11024631130,13,12
Consumer Services,119575,638561697,4002918679,37,36
Diversified Financials,293676,1482812088,19562722686,51,43
Energy,41050,112171112,2236260029,3,2
Food & Staples Retailing,11337,285932194,1709212526,5,3
"Food, Beverage & Tobacco",480983,6809473055,52144228435,50,45
Health Care Equipment & Services,46697,322121803,2647729106,9,8
Household & Personal Products,13483,43759798,564284644,2,2
Insurance,54226,269178319,6580783033,11,10
Materials,428590,2743100505,49897477884,23,18
Real Estate,79968,250051377,4326130650,19,17
Retailing,90330,449518139,4579903524,13,13
Telecommunication Services,37006,378950378,4347991255,2,2
Transportation,153784,2195093220,28620231876,2,2
Utilities,92350,1269543947,7224857739,8,7
