"Market Capitalization of Listed Companies as at December 31st, 2018",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,0.9,839207833,755287049.7
AAIC,AAIC.N0000,SOFTLOGIC LIFE,44.8,375000000,16800000000
ABAN,ABAN.N0000,ABANS,57.7,5110560,294879312
ABL,ABL.N0000,AMANA BANK,3.1,2501390534,7754310655
ACAP,ACAP.N0000,ASIA CAPITAL,6.6,131329995,866777967
ACL,ACL.N0000,ACL,37,119787360,4432132320
ACME,ACME.N0000,ACME,4.2,41161913,172880034.6
AEL,AEL.N0000,ACCESS ENG SL,14.1,1000000000,14100000000
AFSL,AFSL.N0000,ABANS FINANCIAL,17.9,66561573,1191452157
AGAL,AGAL.N0000,AGALAWATTE,14,25000000,350000000
AGST,AGST.N0000,AGSTAR PLC,3.8,307526310,1168599978
AGST,AGST.X0000,AGSTAR PLC,5,17473690,87368450
AHPL,AHPL.N0000,AHOT PROPERTIES,42.9,442775300,18995060370
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,27,336290010,9079830270
AINS,AINS.N0000,ARPICO INSURANCE,18.3,66230407,1212016448
AINV,AINV.N0000,ADAM INVESTMENTS,0.2,898552400,179710480
ALHP,ALHP.N0000,ANILANA HOTELS,1.2,1006752069,1208102483
ALLI,ALLI.N0000,ALLIANCE,57.7,33696000,1944259200
ALUF,ALUF.N0000,ALUFAB,16.5,12058200,198960300
ALUM,ALUM.N0000,ALUMEX PLC,13.5,299302840,4040588340
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,400,5608355,2243342000
AMSL,AMSL.N0000,ASIRI SURG,9.9,528457545,5231729696
APLA,APLA.N0000,ACL PLASTICS,74,4212500,311725000
ARPI,ARPI.N0000,ARPICO,150,7437500,1115625000
