,,,,DIVIDEND ANNOUNCEMENTS 2023 (JANUARY TO DECEMBER),,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2022-12-13 00:00:00, COMD-N-0000, COMMERCIAL DEV.,3, Interim Dividend for FY 2022, 22-DEC-22, 13-JAN-23,95.5,95.5
2022-12-30 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1,  Second interim Financial year 2022/2023, 11-JAN-23, 20-JAN-23,28.2,27.3
2022-12-30 00:00:00, HAYC-N-0000, HAYCARB,1.5, Second interim Financial year 2022/23, 11-JAN-23, 23-JAN-23,57.5,56.2
2022-12-30 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,1, Second interim Financial year 2022_23, 11-JAN-23, 24-JAN-23,56.8,55.2
2022-12-30 00:00:00, KVAL-N-0000, KELANI VALLEY,3, Second interim Financial year 22/23, 11-JAN-23, 23-JAN-23,80.2,79
2022-12-30 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.2, Second interim Financial year 2022/23, 11-JAN-23, 25-JAN-23,23.4,23
2022-12-30 00:00:00, TPL-N-0000, TALAWAKELLE,5, Second interim Financial year 2022/23, 11-JAN-23, 24-JAN-23,96.9,90.1
2023-01-04 00:00:00, REXP-N-0000, RICH PIERIS EXP,35, Interim Dividend for FY 2022/23, 17-JAN-23, 06-FEB-23,626,603.5
2023-01-09 00:00:00, KGAL-N-0000, KEGALLE,7, Interim Dividend for FY 2022/23, 19-JAN-23, 08-FEB-23,141.5,139
2023-01-09 00:00:00, NAMU-N-0000, NAMUNUKULA,14, Interim Dividend for FY 2022/23, 19-JAN-23, 08-FEB-23,358,357
2023-01-18 00:00:00, BREW-N-0000, CEYLON BEVERAGE,23, Second interim Financial year 2022/23, 27-JAN-23, 16-FEB-23,900,900
2023-01-30 00:00:00, CTC-N-0000, CEYLON TOBACCO,30, Fourth Interim Dividend for FY 2022, 08-FEB-23, 28-FEB-23,652.75,649.75
2023-01-30 00:00:00, DIST-N-0000, DISTILLERIES,1.1, Third Interim Dividend for FY 2022/2023, 08-FEB-23, 27-FEB-23,14.8,13.5
2023-01-30 00:00:00, MELS-N-0000, MELSTACORP,1.7, 2nd Interim Dividend for FY 2022/23, 08-FEB-23, 27-FEB-23,53.5,52
2023-02-10 00:00:00, CTEA-N-0000, DILMAH CEYLON,10, 1st Interim Interim for FY 2022/2023, 21-FEB-23, 14-MAR-23,1039.25,1039.25
2023-02-10 00:00:00, KFP-N-0000, KEELLS FOOD,1.5, 1st Interim for FY 2022/2023, 21-FEB-23, 14-MAR-23,156,156
2023-02-10 00:00:00, VLL-N-0000, VIDULLANKA,0.1, 2nd Interim for FY 2022/2023, 21-FEB-23, 13-MAR-23,6,5.9
2023-02-10 00:00:00, VLL-X-0000, VIDULLANKA,0.1, 2nd Interim for FY 2022/2023, 21-FEB-23, 14-MAR-23,4.5,4.6
2023-02-13 00:00:00, CARE-N-0000, PRINTCARE PLC,2, 1ST INTERIM FOR THE FY 2022/23, 22-FEB-23, 15-MAR-23,54.6,53.1
2023-02-17 00:00:00, CCS-N-0000, COLD STORES,0.86, First interim 31st March 2023, 28-FEB-23, 21-MAR-23,35,34.6
2023-02-17 00:00:00, HASU-N-0000, HNB ASSURANCE,3.65, First and Final dividend 31st December 2022, 03-APR-23, 27-APR-23,49.9,47
2023-02-17 00:00:00, SAMP-N-0000, SAMPATH,3.45, First and Final Dividend Payment for the Year 2022, 31-MAR-23, 26-APR-23,54.1,52.5
2023-02-20 00:00:00, NEST-N-0000, NESTLE,55, 1st Interim Dividend for FY 22, 01-MAR-23, 22-MAR-23,1069.75,1022.5
2023-02-21 00:00:00, NEST-N-0000, NESTLE,75, Final Dividend for FY 22, 04-JUL-23, 24-JUL-23,1120.25,1120.25
2023-02-23 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.25, First & Final Dividend for FY 22, 27-APR-23, 18-MAY-23,16,14.5
2023-02-24 00:00:00, CSD-N-0000, SEYLAN DEVTS,1.2, FIRST & FINAL DIVIDEND FINANCIAL YEAR ENDED 31ST DECEMBER 2022, 31-MAR-23, 26-APR-23,13.5,12.5
2023-02-27 00:00:00, COMD-N-0000, COMMERCIAL DEV.,4, Final dividend for the year ended December 31, 03-APR-23, 27-APR-23,100,100
2023-02-28 00:00:00, ETWO-N-0000, EQUITY TWO PLC,0.5, 1st Interim for FY 2022/2023, 10-MAR-23, 30-MAR-23,42.9,42.9
2023-03-01 00:00:00, COLO-N-0000, C M HOLDINGS,5, First interim Financial yearFinancial Year Ending 31st March 2023, 13-MAR-23, 31-MAR-23,77.8,72.4
2023-03-01 00:00:00, CTC-N-0000, CEYLON TOBACCO,30, Fifth Interim Financial year2022, 13-MAR-23, 31-MAR-23,694.75,697.75
2023-03-03 00:00:00, AAIC-N-0000, Softlogic Life,3.5, Interim Dividend for FY 2022, 15-MAR-23, 04-APR-23,91.2,90
2023-03-07 00:00:00, LITE-N-0000, LAXAPANA,1, 2nd Interim FY Ending 31st March, 16-MAR-23, 31-MAR-23,14.2,13.2
2023-03-07 00:00:00, PARQ-N-0000, SWISSTEK,1.1, 1st Interim FY ending 31st March 2023, 16-MAR-23, 06-APR-23,15.8,14.8
2023-03-08 00:00:00, TILE-N-0000, LANKA TILES,6.5, First interim Financial year-Year ending 31st March 2023, 17-MAR-23, 10-APR-23,54.1,47.3
2023-03-09 00:00:00, JKL-N-0000, JOHN KEELLS,2.95, 1st Interim Dividend for FY 22/23, 20-MAR-23, 11-APR-23,68,67.5
2023-03-09 00:00:00, LWL-N-0000, LANKA WALLTILE,6.3, 1st Interim Dividend for FY 22/23, 20-MAR-23, 11-APR-23,59.3,51.6
2023-03-09 00:00:00, TSML-N-0000, TEA SMALLHOLDER,6.67, 1st Interim Dividend for FY 22/23, 20-MAR-23, 11-APR-23,55.2,48.4
2023-03-10 00:00:00, RCL-N-0000, ROYAL CERAMIC,2.4, First Interim Year ending 31st March 2023, 21-MAR-23, 12-APR-23,32.7,30.6
2023-03-13 00:00:00, PACK-N-0000, EX-PACK,0.72, 2nd Interim for FY 2022/2023, 22-MAR-23, 17-APR-23,15,15.9
2023-03-15 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.6, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 12-APR-23,28.1,27.6
2023-03-15 00:00:00, HAYC-N-0000, HAYCARB,1, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 10-APR-23,58.5,58
2023-03-15 00:00:00, HAYL-N-0000, HAYLEYS,5.35, First interim for the FY 2022/2023, 24-MAR-23, 10-APR-23,79.7,75
2023-03-15 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.5, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 12-APR-23,52,52.4
2023-03-15 00:00:00, KVAL-N-0000, KELANI VALLEY,3, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 11-APR-23,71.5,70
2023-03-15 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.3, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 06-APR-23,24.4,24.7
2023-03-15 00:00:00, TPL-N-0000, TALAWAKELLE,6, 3rd Interim Dividend for FY 2022/23, 24-MAR-23, 06-APR-23,87.6,80.9
2023-03-24 00:00:00, BALA-N-0000, BALANGODA,2, Interim Dividend for FY 2022, 04-APR-23, 28-APR-23,67,63.3
2023-03-24 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1.5, 2nd Interim Dividend for FY 2022, 04-APR-23, 28-APR-23,112.25,112.5
2023-03-27 00:00:00, UML-N-0000, UNITED MOTORS,1, First interim for FY 2022/23, 06-APR-23, 02-MAY-23,59.9,58.7
2023-03-30 00:00:00, LMF-N-0000, LMF,5, INTERIM DIVIDEND FOR THE FINANCIAL YEAR 2022/23, 12-APR-23, 08-MAY-23,146,142.5
2023-03-31 00:00:00, CTC-N-0000, CEYLON TOBACCO,20.3, Final dividend Financial year2022, 29-MAY-23, 16-JUN-23,809.5,799
2023-03-31 00:00:00, FCT-N-0000, FC TREASURIES,1.5, First interim Financial year2022/2023, 17-APR-23, 09-MAY-23,25,23.4
2023-04-04 00:00:00, CFVF-N-0000, FIRST CAPITAL,2.25, Interim Dividend for FY 22/23, 19-APR-23, 11-MAY-23,34,32.3
2023-04-04 00:00:00, CINS-N-0000, CEYLINCO INS.,45, Final Dividend for FY 22, 29-MAY-23, 14-JUN-23,2146,2146
2023-04-04 00:00:00, CINS-X-0000, CEYLINCO INS.,45, Final Dividend for FY 22, 29-MAY-23, 14-JUN-23,1017,1017
2023-04-06 00:00:00, TPL-N-0000, TALAWAKELLE,17.35, 4th Interim Dividend for FY 2022/23, 20-APR-23, 08-MAY-23,107.75,93.8
2023-04-10 00:00:00, SLTL-N-0000, SLT,0.25, First and Final Dividend for FY 22, 12-MAY-23, 01-JUN-23,89.4,88.2
2023-04-12 00:00:00, LFIN-N-0000, LB FINANCE,2, First Interim for the FY ended 31st March 2023, 25-APR-23, 17-MAY-23,54,51.7
2023-04-21 00:00:00, GLAS-N-0000, PGP GLASS,1.66, First and Final dividend Financial year FY 2022-2023, 20-JUL-23, 10-AUG-23,27,26
2023-04-26 00:00:00, ONAL-N-0000, ON'ALLY,2.3, Final dividend for FY ended 31st March 2023, 09-MAY-23, 29-MAY-23,32.3,29
2023-05-02 00:00:00, MAL-N-0000, MALWATTE,0.16, First and Final Dividend for FY 22, 26-JUN-23, 19-JUL-23,68.9,68.8
2023-05-02 00:00:00, MAL-X-0000, MALWATTE,0.16, First and Final Dividend for FY 22, 26-JUN-23, 19-JUL-23,36.4,36.1
2023-05-08 00:00:00, EXT-N-0000, EXTERMINATORS,0.4, 2nd Interim Dividend for FY 22/23, 17-MAY-23, 24-MAY-23,8.3,8.4
2023-05-11 00:00:00, CHL-N-0000, DURDANS,2.3, Interim Dividend for FY 2022/23, 22-MAY-23, 09-JUN-23,130,130
2023-05-11 00:00:00, CHL-X-0000, DURDANS,2.3, Interim Dividend for FY 2022/23, 22-MAY-23, 09-JUN-23,104.75,104.75
2023-05-17 00:00:00, CARG-N-0000, CARGILLS,8.5, 2nd Interim Dividend for FY 22/23, 26-MAY-23, 15-JUN-23,250,235
2023-05-17 00:00:00, CTHR-N-0000, C T HOLDINGS,6, 2nd Interim Dividend for FY 22/23, 26-MAY-23, 15-JUN-23,186.5,186.5
2023-05-18 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.5, Final dividend Financial year2022/23, 28-JUN-23, 14-JUL-23,28.1,28
2023-05-18 00:00:00, HAYC-N-0000, HAYCARB,1, Final dividend Financial year2022/23, 04-JUL-23, 14-JUL-23,59.9,60.9
2023-05-18 00:00:00, KVAL-N-0000, KELANI VALLEY,1.5, Final dividend Financial year2022/2023, 27-JUN-23, 14-JUL-23,71.1,70.1
2023-05-18 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.1, Final dividend Financial year2022/23, 26-JUN-23, 11-JUL-23,22.7,23.2
2023-05-19 00:00:00, CCS-N-0000, COLD STORES,0.44, Final dividend Financial year 2022/2023, 30-MAY-23, 19-JUN-23,39.8,38.7
