Sector Market Capitalisation - Monthly 2013,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",513519174356.7,510542028922,526647776335.9,538245550178.2,556124446351.5,528573912191.2,522620604243.4,499434508813.9,500516169098.7,510512507446.4,499423355747.8,512792352293
"BEVERAGE, FOOD & TOBACCO",415544603022,390102789156.3,403044993482.7,420101166204.3,490703583599.5,478940802479.6,486125527844.1,510829367090.1,478121555208.9,488370945720.9,475642269492,511662665386.5
CONSTRUCTION & ENGINEERING,39915734578,39777052460,38222745558.4,38781858040.4,42255561340,39952714974,39735038206,38160027032.8,37540927972.8,40487499749.6,38719730362,39689880470.4
CHEMICALS & PHARMACEUTICALS,19327412373.9,17861008543.5,17497844752.8,18058206436.2,21096308135,19902202802.8,18411020682.7,17586511885.1,17023576483.8,17715588464.2,16542240627.3,16474660609.6
DIVERSIFIED HOLDINGS,490002749931.9,483035655665.2,492882142556.4,504555890342.2,551328005538.6,511264083132.4,506884466268.6,447830078953,458548308469.5,494584304897.6,473955549177.8,483023275989
FOOTWEAR & TEXTILES,11270803770.9,10239413479.3,9948884014.8,11158628481.6,11855707497.8,11326533532.7,10545831656.4,9707159930.9,9494425783.4,10015548139,9360334567.4,10124774851.8
HOTELS & TRAVELS,154187545098.9,145163496142.1,143223255467.8,150254062121.9,162433614052,152526200112.6,148709722133.4,309981747226.2,312018452000,319390852133.4,312284079812.4,312736537458.6
HEALTH CARE,39375411389.2,38655293929.2,37498716073.1,43839044529.5,46067683736.6,43781872289.3,42381972877,41893231142,43605763844.5,44604544955.5,44994199856.8,43818623559.7
INVESTMENT TRUSTS,36591898298.2,32278979425.8,32674167414.7,35855715231.3,39566649720,36352933930.9,33495715595.1,31180632391.3,34049587419.1,34953252700.3,33129462932.4,33158551462.4
INFORMATION TECHNOLOGY,1961414200.9,1769120291.4,1431801633.5,1838566766.4,1907246766.6,1070006237.3,1157081632.7,1093000481.3,1334963886.9,1312837028.3,1522759858.2,1732682688.1
LAND & PROPERTY,34711425377.9,32604939336.4,32923765732,38750145360.5,46331006750.5,42264311464.9,40015858077.9,36556424216.8,37942747614.1,39470395176.2,37384332893.8,39170398389.1
MANUFACTURING,99883464329.4,96135715889.7,97072653457,104830922357.5,122231501410.2,115774688762.7,114742142324.8,108100998385.2,105871346083.5,110067464891.5,105734823490.1,107103394681.6
MOTORS,22688395082.1,21043419965.3,20804591016.8,20982117439.4,24353212198.5,23173862468.5,21948162042.1,20903331875,21099890265.3,21349715692,20801583600,21332593239.1
OIL PALMS,105054024450,102858183500,101809592476,103769672860.7,106466322726,104140370669.3,100223203708,99726713188,101574939589.3,104798989355.3,95892689760,92827210958.4
POWER & ENERGY,32732210409.4,30712460813,30643851118.3,33391600930.2,36643520235.3,33668829339.1,33579176521.5,33573449048.6,32864148703.5,35630553723.4,37962312726,37853381508.4
PLANTATIONS,24941500397.1,24106622712.2,24883576408.6,25299905736.4,27017673443.5,25977625985.4,23872191980.8,22350791374.1,22762504218.4,23951492547.1,23167842072.4,23606571220.4
STORES & SUPPLIES,5594463004.8,4904174167.7,5300508725.7,5338244886.7,6541523020,5955379932,5858921201.3,5322103713.4,5282781474.5,5102643603.2,4691502275,4682718100
SERVICES,6804684803,6117997060,6020155726,6392829863.5,7972622593,7204307145.5,7315334052,6606085145.3,6732904389.2,7113781134.5,6555092508,6465864942
TELECOMMUNICATION,152703463964,152346873645,151805415645,153077581007,154072444847.5,142952838283,141236030442.5,139153868921,139972628442.5,144136951485.5,144225003645,140073825645
TRADING,27702439973.4,24988835650.4,25622847540.2,26237827618.2,26867080945.2,25940908912.4,24489312932,22892717607,23804778399,22727598996,20719116254.4,21566745994.8
ASPI,2234512818811.7,2165244060754.5,2199959285135.7,2280759536392,2481835714907,2350744384646,2323347314422,2402882748421,2390162399347,2476297467839.9,2402708281658.8,2459896709447.9
S&P,1243660680411.8,1223293711597.2,1258242233112.3,1287008442448.1,1411162545970.2,1335745451889,1342143304208,1291016760114,1273259450727,1323443112505,1282179861931.8,1300929426150.9
