New Listing 1997,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Lion Brewery (Ceylon) Ltd ,12500000,20,15283200,Nil,1997-01-22 00:00:00
2) Marawila Resorts Ltd (2nd Board),15666806,10,249900,2750100,1997-06-18 00:00:00
3) Lighthouse Hotels Ltd (2nd Board),22500000,10,5992000,16508000,1997-08-29 00:00:00
4) Maskeliya Plantations Ltd,4000000,15,56913100,Nil,1997-11-05 00:00:00
5) Watawala Plantation Ltd,4000000,15,18006800,Nil,1997-12-01 00:00:00
6) LB Finance Ltd,4050000,20,525300,3524700,1997-12-30 00:00:00
Value (Rs.),706000000,,,,
Issues (No.),6,,,,
Exchange Approved Private Placements,,,,,
Company,No of Shares,Issue Price,No of Shares ,Approved Date,
,Offered ,(Rs.),Subscribed,,
7) Three Acre Farms Ltd,2100000,50,2100000,1997-01-16 00:00:00,
Value (Rs.),105000000,,,,
Issues (No.),1,,,,
New Listing 1997 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,4050000,81000000,,
"2) Beverage, Food & Tobacco",2,14600000,355000000,,
3)  Plantations,2,8000000,120000000,,
3) Hotels & Travels,2,25500000,255000000,,
Total,8,52150000,811000000,,
De-Listings 1997,,,,,
Company,Date of De-Listing,,,,
Taj Lanka Resorts Ltd,1997-03-19 00:00:00,,,,
International Distilleries (Lanka)Ltd,1997-05-08 00:00:00,,,,
