DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2014-02-11 00:00:00, CDIC-N-0000, N D B CAPITAL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 8.50 PER SHARE (OF WHICH RS. 7.64 WILL BE OUT OF DIVIDEND INCOME-NET OF TAX AND THE BALANCE RS. 0.86 WILL BE SUBJECT TO 10% WHT), 21-FEB-14, 04-MAR-14,500,520
2014-02-11 00:00:00, CTCE-N-0000, A I A INSURANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 28-MAR-14, 07-APR-14,270.3,270.2
2014-02-13 00:00:00, NDB-N-0000, NAT. DEV. BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE (OF WHICH RS. 4.36 WILL BE OUT OF DIVIDEND INCOME-NET OF TAX AND THE BALANCE RS. 0.64 WILL BE SUBJECT TO 10% WHT), 25-FEB-14, 07-MAR-14,183.6,176
2014-02-17 00:00:00, DIAL-N-0000, DIALOG, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.29 PER SHARE (AMENDED DATES), 18-JUN-14, 26-JUN-14,10.3,10.2
2014-02-17 00:00:00, AAIC-N-0000, ASIAN ALLIANCE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 4.80 PER SHARE, 26-FEB-14, 10-MAR-14,91.5,89
2014-02-17 00:00:00, KVAL-N-0000, KELANI VALLEY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.50 PER SHARE (LIABLE TO 10% DIVIDEND TAX), 31-MAR-14, 08-APR-14,80,78.3
2014-02-18 00:00:00, TPL-N-0000, TALAWAKELLE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE (LIABLE TO 10% DIVIDEND TAX), 01-APR-14, 09-APR-14,30.3,26.1
2014-02-19 00:00:00, SAMP-N-0000, SAMPATH, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 8.00 PER SHARE, 01-APR-14, 08-APR-14,182.1,175.3
2014-02-20 00:00:00, JINS-N-0000, JANASHAKTHI INS., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE(SUBJECT TO TAX), 31-MAR-14, 08-APR-14,14.4,13.5
2014-02-21 00:00:00, HNB-N-0000, HNB, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 7.00 PER SHARE (VOTING & NON VOTING), 31-MAR-14, 08-APR-14,156.1,150
2014-02-24 00:00:00, DOCK-N-0000, DOCKYARD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 06-MAR-14, 17-MAR-14,180,176.5
2014-02-24 00:00:00, SLTL-N-0000, SLT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.85 PER SHARE, 10-APR-14, 23-APR-14,47.6,46.4
2014-02-25 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE (VOTING & NON VOTING), 01-APR-14, 09-APR-14,123,120.1
2014-02-25 00:00:00, NEST-N-0000, NESTLE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 32.00 PER SHARE, 07-MAR-14, 18-MAR-14,2000,2005
2014-02-25 00:00:00, NTB-N-0000, NATIONS TRUST, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.10 PER SHARE, 01-APR-14, 09-APR-14,64.9,63.5
2014-02-25 00:00:00, UAL-N-0000, UNION ASSURANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE, 07-MAR-14, 18-MAR-14,106.8,106.4
2014-02-26 00:00:00, CSD-N-0000, SEYLAN DEVTS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.30 PER SHARE, 01-APR-14, 09-APR-14,9.3,9.5
2014-02-26 00:00:00, SEYB-N-0000, SEYLAN BANK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.25 PER SHARE (VOTING & NON VOTING), 01-APR-14, 09-APR-14,63.7,61.4
2014-02-26 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 31-MAR-14, 08-APR-14,301.3,310
2014-02-28 00:00:00, CINS-N-0000, CEYLINCO INS., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 16.00 PER SHARE (VOTING & NON VOTING), 01-APR-14, 09-APR-14,1400,1400
2014-02-28 00:00:00, HDFC-N-0000, HDFC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.25 PER SHARE, 02-JUN-14, 10-JUN-14,36,36.1
2014-02-28 00:00:00, SINS-N-0000, SINGER SRI LANKA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.50 PER SHARE, 11-MAR-14, 20-MAR-14,88,86.5
2014-02-28 00:00:00, REG-N-0000, REGNIS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 11-MAR-14, 20-MAR-14,65.3,62.2
2014-02-28 00:00:00, SINI-N-0000, SINGER IND., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 11-MAR-14, 20-MAR-14,107.3,105
2014-03-04 00:00:00, REXP-N-0000, RICH PIERIS EXP, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 4.75 PER SHARE, 13-MAR-14, 20-MAR-14,59.8,53.8
2014-03-05 00:00:00, TANG-N-0000, TANGERINE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 14-MAR-14, 25-MAR-14,79.8,68
2014-03-05 00:00:00, NAMU-N-0000, NAMUNUKULA, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 14-MAR-14, 21-MAR-14,83.6,78
2014-03-05 00:00:00, RPBH-N-0000, ROYAL PALMS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.80 PER SHARE, 14-MAR-14, 25-MAR-14,30.5,30.9
2014-03-05 00:00:00, CONN-N-0000, AMAYA LEISURE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 4.50 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 14-MAR-14, 24-MAR-14,75.2,75
2014-03-05 00:00:00, KGAL-N-0000, KEGALLE, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 14-MAR-14, 21-MAR-14,99,100.2
2014-03-05 00:00:00, PDL-N-0000, PDL, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 16-MAY-14, 26-MAY-14,76,75
2014-03-06 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 17-MAR-14, 26-MAR-14,220,218.1
2014-03-07 00:00:00, LIOC-N-0000, LANKA IOC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 18-MAR-14, 27-MAR-14,38.1,38
2014-03-11 00:00:00, COMD-N-0000, COMMERCIAL DEV., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 02-MAY-14, 12-MAY-14,77,76.9
2014-03-12 00:00:00, DIPD-N-0000, DIPPED PRODUCTS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.2.50 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 21-MAR-14, 31-MAR-14,89.5,87
2014-03-12 00:00:00, HAYC-N-0000, HAYCARB, SHARE TRANSFER BOOK OPEN, RS. 3.00 PER SHARE (RS. 2.56-LIABLE TO 10% DIVIDEND TAX & RS. 0.44 -NOT LIABLE TO 10% DIVIDEND TAX)/INTERIM DIVIDEND, 21-MAR-14, 31-MAR-14,176,180
2014-03-13 00:00:00, AMSL-N-0000, ASIRI SURG, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.56 PER SHARE (TAX FREE), 24-MAR-14, 28-MAR-14,14,12.2
2014-03-13 00:00:00, ASIR-N-0000, ASIRI, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.55 PER SHARE(TAX FREE(I.E. PAIDOUT OF DIVIDENDS RECEIVED), 24-MAR-14, 31-MAR-14,20,19.9
