DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2014-05-28 00:00:00, AHPL-N-0000, AHOT PROPERTIES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.3.00 PER SHARE, 06-JUN-14, 18-JUN-14,72.3,70
2014-05-28 00:00:00, CIND-N-0000, CENTRAL IND., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 31-JUL-14, 08-AUG-14,67.2,63.8
2014-05-28 00:00:00, MULL-N-0000, MULLERS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.05 PER SHARE, 30-JUN-14, 08-JUL-14,1.3,1.3
2014-05-28 00:00:00, TSML-N-0000, TEA SMALLHOLDER, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 06-JUN-14, 18-JUN-14,37.6,37.5
2014-05-28 00:00:00, JKL-N-0000, JOHN KEELLS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.40 PER SHARE, 06-JUN-14, 18-JUN-14,74.5,72
2014-05-29 00:00:00, HHL-N-0000, HEMAS HOLDINGS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.70 PER SHARE, 16-JUL-14, 24-JUL-14,48.8,48.2
2014-05-30 00:00:00, LFIN-N-0000, LB FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 6.50 PER SHARE, 01-JUL-14, 09-JUL-14,128.6,123.8
2014-05-30 00:00:00, MHDL-N-0000, MILLENNIUM HOUSE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.25 PER SHARE (AMENDED DATES), 23-JUL-14, 30-JUL-14,6.5,6.5
2014-05-30 00:00:00, LWL-N-0000, LANKA WALLTILE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 30-JUN-14, 07-JUL-14,75,73.7
2014-05-30 00:00:00, ODEL-N-0000, ODEL PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.12 PER SHARE, 10-JUN-14, 20-JUN-14,20.4,20.4
2014-05-30 00:00:00, RCL-N-0000, ROYAL CERAMIC, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 01-JUL-14, 09-JUL-14,102,100.2
2014-05-30 00:00:00, SFIN-N-0000, SINGER FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.65 PER SHARE, 10-JUN-14, 19-JUN-14,13.5,12.9
2014-05-30 00:00:00, TILE-N-0000, LANKA TILES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 30-JUN-14, 04-JUL-14,89,89.9
2014-05-30 00:00:00, UML-N-0000, UNITED MOTORS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 6.00 PER SHARE (LESS WITHHOLDING TAX), 30-JUN-14, 07-JUL-14,126.5,122.6
2014-05-30 00:00:00, CWM-N-0000, C.W.MACKIE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 30-JUN-14, 08-JUL-14,61.6,60
2014-05-30 00:00:00, HOPL-N-0000, HORANA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 30-JUN-14, 04-JUL-14,25.2,24.7
2014-06-02 00:00:00, CDB-N-0000, CDB, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE (VOTING & NON VOTING), 01-JUL-14, 09-JUL-14,66.5,65
2014-06-03 00:00:00, CERA-N-0000, LANKA CERAMIC, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.75 PER SHARE, 30-JUN-14, 08-JUL-14,104.5,102
2014-06-03 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE (DIVIDEND DATES), 21-JUL-14, 23-JUL-14,202.9,210
2014-06-04 00:00:00, EBCR-N-0000, E B CREASY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 12.50 PER SHARE, 01-JUL-14, 09-JUL-14,967,966
2014-06-05 00:00:00, ALLI-N-0000, ALLIANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 20.00 PER SHARE, 01-JUL-14, 09-JUL-14,720,715
2014-06-06 00:00:00, TKYO-N-0000, TOKYO CEMENT, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE (OUT OF TAX FREE PROFIT & NOT SUBJECT TO 10% WHT)- VOTING & NON-VOTING, 18-JUN-14, 27-JUN-14,41.9,40.2
2014-06-17 00:00:00, LIOC-N-0000, LANKA IOC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 17-SEP-14, 25-SEP-14,47.5,44.4
2014-06-17 00:00:00, CFI-N-0000, CFI, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 21-JUL-14, 30-JUL-14,92.1,92
2014-06-17 00:00:00, CIT-N-0000, CIT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 21-JUL-14, 30-JUL-14,98.6,99.6
2014-06-20 00:00:00, VFIN-N-0000, VALLIBEL FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 01-JUL-14, 07-JUL-14,34.6,33.6
2014-06-20 00:00:00, BREW-N-0000, CEYLON BEVERAGE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 7.00 PER SHARE, 24-JUL-14, 04-AUG-14,743,736.4
2014-06-20 00:00:00, LION-N-0000, LION  BREWERY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 24-JUL-14, 04-AUG-14,663.1,641.3
2014-06-23 00:00:00, KHC-N-0000, KANDY HOTELS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.20 PER SHARE, 04-SEP-14, 15-SEP-14,8.2,8.2
2014-06-24 00:00:00, ASIY-N-0000, ASIA SIYAKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.20 PER SHARE, 03-JUL-14, 14-JUL-14,3.6,3.4
2014-06-25 00:00:00, GUAR-N-0000, CEYLON GUARDIAN, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE (WOULD NOT BE SUBJECT TO DIVIDEND TAX), 31-JUL-14, 08-AUG-14,197,193.2
2014-06-25 00:00:00, CARS-N-0000, CARSONS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE (WOULD NOT BE SUBJECT TO A WHT OF 10%), 01-AUG-14, 11-AUG-14,472,470
2014-06-26 00:00:00, VLL-N-0000, VIDULLANKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.075 PER SHARE, 07-JUL-14, 16-JUL-14,3.9,4
2014-06-27 00:00:00, COCR-N-0000, COM.CREDIT, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 08-JUL-14, 17-JUL-14,21.8,21.4
2014-06-27 00:00:00, ORIN-N-0000, ORIENT FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.10 PER SHARE (THE DIVIDEND IS SUBJECT TO TAX), 30-JUL-14, 07-AUG-14,14.6,14.2
2014-06-30 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.25 PER SHARE, 09-JUL-14, 18-JUL-14,5.1,4.9
2014-06-30 00:00:00, NHL-N-0000, NAWALOKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.06 PER SHARE, 09-JUL-14, 17-JUL-14,3.4,3.4
2014-07-04 00:00:00, CTEA-N-0000, TEA SERVICES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 12.50 PER SHARE, 01-SEP-14, 10-SEP-14,730,730
2014-07-08 00:00:00, SMOT-N-0000, SATHOSA MOTORS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE, 17-JUL-14, 25-JUL-14,250,246.1
2014-07-08 00:00:00, AEL-N-0000, ACCESS ENG SL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 17-JUL-14, 28-JUL-14,26.3,25.9
2014-07-10 00:00:00, CTLD-N-0000, C T LAND, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE (AMENDED DATES), 22-AUG-14, 01-SEP-14,39,39
2014-07-14 00:00:00, TYRE-N-0000, KELANI TYRES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.85 PER SHARE (GROSS), 23-JUL-14, 04-AUG-14,68.1,67
2014-07-21 00:00:00, MORI-N-0000, MORISONS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE (VOTING & NON VOTING), 19-AUG-14, 27-AUG-14,305,295
2014-07-21 00:00:00, ASHO-N-0000, LANKA ASHOK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE(DATES), 15-AUG-14, 21-AUG-14,1714.9,1670.7
2014-07-22 00:00:00, COLO-N-0000, C M HOLDINGS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 01-SEP-14, 10-SEP-14,120.6,118.5
2014-07-22 00:00:00, CFVF-N-0000, FIRST CAPITAL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE (NOT SUBJECT TO TAX), 28-AUG-14, 05-SEP-14,33.1,31.6
2014-07-25 00:00:00, LVEN-N-0000, LANKA VENTURES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 19-SEP-14, 29-SEP-14,44.8,45.9
2014-07-25 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 5.00 PER SHARE, 06-AUG-14, 15-AUG-14,314.3,311.5
2014-07-28 00:00:00, HEXP-N-0000, HAYLEYS FIBRE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.30 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 07-AUG-14, 15-AUG-14,38.5,40.2
2014-07-28 00:00:00, KCAB-N-0000, KELANI CABLES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 07-AUG-14, 18-AUG-14,87.9,86
2014-07-30 00:00:00, SWAD-N-0000, SWADESHI, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 29-SEP-14, 07-OCT-14,17500,19010.1
2014-07-30 00:00:00, RWSL-N-0000, RAIGAM SALTERNS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE, 19-SEP-14, 25-SEP-14,2.7,2.7
2014-07-31 00:00:00, KHL-N-0000, KEELLS HOTELS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 11-AUG-14, 20-AUG-14,15.9,15.7
2014-07-31 00:00:00, ELPL-N-0000, ELPITIYA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.75 PER SHARE, 24-SEP-14, 02-OCT-14,25.9,25.8
2014-08-01 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 13.20 PER SHARE (LESS WITHHOLDING TAX), 12-AUG-14, 21-AUG-14,1150,1197.7
2014-08-01 00:00:00, SOY-N-0000, CONVENIENCE FOOD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 04-SEP-14, 15-SEP-14,265.1,265.1
2014-08-01 00:00:00, CLPL-N-0000, CEYLON LEATHER, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 17-SEP-14, 25-SEP-14,92.6,98
2014-08-04 00:00:00, SLND-N-0000, SERENDIB LAND, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 25.00 PER SHARE, 09-SEP-14, 16-SEP-14,1090,1000
2014-08-05 00:00:00, ONAL-N-0000, ON'ALLY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.70 PER SHARE, 14-AUG-14, 25-AUG-14,68,66.1
2014-08-05 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.80 PER SHARE, 18-SEP-14, 26-SEP-14,60, 
2014-08-07 00:00:00, SIL-N-0000, SAMSON INTERNAT., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 18-AUG-14, 27-AUG-14,115,120.2
2014-08-07 00:00:00, AMF-N-0000, AMF CO LTD, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 4.00 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 18-AUG-14, 27-AUG-14,430.9,443
2014-08-08 00:00:00, CARG-N-0000, CARGILLS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.30 PER SHARE (OUT OF DIVIDEND INCOME-NET OF TAX), 01-SEP-14, 10-SEP-14,164,160
2014-08-08 00:00:00, DIST-N-0000, DISTILLERIES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.25 PER SHARE, 30-SEP-14, 07-OCT-14,212.9,211.9
2014-08-08 00:00:00, CFLB-N-0000, FORT LAND, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.30 PER SHARE, 19-SEP-14, 29-SEP-14,33,33.4
2014-08-12 00:00:00, AUTO-N-0000, AUTODROME, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE (DATES), 22-SEP-14, 30-SEP-14,929.8,944.9
2014-08-13 00:00:00, CSEC-N-0000, DUNAMIS CAPITAL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE (NOT SUBJECT TO TAX), 22-AUG-14, 02-SEP-14,19.6,18.5
2014-08-14 00:00:00, LALU-N-0000, LANKA ALUMINIUM, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 25-AUG-14, 03-SEP-14,45.7,42.9
2014-08-14 00:00:00, CTHR-N-0000, C T HOLDINGS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.50 PER SHARE (OUT OF DIVIDEND INCOME-NET OF TAX), 09-SEP-14, 17-SEP-14,152.6,151.9
2014-08-14 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 30-SEP-14, 03-OCT-14,117.5,111
2014-08-15 00:00:00, MERC-N-0000, MERCANTILE INV, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.50 PER SHARE, 26-AUG-14, 01-SEP-14,2200, 
2014-08-15 00:00:00, FLCH-N-0000, FLC HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.05 PER SHARE, 26-AUG-14, 04-SEP-14,2.2,2.4
2014-08-18 00:00:00, HARI-N-0000, HARISCHANDRA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 35.00 PER SHARE, 22-SEP-14, 30-SEP-14,2250,2230
2014-08-19 00:00:00, APLA-N-0000, ACL PLASTICS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 28-AUG-14, 09-SEP-14,118.1,118.1
2014-08-19 00:00:00, CIC-N-0000, CIC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON-VOTING), 28-AUG-14, 04-SEP-14,67.9,67.9
2014-08-21 00:00:00, RENU-N-0000, RENUKA CITY HOT., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 24-SEP-14, 29-SEP-14,351.4,350
2014-08-21 00:00:00, CABO-N-0000, CARGO BOAT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 24-SEP-14, 29-SEP-14,132,132
2014-08-22 00:00:00, BUKI-N-0000, BUKIT DARAH, SHARE TRANSFER BOOK OPEN, 1ST INTERIM DIVIDEND OF RS.3.00 PER SHARE (WOULD NOT BE SUBJECTED TO DIVIDEND TAX), 02-SEP-14, 11-SEP-14,705,705
2014-08-22 00:00:00, VONE-N-0000, VALLIBEL ONE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.40 PER SHARE, 02-SEP-14, 12-SEP-14,22.2,21.8
2014-08-22 00:00:00, RAL-N-0000, RENUKA AGRI, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.10 PER SHARE, 25-SEP-14, 03-OCT-14,4.1,4.2
2014-08-25 00:00:00, TFIL-N-0000, TRADE FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 26-SEP-14, 06-OCT-14,28.1,27.2
2014-08-25 00:00:00, MEL-N-0000, MACKWOODS ENERGY, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.10 PER SHARE, 01-OCT-14, 10-OCT-14,7.2,7
2014-08-26 00:00:00, CITH-N-0000, CITRUS HIKKADUWA, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.12 PER SHARE, 04-SEP-14, 16-SEP-14,20.8,20.5
2014-08-28 00:00:00, COCO-N-0000, RENUKA FOODS, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE (VOTING & NON VOTING), 25-SEP-14, 03-OCT-14,22,21.9
2014-08-28 00:00:00, RHL-N-0000, RENUKA HOLDINGS, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.70 PER SHARE (VOTING AND NON VOTING), 25-SEP-14, 03-OCT-14,40.5,41
2014-08-28 00:00:00, SHAW-N-0000, LEE HEDGES, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 23.00 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 29-SEP-14, 07-OCT-14,419.8,400
2014-08-28 00:00:00, ABAN-N-0000, ABANS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.50 PER SHARE, 01-OCT-14, 10-OCT-14,128.1,125
2014-08-28 00:00:00, GEST-N-0000, GESTETNER, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 5.00 PER SHARE, 01-OCT-14, 09-OCT-14,168,160.5
2014-08-28 00:00:00, ARPI-N-0000, ARPICO, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 2.50 PER SHARE, 30-SEP-14, 09-OCT-14,161.9,162.3
2014-08-28 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 09-SEP-14, 18-SEP-14,350,340
2014-09-01 00:00:00, ACL-N-0000, ACL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 11-SEP-14, 22-SEP-14,72.9,72.5
2014-09-02 00:00:00, HPFL-N-0000, FLC HYDRO POWER, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.10 PER SHARE, 12-SEP-14, 23-SEP-14,6,6
2014-09-05 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 32.50 PER SHARE, 09-OCT-14, 17-OCT-14,2850,2650
2014-09-05 00:00:00, PARA-N-0000, PARAGON, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 09-OCT-14, 17-OCT-14,700,840
2014-09-05 00:00:00, CPRT-N-0000, CEYLON PRINTERS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 11.00 PER SHARE, 09-OCT-14, 17-OCT-14,2500,2499.9
2014-09-09 00:00:00, ASPH-N-0000, INDUSTRIAL ASPH., SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 3.00 PER SHARE (THE DIVIDEND IS SUBJECT TO TAX), 03-OCT-14, 14-OCT-14,275,275
2014-09-12 00:00:00, ASIY-N-0000, ASIA SIYAKA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.0.18 PER SHARE, 23-SEP-14, 02-OCT-14,3.6,3.4
2014-09-16 00:00:00, VPEL-N-0000, VALLIBEL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 25-SEP-14, 06-OCT-14,6.6,6.1
2014-09-16 00:00:00, WAPO-N-0000, GUARDIAN CAPITAL, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.50 PER SHARE (WHICH WOULD NOT BE SUBJECT TO THE DIVIDEND TAX OF 10%), 25-SEP-14, 06-OCT-14,44.8,44.5
2014-09-19 00:00:00, PARQ-N-0000, SWISSTEK, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 30-SEP-14, 10-OCT-14,27.7,27.2
2014-09-22 00:00:00, ESL-N-0000, ENTRUST SEC, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 1.61 PER SHARE, 01-OCT-14, 10-OCT-14,55.1,54.3
2014-09-22 00:00:00, CARS-N-0000, CARSONS, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE (WOULD NOT BE SUBJECT TO WHT 10%), 01-OCT-14, 07-OCT-14,450,441.5
2014-09-26 00:00:00, BRWN-N-0000, BROWNS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.65 PER SHARE (AMENDED XD AND PAYMENT DATE), 09-OCT-14, 20-OCT-14,113.7,111.8
2014-09-29 00:00:00, UCAR-N-0000, UNION CHEMICALS, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 7.00 PER SHARE (AMENDED XD DATE), 10-OCT-14, 20-OCT-14,574.8,574
2014-10-09 00:00:00, CFT-N-0000, CFT, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.05 PER SHARE, 20-OCT-14, 30-OCT-14,8.1,7.9
2014-10-27 00:00:00, ALUM-N-0000, ALUMEX PLC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.33 PER SHARE (LIABLE TO 10% DIVIDEND TAX), 05-NOV-14, 13-NOV-14,15.5,15.5
2014-10-27 00:00:00, WATA-N-0000, WATAWALA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.95 PER SHARE / FINANCIAL YEAR 2014/2015, 05-NOV-14, 17-NOV-14,,
2014-10-28 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS. 5.50 PER SHAR / FINANCIAL YEAR 2014, 07-NOV-14, 18-NOV-14,344,343
2014-10-29 00:00:00, REXP-N-0000, RICH PIERIS EXP, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 6.40 PER SHARE / FINANCIAL YEAR 2014/2015, 10-NOV-14, 18-NOV-14,164.7,159.7
2014-10-30 00:00:00, NAMU-N-0000, NAMUNUKULA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE / FINANCIAL YEAR 2014/2015, 11-NOV-14, 20-NOV-14,90.5,88.1
2014-10-31 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE (VOTING & NON VOTING) / FINANCIAL YEAR 2014, 12-NOV-14, 21-NOV-14,173.9,174
2014-11-04 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN,INTERIM DIVIDEND OF RS.1.00 PER SHARE, 14-NOV-14, 25-NOV-14,258.7,257.9
2014-11-07 00:00:00, CARE-N-0000, PRINTCARE PLC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.45 PER SHARE / FINANCIAL YEAR 2014/2015, 18-NOV-14, 26-NOV-14,41,40
2014-11-07 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS.11.10 PER SHARE (LESS WITH HOLDING TAX) / FINANCIAL YEAR 2014, 18-NOV-14, 26-NOV-14,1145,1149
2014-11-07 00:00:00, LWL-N-0000, LANKA WALLTILE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.2.00 PER SHARE, 18-NOV-14, 27-NOV-14,102.8,100
2014-11-07 00:00:00, RCL-N-0000, ROYAL CERAMIC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.00 PER SHARE / FINANCIAL YEAR 2014/2015, 18-NOV-14, 21-NOV-14,119.9,119.5
2014-11-07 00:00:00, TILE-N-0000, LANKA TILES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.2.00 PER SHARE / FINANCIAL YEAR 2014/2015, 18-NOV-14, 25-NOV-14,117,115
2014-11-12 00:00:00, NEST-N-0000, NESTLE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 12.00 PER SHARE FY 2014, 21-NOV-14, 02-DEC-14,2236,2156.4
2014-11-13 00:00:00, HHL-N-0000, HEMAS HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.40 PER SHARE FY 2014/2015, 24-NOV-14, 02-DEC-14,72.1,69.8
2014-11-13 00:00:00, AEL-N-0000, ACCESS ENG SL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE FY 2014/2015, 24-NOV-14, 03-DEC-14,39.3,37.3
2014-11-14 00:00:00, NDB-N-0000, NAT. DEV. BANK, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 7.00 PER SHARE (RS. 2.03 PER SHARE WILL BE OUT OF DIVIDEND INCOME-NET OF TAX AND THE BALANCE RS. 4.97 WILL BE SUBJECT TO 10% WHT) FY 2014, 25-NOV-14, 04-DEC-14,249.9,247
2014-11-14 00:00:00, AAIC-N-0000, ASIAN ALLIANCE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 5.00 PER SHARE FY 2014, 25-NOV-14, 04-DEC-14,147,146
