SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,65652,8691,53237216,17849618,5042984783,2813691772
BEV FOOD TOBACCO,27417,5212,40265169,37011747,851281290,710816919
CONSTRUCTION ENG,9376,2061,15898825,11898927,547351488,463982594
CHEMICALS PHARMS,3450,166,2439927,313803,136787259,25836664
FOOTWEAR TEXTILE,8389,326,6354477,1011228,199285034,41513901
HOTELS TRAVELS,27031,2465,31695267,14022069,1000997511,714714439
INVESTMENT TRUST,1902,25,1316809,31955,54737503,2746625
LAND PROPERTY,5572,368,11680790,2738083,186238697,42608327
MANUFACTURING,35377,3402,42276563,24767470,1171322165,1046555412
MOTORS,4663,778,3702936,3489328,303964670,301468596
OIL PALMS,32,5,7579,1825,3214820,763581
STORES SUPPLIES,811,76,1089211,251109,79875921,12633541
SERVICES,895,18,351644,76800,13697305,3369487
TRADING,5722,377,4265523,833164,142977088,38830749
PLANTATIONS,0,0,0,0,0,0
DIVERSIFIED,8156,1917,10552428,9722366,1105234271,1438473961
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,1288,49,1762805,203810,52710820,7882990
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
