Sector Market Capitalisation - Monthly 2017,,,,,,,,,,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",633463737703.7,635474440678.3,613272432460.6,,,,,,,,,,670333525040.9,708194449454.7,757108343785.9,758540498627.4,756315345470,761626153161.8,815617981292.7,777630503052.7,769974550674.5
"BEVERAGE, FOOD & TOBACCO",530145135619.3,536916871957.6,552941457303.8,,,,,,,,,,610436756086.8,593273956818.5,586380572635.4,572051839681.5,550204708871.9,561254853269.1,578188477073.5,572083832090.6,581570397409.5
CONSTRUCTION & ENGINEERING,36756836107.6,36598661984,35284943104,,,,,,,,,,38265115806,39459191927.2,38892779086.4,40939512452,38613416565.2,38804665503.2,37609830827.6,34499408580,34584173594.8
CHEMICALS & PHARMACEUTICALS,16979984815.7,16476556452.5,15925694945.8,,,,,,,,,,17213856009,17282614836.6,18670234917.4,18537301378.5,17083181101.5,18640602054.5,18265124649.3,17264737791.8,17496313747.7
DIVERSIFIED HOLDINGS,510340040292.6,515493052969,505536322040.5,,,,,,,,,,571551769377.8,592517081680.6,628123462798.04,619179037046.6,573765474335.4,572402028171.1,578700325585.1,565492537066.4,555459986270.5
FOOTWEAR & TEXTILES,11096273453.3,10742368247.4,11477151577.8,,,,,,,,,,12413302460.3,12170344465.8,12489986440.3,12913401963,12049757753.2,11817370349.7,12181950042,11244441018.7,11838753189.2
HOTELS & TRAVELS,316247360754.2,311417037282.5,307688777119.9,,,,,,,,,,319239329085.5,320703989866.7,319220303247.3,313806629383.6,305932678122.6,306067166643.5,306694931500.1,307790605293.3,305575099735.6
HEALTH CARE,58156587038.1,58506306499.6,57489174208,,,,,,,,,,58677807344.8,57684347518.6,57686626289.4,59940783623.3,56688115432.6,61965324853.6,59123488866.8,58120982171.1,57000449928.2
INVESTMENT TRUSTS,22882013679.2,21945956688.7,20536023496.5,,,,,,,,,,24772683164,24444839212.4,24889755366,26269370842.4,24267065422.4,24568427332,25333614050.8,23155671942.6,22503144833.1
INFORMATION TECHNOLOGY,889259905.1,828194197.6,730489065.6,,,,,,,,,,730489065.6,779341631.6,754915348.6,815981056.1,754915348.6,986965037.1,864833622.1,754915348.6,754915348.6
LAND & PROPERTY,49172725841.6,48669141053.6,49166521023.8,,,,,,,,,,51124220484.4,55145909574.4,54497224513.6,53925952915.4,51616148734.6,50649811519.4,50787827865,49164014511.2,49998026387.6
MANUFACTURING,168622782835.3,170166495305.7,164302408277.5,,,,,,,,,,182848454137.6,182853264133,198136784642.5,192337217217,181275245614.6,176641304607.9,175191195227.2,167951257957.1,161845399360.2
MOTORS,21216677182.1,21004405186.6,20474067770.3,,,,,,,,,,21232229094.9,21325509945.5,21384137824.5,20931540914.1,20616365774.2,20209826185.9,20340120194.7,20389586505.5,20337164178.9
OIL PALMS,72829628146.6,60806104159.3,56991440409.3,,,,,,,,,,57991040409.3,56017281752.1,54599481752.1,55068681752.1,50646616209,48321016209,49677616209,48852822075.6,45573431597.4
POWER & ENERGY,40370051429.9,39055024348.3,37417724594.3,,,,,,,,,,41062817900.7,39306557324.9,39749324768.5,41795413461.4,39700001984.1,39126319007.2,38783703718.6,36987681679.6,36799624424.7
PLANTATIONS,23158992340.4,23220868989.7,23674733387.5,,,,,,,,,,28059417906.1,30762840351.7,29145374802.6,30972929062.6,31275174516,35298329527.7,36015763284.1,32946785648.7,32965447324
STORES & SUPPLIES,6669451921.6,6518943175.3,6935837603.8,,,,,,,,,,6909624875.2,7248003521.2,6659266416.4,6885769964.2,6842019507.6,6773281795.9,6738198312,6753884828.5,6821296724.5
SERVICES,5184250009,5086557298,4756635604,,,,,,,,,,5571148418.5,5940200294,7867623175,6337892268,6186407509.5,6116357007,6264276708,5920779774,5839225540
TELECOMMUNICATION,152113388933.5,152029718455,152126533976.5,,,,,,,,,,161436898860,158100098700.5,155480860860,151047999657.5,146804387817,150880658700.5,164989238467.5,159112489265,157307629265
TRADING,25302297377,27440636914.8,26131961260.2,,,,,,,,,,28898907870.4,29333648486,29491097971.2,27848174781,27111005122,27547076807,27383573250.4,26546614484.8,25046168417
ASPI MKT CAP,2701597475386,2698397341844,2662860329230,,,,,,,,,,2908769393398,2952543471496,3041228156641,3010145928048,2897748031212,2919697537743,3008752070747,2922663551086,2899291197951
S&P MKT CAP,1289430329975.5,1308954814908.2,1293736803016.2,,,,,,,,,,1442846843992.8,1459915991753,1424277351574.8,1392452206388.9,1337333950437.4,1340878834380.6,1402266434280.2,1343425919948.1,1381475734756.4
