Sector Market Capitalisation - Monthly 2023,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
Automobiles & Components,4703400000,4703400000,4775760000,4639080000,4422000000,4960680000,5499360000,5362680000,5386800000,5137560000,5145600000,5105400000
Banks,289886577141.5,289886577141.5,313279961162.6,285419062526.95,285791802894.75,338022687886.2,470862320595.9,449194098041.2,462710840402.85,427554572508.15,438471222556.15,455379874416.45
Capital Goods,595180618659.75,595180618659.75,600496876932.4,586447725806.3,555586181631.8,620956744167.1,708754593587.65,705398191980.1,724407286234.2,683695433516.75,669156563575.15,655078519441.6
Commercial & Professional Services,6040645804.3,6040645804.3,5831077246.9,5699714855.1,5202129955.1,5889244326.6,6335919312.6,6252836951,6259099583,5676784611.35,5686407407.9,5479411902.7
Consumer Durables & Apparel,78289913343,78289913343,73177726513.6,74866828253.7,68401990619.3,72079657505.7,82869738699.6,83359639899.2,85022520049.4,78662576802.9,77275957759.9,76920203459.7
Consumer Services,163265880480,163265880480,176693163131.8,169564773735,157270621511,156147312490.7,188977677391.4,204461494271.3,237884709881.4,213831411511,212718586426.4,207679603720.2
Diversified Financials,628962456027.6,628962456027.6,625710507044.5,589369176996.6,539539041686.95,603417298008.8,767674159081.6,714395277102.9,698767096110.8,636196299729,632857341200.3,607013026565.1
Energy,114816011774.4,114816011774.4,101832570858.5,97045127048.75,77530961582.75,77724043619.4,82119510236,74695590383.2,74899241259.25,69307116932.75,67266888536.75,67552504988.8
Food & Staples Retailing,93252891096.95,93252891096.95,96890744378.7,98727083214.7,100015106925.6,104357542609.3,124311628727.75,131504667808.7,141244262536.5,153668753067.75,145494863783,144711412271.3
"Food, Beverage & Tobacco",806418936714.35,806418936714.35,829868704992.15,817094090260.25,808548018363.1,866095380667.7,952796431550.4,964289129352.35,1002793181922.7,959291795681.7,952223082132.15,961920331498.3
Health Care Equipment & Services,76091951408.6,76091951408.6,76081991183.7,74350503704.7,68324643646,71864506741.65,72707149928.85,73191944784.5,75648464894.5,76432021466,76309420143.7,74503976062.85
Household & Personal Products,8899018512.4,8899018512.4,8714912498.2,8469437812.6,8162594455.6,8346700469.8,9297914876.5,8377384805.5,8745596833.9,8377384805.5,8377384805.5,8254647462.7
Insurance,153875357702.8,153875357702.8,149926557210,137698650589.1,130207368659.1,144813190746.2,158609674509.4,156222560866.9,159240068686.8,151064636817.4,145531685876.3,144575022155.1
Materials,160831709476.45,160831709476.45,163434726519.05,160259123206.75,148389277443.95,165501580482.75,184565064615.2,177312796286.15,183181946188.3,169351073903.35,164567558737.65,166010834125.8
Real Estate,48509292920.55,48509292920.55,53259517511.1,47317055132.1,45052647904.2,46204454666.7,53265817352.6,50748768111.6,51336569238,48094436874.4,47001275753.2,46016509790.5
Retailing,50043545667.1,50043545667.1,4095091564.8,51282515064.1,49755144747.2,51698361353.2,58069386811,58728238854.3,59393667793.2,54418792695.7,50528543672.6,48433102577.6
Software & Services,4565473704,4565473704,255432299172,3818396188.8,3458692200,3348014049.6,3735387576,3375683587.2,3403353124.8,3292674974.4,3348014049.6,3181996824
Telecommunication Services,227178070714.5,227178070714.5,270636818100,253702901355,239241071080.5,257314825141.5,267600323355,255480403507.5,242951407324.5,256028472867,256519622745,241900256745
Transportation,349893325500,349893325500,43963694434.6,313548710875,260669923660,258872933010,293207401547.5,270583966972.5,266754635545,249083394407.5,254864148400,280770328387.5
Utilities,45406209289.6,45406209289.6,49436759547.5,44049838904.7,42732413675.6,43666485018.6,46043667809.4,48327322382.6,47108861023.2,47072461073.2,47516749642.6,48447619302.5
