,,,,DIVIDEND ANNOUNCEMENTS 2022 (JANUARY TO DECEMBER),,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2021-12-06 00:00:00, VONE-N-0000, VALLIBEL ONE,1.5, First interim Financial year Financial Year ending 31st March 2022, 15-DEC-21, 04-JAN-22,78.6,76.7
2021-12-06 00:00:00, WIND-N-0000, WINDFORCE,0.55, Second interim Financial year - 2021/2022, 15-DEC-21, 04-JAN-22,18.7,18.3
2021-12-20 00:00:00, TPL-N-0000, TALAWAKELLE,0.65, First Interim, 29-DEC-21, 18-JAN-22,52.8,57.3
2021-12-28 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.4, Second Interim, 06-JAN-22, 27-JAN-22,42.8,42.8
2021-12-29 00:00:00, HAYC-N-0000, HAYCARB,0.75, Second Interim, 07-JAN-22, 26-JAN-22,77.6,77
2021-12-29 00:00:00, KVAL-N-0000, KELANI VALLEY,0.25, Second Interim, 07-JAN-22, 26-JAN-22,93,93.1
2021-12-29 00:00:00, SINS-N-0000, SINGER SRI LANKA,0.35, Second interim , 07-JAN-22, 25-JAN-22,21.8,25.3
2021-12-30 00:00:00, ALUM-N-0000, ALUMEX PLC,0.2, SECOND INTERIM, 10-JAN-22, 31-JAN-22,16.7,16.9
2021-12-30 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.45, SECOND INTERIM, 10-JAN-22, 28-JAN-22,51.9,50.2
2021-12-30 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,0.75, SECOND INTERIM, 10-JAN-22, 27-JAN-22,83.2,80
2022-01-12 00:00:00, CARE-N-0000, PRINTCARE PLC,4, First interim, 25-JAN-22, 15-FEB-22,47.4,43.4
2022-01-18 00:00:00, LFIN-N-0000, LB FINANCE,3, Interim Dividend for FY 21/22, 27-JAN-22, 18-FEB-22,81.4,78.7
2022-01-21 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, 2nd Interim Dividend for FY 2021, 01-FEB-22, 23-FEB-22,58,65.4
2022-01-26 00:00:00, JAT-N-0000, JAT HOLDINGS,0.25, Second Interim, 07-FEB-22, 28-FEB-22,28.8,28.1
2022-01-26 00:00:00, JKH-N-0000, JKH,0.5, Second Interim, 07-FEB-22, 28-FEB-22,158,157
2022-01-26 00:00:00, ONAL-N-0000, ON'ALLY,2.1, Interim Dividend, 07-FEB-22, 28-FEB-22,40,36.4
2022-02-10 00:00:00, VPEL-N-0000, VALLIBEL,0.35, Second interim, 22-FEB-22, 15-MAR-22,8.7,8.2
2022-02-11 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.24, Second Interim, 23-FEB-22, 07-MAR-22,22.8,22.5
2022-02-11 00:00:00, COLO-N-0000, C M HOLDINGS,5, FIRST INTERIM, 23-FEB-22, 15-MAR-22,133.5,129.75
2022-02-14 00:00:00, MERC-N-0000, MERCANTILE INV,50, Second interim Financial year2021/22, 24-FEB-22, 04-MAR-22,2600,2600
2022-02-15 00:00:00, GLAS-N-0000, PGP GLASS,0.25, Second interim Financial year FY 2021-2022, 25-FEB-22, 21-MAR-22,14.5,15.4
2022-02-17 00:00:00, COCR-N-0000, COM.CREDIT,1, First interim, 28-FEB-22, 22-MAR-22,39.9,42
2022-02-17 00:00:00, TJL-N-0000, TEEJAY LANKA,0.85, First interim, 28-FEB-22, 22-MAR-22,42.7,43.1
2022-02-17 00:00:00, SAMP-N-0000, SAMPATH,4.25, First and Final dividend for FY 2021, 31-MAR-22, 25-APR-22,51.3,45.8
2022-02-18 00:00:00, NEST-N-0000, NESTLE,20, First interim, 02-MAR-22, 23-MAR-22,1099.75,1090.25
2022-02-18 00:00:00, HASU-N-0000, HNB ASSURANCE,3.2, First and Final dividend Financial year 2021, 01-APR-22, 26-APR-22,43.3,34
2022-02-18 00:00:00, HNB-X-0000, HNB,6.5, Final dividend, 31-MAR-22, 12-APR-22,116.5,105
2022-02-18 00:00:00, HNB-N-0000, HNB,6.5, Final dividend, 31-MAR-22, 12-APR-22,120,109.25
2022-02-21 00:00:00, NEST-N-0000, NESTLE,35, Final dividend Financial year 31/12/2021, 10-JUN-22, 01-JUL-22,979.75,979.75
2022-02-22 00:00:00, LITE-N-0000, LAXAPANA,0.75, First Interim, 04-MAR-22, 25-MAR-22,17.2,16.2
2022-02-23 00:00:00, CSD-N-0000, SEYLAN DEVTS,1.4, First & Final Dividend, 31-MAR-22, 25-APR-22,17,15.1
2022-02-23 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.25, First and Final dividend, 28-APR-22, 18-MAY-22,13,12.9
2022-02-24 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,6, First & Final, 08-MAR-22, 29-MAR-22,119.25,112
2022-02-24 00:00:00, TAFL-N-0000, THREE ACRE FARMS,10, First & Final, 08-MAR-22, 29-MAR-22,225,218
2022-02-25 00:00:00, EBCR-N-0000, E B CREASY,0.5, First interim, 09-MAR-22, 30-MAR-22,22.5,22
2022-02-25 00:00:00, LLUB-N-0000, CHEVRON,2," Fourth lnterim Dividend for the vear endinq 31""t December 2021", 09-MAR-22, 21-MAR-22,99.1,95
2022-02-25 00:00:00, COMB-X-0000, COMMERCIAL BANK,4.5, First and Final dividend, 31-MAR-22, 25-APR-22,70,60.9
2022-02-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,4.5, First and Final dividend, 31-MAR-22, 25-APR-22,70,62.7
2022-02-25 00:00:00, COMD-N-0000, COMMERCIAL DEV.,4, Final dividend - FY December 31, 01-APR-22, 26-APR-22,101.5,99.5
2022-02-28 00:00:00, KFP-N-0000, KEELLS FOOD,7, First interim Financial year 2021/2022, 10-MAR-22, 31-MAR-22,164,162.25
2022-02-28 00:00:00, PARQ-N-0000, SWISSTEK,1, 2nd Interim Dividend, 10-MAR-22, 31-MAR-22,30.4,34.8
2022-02-28 00:00:00, TILE-N-0000, LANKA TILES,1.8, 2nd Interim Dividend, 10-MAR-22, 31-MAR-22,82.9,88.3
2022-02-28 00:00:00, UAL-N-0000, UNION ASSURANCE,22, First and Final dividend Financial year 2021, 10-MAR-22, 31-MAR-22,347.75,335
2022-03-02 00:00:00, AAIC-N-0000, Softlogic Life,2.8, Interim Dividend for FY 2021, 11-MAR-22, 29-MAR-22,106.25,98.5
2022-03-02 00:00:00, LWL-N-0000, LANKA WALLTILE,1.7, 2nd Interim Dividend for FY 2021/2022, 11-MAR-22, 31-MAR-22,98.2,93.3
2022-03-03 00:00:00, RCL-N-0000, ROYAL CERAMIC,1.5, Second interim Financial year 31st March 2022, 14-MAR-22, 31-MAR-22,53.1,49.8
2022-03-07 00:00:00, PACK-N-0000, EX-PACK,0.2, Second Interim fy 2021/2022, 16-MAR-22, 06-APR-22,12.9,12.5
2022-03-07 00:00:00, UML-N-0000, UNITED MOTORS,1.5, first interim fy 2021/2022, 16-MAR-22, 04-APR-22,78.7,78.7
2022-03-09 00:00:00, CCS-N-0000, COLD STORES,0.8, FIRST INTERIM FY 2021/2022, 21-MAR-22, 08-APR-22,49,46.4
2022-03-11 00:00:00, ETWO-N-0000, EQUITY TWO PLC,0.65, FIRST INTERIM FY 2021/2022, 23-MAR-22, 18-APR-22,42.9,38.3
2022-03-16 00:00:00, MELS-N-0000, MELSTACORP,2.7, Second interim, 28-MAR-22, 19-APR-22,48,45
2022-03-16 00:00:00, DIST-N-0000, DISTILLERIES,0.7, Second interim, 28-MAR-22, 18-APR-22,15.5,14.9
2022-03-16 00:00:00, HAYL-N-0000, HAYLEYS,4, First interim, 28-MAR-22, 11-APR-22,103.75,96.5
2022-03-16 00:00:00, PAP-N-0000, PANASIAN POWER,0.2, First interim, 28-MAR-22, 20-APR-22,4.7,4.2
2022-03-16 00:00:00, SLTL-N-0000, SLT,2.02, First and Final Dividend, 21-JUN-22, 11-JUL-22,32,31.5
2022-03-18 00:00:00, TSML-N-0000, TEA SMALLHOLDER,1, First Interim Dividend for FY 2021/2022, 29-MAR-22, 21-APR-22,28.1,27
2022-03-21 00:00:00, ALLI-N-0000, ALLIANCE,6.5, First Interim, 30-MAR-22, 22-APR-22,88.4,79.7
2022-03-21 00:00:00, LMF-N-0000, LMF,5, First Interim, 30-MAR-22, 22-APR-22,150,134.5
2022-03-23 00:00:00, NDB-N-0000, NAT. DEV. BANK,1, First and Final dividend, 01-APR-22, 26-APR-22,55.7,52.2
2022-03-24 00:00:00, MCPL-N-0000, MAHAWELI COCONUT,1, Interim - FY 2021/22, 04-APR-22, 26-APR-22,43.4,43.4
2022-03-24 00:00:00, GREG-N-0000, AMBEON HOLDINGS,3, INTERIM FY 2021/2022, 04-APR-22, 27-APR-22,38.8,37.1
2022-03-25 00:00:00, AMSL-N-0000, ASIRI SURG,0.9, Second interim FY 31st March 2022, 05-APR-22, 28-APR-22,14.9,15
2022-03-25 00:00:00, ASIR-N-0000, ASIRI,1.2, Second interim FY 31st March 2022, 05-APR-22, 28-APR-22,36.8,36.5
2022-03-25 00:00:00, KGAL-N-0000, KEGALLE,5, First interim - 2021/2022FY, 05-APR-22, 27-APR-22,125.25,133.5
2022-03-25 00:00:00, NAMU-N-0000, NAMUNUKULA,10, First interim FY2021/2022, 05-APR-22, 27-APR-22,329.5,397.75
2022-03-28 00:00:00, BFL-N-0000, BAIRAHA FARMS,6, Second Interim, 06-APR-22, 29-APR-22,166.5,158.75
2022-03-28 00:00:00, REXP-N-0000, RICH PIERIS EXP,28, First interim Financial year2021/2022, 06-APR-22, 28-APR-22,645.5,631.25
