New Listing 1999,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Nations Trust Bank Ltd ,19499993,12,19499993,Nil,1999-05-03 00:00:00
2) Metropolitan Resource Holdings Ltd ,6285111,25,277600,3027800,1999-05-12 00:00:00
3) Ruhunu Hotels & Travels Ltd,4500000,10,2404400,Nil,1999-03-03 00:00:00
4) Namunukula Plantations Ltd,4000000,15,3998000,2000,1999-03-10 00:00:00
Value (Rs.),400678916,,,,
Issues (No.),4,,,,
Exchange Approved Private Placements,,,,,
Company,No of Shares,Issue Price,Date Indexed,,
,Offered ,(Rs.),,,
5) C W Mackie & Co Ltd,1384175,15,1999-02-01 00:00:00,,
"Value (Rs.): Rs. 20,762,625",,,,,
Issues (No.): 1,,,,,
New Listing 1999 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,19499993,233999916,,
2) Hotels & Travels,1,7404400,24044000,,
3) Plantations,2,7305400,142635000,,
Total,4,29209793,400678916,,
De-Listings 1999,,,,,
Company,Date of De-Listing,,,,
Carsons Marketing Ltd,1999-02-02 00:00:00,,,,
Champs Developments Ltd,1999-02-02 00:00:00,,,,
Electro Holiday Resorts Ltd,1999-02-02 00:00:00,,,,
Ceylon Nutritional Foods Ltd,1999-02-19 00:00:00,,,,
Siedles T.V. Indusry Ltd,1999-05-04 00:00:00,,,,
Forbes Ceylon Ltd,1999-12-08 00:00:00,,,,
Aitken Spence Hotels Ltd,1999-12-28 00:00:00,,,,
