Sector Domestic & Foreign Analysis - 2008,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",92411,6643,284155832,45828528,7964078812,2250533956
"BEVERAGE, FOOD & TOBACCO",47450,3234,82742685,25816897,3823072774,1826997218
CONSTRUCTION & ENGINEERING,10210,688,11968583,2138605,554472453,130574506
CHEMICALS & PHARMACEUTICALS,33293,2158,47201691,7172208,1418452423,305255204
FOOTWEAR & TEXTILES,6179,332,4533096,417550,274083726,26398800
HOTELS & TRAVELS,63526,2478,109865596,25662938,1693745094,2333150328
INVESTMENT TRUSTS,14337,909,12173718,1120012,571330391,86723194
LAND & PROPERTY,71079,2576,110339249,10541488,1881107151,172855542
MANUFACTURING,114755,6890,359153420,50747596,5279647619,1136096087
MOTORS,12913,1420,37193621,28537432,5856401488,4865086017
OIL PALMS,4542,186,606564,233564,459700087,108663102
STORES & SUPPLIES,2446,148,20438228,4185560,179907900,86581876
SERVICES,1216,9,731836,13750,80299218,1179025
TRADING,49663,1442,90552706,6757234,1434139344,115113328
PLANTATIONS,79336,5747,90345326,13323715,2881274737,533486203
DIVERSIFIED HOLDINGS,48341,4394,107189108,54770506,8032701197,4342525339
POWER & ENERGY,28660,1366,257454702,17662850,1774857203,179238627
HEALTH CARE,17763,293,131931952,2882425,884179680,17823230
INFORMATION TECHNOLOGY,6223,291,7556615,657750,104798450,9397412
TELECOMMUNICATION,26077,4620,168760852,921575443,5637506698,41118080891
