SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,43614,3677,97785761,38071423,3076622048,1843706918
BEV FOOD TOBACCO,14807,905,32456016,14258516,546596762,268954956
CONSTRUCTION ENG,4925,448,8998198,4087433,164133842,72634904
CHEMICALS PHARMS,2311,65,2181748,483179,51625583,12069480
FOOTWEAR TEXTILE,1800,26,4250144,79775,12587395,401225
HOTELS TRAVELS,10768,483,52905334,26799411,608545555,340560938
INVESTMENT TRUST,555,16,1185639,24141,12587257,1166480
LAND PROPERTY,3551,54,7035688,562975,50458628,3747181
MANUFACTURING,28292,2586,72293958,23905593,1421424943,614283131
MOTORS,2304,76,10464541,1170545,456640968,44786596
OIL PALMS,18,1,3038,150,813080,55000
STORES SUPPLIES,318,7,198006,7350,3008621,43175
SERVICES,503,2,312340,3564,9521136,125210
TRADING,1697,29,2231096,425029,40202515,28941372
PLANTATIONS,70691,1896,53773829,5171131,829077192,92999546
DIVERSIFIED,6947,1866,17395041,14973353,2014104516,2200620654
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,517,4,573693,8521,19069123,274270
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
