,Sub Division / Share Splits  2024 (January to December),,,,,
No.,Date of Announcement,COMPANY ID,COMPANY NAME,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
1,,LMF,Lanka Milk Foods (CWE) PLC,1,10,2024-01-16 00:00:00
2,,AFS,Alpha Fire Services PLC,1,5,2024-01-24 00:00:00
3,,JKH,John Keells Holdings PLC,1,10,2024-11-05 00:00:00
