Dividend Record 1998,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
NEH,Nt0000,NUWARA ELIYA,1998-01-14 00:00:00,1998-01-26 00:00:00,30,INTERIM,260,260
BREW,Nt0000,CEYLON BREWERY,1998-01-20 00:00:00,1998-02-05 00:00:00,18,,60,60
EQIT,Nt0000,EQUITY,1998-01-23 00:00:00,1998-02-06 00:00:00,5,TRANSFER BOOKS KEPT OPEN,7.5,10.25
CCS,Nt0000,COLD STORES 8/-,1998-01-26 00:00:00,1998-02-12 00:00:00,15,,103.5,101.5
HLOG,Nt0000,HABARANA LODGE,1998-01-28 00:00:00,1998-02-12 00:00:00,20,TRANSFER BOOKS KEPT OPEN,28,28
JKL,Nt0000,JOHN KEELLS,1998-01-28 00:00:00,1998-02-12 00:00:00,10,TRANSFER BOOKS KEPT OPEN,66,70
KINN,Nt0000,KANDY WALK INN,1998-01-28 00:00:00,1998-02-12 00:00:00,127.5,TRANSFER BOOKS KEPT OPEN,38,28
KAPI,Nt0000,KAPILA HEAVY,1998-02-02 00:00:00,1998-02-16 00:00:00,7.5,TRANSFER BOOKS KEPT OPEN,10,8
HEXP,Nt0000,HAYLEYS EXPORTS,1998-02-12 00:00:00,1998-02-24 00:00:00,20,INTERIM   (1.1% T.F.),42.25,42.25
CHMX,Nt0000,CHEMANEX,1998-02-17 00:00:00,1998-02-27 00:00:00,12,INTERIM,46,46
HPP,Nt0000,HAYL. PHOTOPRINT,1998-02-18 00:00:00,1998-03-02 00:00:00,10,INTERIM,19,19
LOLC,Nt0000,LOLC,1998-02-19 00:00:00,1998-03-03 00:00:00,10,INTERIM,110,120
DIPD,Nt0000,DIPPED PRODUCTS,1998-02-20 00:00:00,1998-03-04 00:00:00,25,INTERIM (T.F),111,110
EAST,Nt0000,EAST WEST,1998-02-26 00:00:00,1998-03-06 00:00:00,4,INTERIM,5.5,4.75
PALM,Nt0000,PALM GARDEN,1998-02-17 00:00:00,1998-03-06 00:00:00,15,INTERIM,25,25
HAYC,Nt0000,HAYCARB,1998-02-27 00:00:00,1998-03-11 00:00:00,15,INTERIM,53,52
RCL,Nt0000,ROYAL CERAMICS,1998-02-24 00:00:00,1998-03-13 00:00:00,10,INTERIM,19.75,18
