Market Capitalisation as at 31st December 2001,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
LDEV,LANKEM DEVELOPMENTS,2001-12-31 00:00:00,850562,6.5,5528653
KZOO,KALAMAZOO,2001-07-25 00:00:00,50000,100,5000000
PARQ,PARQUET,2001-12-28 00:00:00,1656000,3,4968000
LITE,ELEPHANT LITE,2001-12-31 00:00:00,3240324,1.5,4860486
SING,SINGALANKA,2001-06-20 00:00:00,1385207,2.75,3809319.25
OFEQ,OFFICE EQUIPMENT,2001-07-25 00:00:00,83356,45,3751020
PARA,PARAGON,2001-09-19 00:00:00,100028,35,3500980
CPRT,CEYLON PRINTERS,2001-07-25 00:00:00,35010,90,3150900
LAMB,LAMBRETTA,2001-09-20 00:00:00,300000,7,2100000
KTEX,KANDY TEXTILES,1999-09-24 00:00:00,2545100,0.5,1272550
